category,discount_bin,avg_units,median_units,n_days
Bakery,0,32.981362325271796,29.0,9014
Bakery,5-10,35.46641791044776,30.0,536
Bakery,10-20,38.90859728506787,34.0,1105
Bakery,20-35,41.018739352640544,37.0,1174
Bakery,35-50,48.587402689313514,44.0,1413
Chocolate & Milk,0,19.147366056385486,16.0,8903
Chocolate & Milk,5-10,19.92955326460481,17.0,582
Chocolate & Milk,10-20,22.707097933513026,19.0,1113
Chocolate & Milk,20-35,24.429163214581607,22.0,1207
Chocolate & Milk,35-50,28.741754385964914,25.0,1425
Coffee,0,130.7406819015031,115.0,8183
Coffee,5-10,145.05820105820106,124.0,567
Coffee,10-20,154.91551459293396,133.0,1302
Coffee,20-35,168.1448051948052,149.0,1540
Coffee,35-50,199.96121212121213,177.0,1650
Juice & Smoothie,0,11.872022864401398,10.0,9447
Juice & Smoothie,5-10,12.519266055045872,11.0,545
Juice & Smoothie,10-20,13.497656982193064,12.0,1067
Juice & Smoothie,20-35,15.2834008097166,13.0,988
Juice & Smoothie,35-50,17.245283018867923,15.0,1113
Merchandise,0,7.001787709497207,6.0,8950
Merchandise,5-10,7.671052631578948,6.0,532
Merchandise,10-20,8.250696378830083,7.0,1077
Merchandise,20-35,8.269266480965646,7.0,1077
Merchandise,35-50,10.253709198813056,9.0,1348
Savory Bakery,0,26.022337147887324,23.0,9088
Savory Bakery,5-10,26.044897959183672,22.0,490
Savory Bakery,10-20,30.584280303030305,26.0,1056
Savory Bakery,20-35,33.30716723549488,29.0,1172
Savory Bakery,35-50,39.200139470013944,35.0,1434
Tea,0,41.8688,36.0,8750
Tea,5-10,43.336120401337794,36.0,598
Tea,10-20,49.99569707401033,42.0,1162
Tea,20-35,52.19949916527546,45.0,1198
Tea,35-50,63.264667535853974,55.0,1534
