product_id,category,first_sale,last_sale,units,days_active,days_since_last_sale
10,Coffee,2023-01-01,2024-10-31,128348,670,0
8,Coffee,2023-01-01,2024-10-31,128259,670,0
13,Coffee,2023-01-01,2024-10-31,128065,670,0
2,Coffee,2023-01-01,2024-10-31,127548,670,0
5,Coffee,2023-01-01,2024-10-31,127405,670,0
6,Coffee,2023-01-01,2024-10-31,125014,670,0
3,Coffee,2023-01-01,2024-10-31,123558,670,0
11,Coffee,2023-01-01,2024-10-31,113031,670,0
7,Coffee,2023-01-01,2024-10-31,112082,670,0
9,Coffee,2023-01-01,2024-10-31,111843,670,0
12,Coffee,2023-01-01,2024-10-31,111335,670,0
1,Coffee,2023-01-01,2024-10-31,110597,670,0
4,Coffee,2023-01-01,2024-10-31,110393,670,0
14,Coffee,2023-01-01,2024-10-31,99818,670,0
17,Coffee,2023-01-01,2024-10-31,96513,670,0
15,Coffee,2023-01-01,2024-10-31,96411,670,0
16,Coffee,2023-01-01,2024-10-31,92458,670,0
19,Tea,2023-01-01,2024-10-31,71663,670,0
22,Tea,2023-01-01,2024-10-31,71343,670,0
25,Tea,2023-01-01,2024-10-31,70879,670,0
24,Tea,2023-01-01,2024-10-31,70410,670,0
45,Bakery,2023-01-01,2024-10-31,70186,670,0
46,Bakery,2023-01-01,2024-10-31,69972,670,0
41,Bakery,2023-01-01,2024-10-31,69868,670,0
40,Bakery,2023-01-01,2024-10-31,69785,670,0
42,Bakery,2023-01-01,2024-10-31,69708,670,0
43,Bakery,2023-01-01,2024-10-31,69612,670,0
20,Tea,2023-01-01,2024-10-31,68941,670,0
23,Tea,2023-01-01,2024-10-31,68882,670,0
18,Tea,2023-01-01,2024-10-31,65560,670,0
21,Tea,2023-01-01,2024-10-31,65293,670,0
44,Bakery,2023-01-01,2024-10-31,56977,670,0
26,Tea,2023-01-01,2024-10-31,56974,670,0
51,Savory Bakery,2023-01-01,2024-10-31,54184,670,0
49,Savory Bakery,2023-01-01,2024-10-31,54183,670,0
50,Savory Bakery,2023-01-01,2024-10-31,54071,670,0
48,Savory Bakery,2023-01-01,2024-10-31,53944,670,0
47,Savory Bakery,2023-01-01,2024-10-31,53825,670,0
52,Savory Bakery,2023-01-01,2024-10-31,53561,670,0
53,Savory Bakery,2023-01-01,2024-10-31,53031,670,0
28,Chocolate & Milk,2023-01-01,2024-10-31,38743,670,0
31,Chocolate & Milk,2023-01-01,2024-10-31,38298,670,0
32,Chocolate & Milk,2023-01-01,2024-10-31,37328,670,0
29,Chocolate & Milk,2023-01-01,2024-10-31,36592,670,0
35,Juice & Smoothie,2023-01-01,2024-10-31,35210,670,0
27,Chocolate & Milk,2023-01-01,2024-10-31,34970,670,0
30,Chocolate & Milk,2023-01-01,2024-10-31,34420,670,0
39,Juice & Smoothie,2023-01-01,2024-10-31,33527,670,0
38,Juice & Smoothie,2023-01-01,2024-10-31,33264,670,0
37,Juice & Smoothie,2023-01-01,2024-10-31,32932,670,0
36,Juice & Smoothie,2023-01-01,2024-10-31,32741,670,0
33,Chocolate & Milk,2023-01-01,2024-10-31,29770,670,0
34,Chocolate & Milk,2023-01-01,2024-10-31,27663,670,0
57,Merchandise,2023-01-01,2024-10-31,14245,670,0
56,Merchandise,2023-01-01,2024-10-31,14229,670,0
55,Merchandise,2023-01-01,2024-10-31,14201,670,0
54,Merchandise,2023-01-01,2024-10-31,14188,670,0
60,Merchandise,2023-01-01,2024-10-31,13939,670,0
58,Merchandise,2023-01-01,2024-10-31,13822,670,0
59,Merchandise,2023-01-01,2024-10-31,13737,670,0
