store_id,product_id,spell_id,stockout_days
5,14,16231,13
17,14,62293,11
9,14,31885,10
18,38,67887,9
5,32,17524,9
9,23,32478,9
1,14,1001,9
20,27,74776,9
2,14,4853,9
15,14,54515,9
2,14,4893,9
6,14,20174,9
8,21,28293,8
15,14,54477,8
11,20,40041,8
6,14,20178,8
8,32,29185,8
14,23,51467,8
2,14,4877,8
7,24,24705,8
7,28,25107,8
10,14,35741,8
8,29,28922,8
6,29,21217,8
3,6,8039,8
19,38,71824,8
19,23,70622,8
11,38,41348,8
15,28,55462,8
11,14,39663,8
15,19,54751,7
18,23,66823,7
15,38,56201,7
15,24,55187,7
14,29,51828,7
9,25,32618,7
15,11,54295,7
4,19,12738,7
18,14,66170,7
18,12,66021,7
8,14,27799,7
8,1,26857,7
4,14,12450,7
13,4,46440,7
3,36,10214,7
3,3,7837,7
11,16,39799,7
12,14,43340,7
9,14,31899,7
13,29,48253,7
18,5,65568,7
18,30,67309,7
8,52,30585,7
10,30,36968,7
1,20,1362,7
9,36,33413,7
13,27,48097,7
7,28,25105,7
1,29,2018,7
7,37,25771,7
4,36,14080,7
15,12,54316,7
19,27,70946,7
8,44,29995,7
4,33,13840,7
19,14,70007,7
13,4,46470,7
2,37,6650,7
17,14,62291,6
9,23,32476,6
15,22,55019,6
11,29,40759,6
14,34,52168,6
17,9,61904,6
9,6,31207,6
17,8,61806,6
17,18,62472,6
6,37,21877,6
14,25,51575,6
18,28,67173,6
14,14,50879,6
5,7,15735,6
8,51,30449,6
2,14,4873,6
17,5,61561,6
10,39,37617,6
13,32,48508,6
17,3,61405,6
5,18,16459,6
16,39,60258,6
1,18,1234,6
4,38,14248,6
6,36,21822,6
6,38,22004,6
2,29,5984,6
13,14,47192,6
9,14,31867,6
7,13,23973,6
7,38,25834,6
15,10,54228,6
5,1,15339,6
6,40,22156,6
12,39,45209,6
12,38,45060,6
12,36,44900,6
15,14,54499,6
8,3,26975,6
12,14,43376,6
6,3,19331,6
4,32,13763,6
2,21,5330,6
12,13,43275,6
2,28,5895,6
9,3,30932,6
1,32,2345,6
9,21,32338,6
11,3,38859,6
18,6,65617,6
4,34,13885,6
15,7,54017,6
10,4,34979,6
9,1,30738,6
20,38,75631,6
20,29,74943,6
3,39,10467,6
16,3,57556,6
1,23,1588,6
9,37,33476,6
5,13,16185,6
20,14,73870,6
5,20,16631,6
20,14,73828,6
9,39,33720,6
11,6,39049,6
12,3,42610,6
10,38,37562,6
7,4,23345,6
10,6,35121,6
7,25,24852,6
6,14,20182,6
16,3,57510,6
15,13,54401,6
9,30,33026,6
4,14,12460,6
19,14,69995,6
3,4,7901,6
19,13,69925,6
11,14,39687,6
2,35,6406,6
19,8,69507,6
19,4,69180,6
19,2,68944,6
20,6,73226,6
11,19,40004,5
15,23,55084,5
15,20,54876,5
6,23,20780,5
15,19,54817,5
15,14,54511,5
9,2,30827,5
3,5,7948,5
10,20,36150,5
9,18,32099,5
6,21,20638,5
2,32,6224,5
8,14,27795,5
6,14,20152,5
1,32,2347,5
3,42,10620,5
8,35,29390,5
1,5,307,5
3,37,10297,5
1,5,313,5
5,14,16239,5
15,11,54273,5
1,5,321,5
11,19,39970,5
7,36,25682,5
7,33,25451,5
7,36,25684,5
14,44,52851,5
14,36,52298,5
2,1,3947,5
2,36,6509,5
9,12,31739,5
14,32,52070,5
11,14,39681,5
3,35,10141,5
2,1,3957,5
11,14,39667,5
8,14,27813,5
6,32,21460,5
14,32,52066,5
6,10,19851,5
14,32,52046,5
14,32,52040,5
8,3,27019,5
8,30,29003,5
14,31,51959,5
14,30,51896,5
4,39,14328,5
18,27,67080,5
11,6,39045,5
10,13,35680,5
14,28,51791,5
14,28,51747,5
3,52,11256,5
4,21,12930,5
9,44,33943,5
2,31,6131,5
18,21,66643,5
4,5,11748,5
18,20,66570,5
11,14,39661,5
3,14,8629,5
14,14,50857,5
11,13,39548,5
11,37,41279,5
1,38,2717,5
14,9,50532,5
14,6,50293,5
5,4,15538,5
10,20,36106,5
14,4,50139,5
10,19,36079,5
18,14,66174,5
1,22,1557,5
13,37,48822,5
13,35,48633,5
11,35,41165,5
4,31,13716,5
13,32,48468,5
13,29,48277,5
8,9,27465,5
9,35,33383,5
10,37,37471,5
13,26,48024,5
11,8,39217,5
18,9,65799,5
13,23,47809,5
1,22,1569,5
5,37,17946,5
13,23,47769,5
10,9,35370,5
13,21,47639,5
11,32,40946,5
6,20,20578,5
13,20,47576,5
10,31,37033,5
18,9,65795,5
13,14,47194,5
18,8,65726,5
8,13,27731,5
13,4,46468,5
18,3,65416,5
1,27,1904,5
17,39,64269,5
12,43,45455,5
3,39,10469,5
4,37,14123,5
12,43,45449,5
1,31,2210,5
7,29,25166,5
10,10,35463,5
8,23,28415,5
4,28,13440,5
12,39,45197,5
3,31,9821,5
10,13,35706,5
4,28,13446,5
17,38,64184,5
12,36,44944,5
7,6,23445,5
12,29,44439,5
6,3,19319,5
7,9,23673,5
17,38,64168,5
12,23,43983,5
12,22,43936,5
17,36,64004,5
12,21,43845,5
8,34,29313,5
17,29,63427,5
4,18,12676,5
17,23,62883,5
7,36,25642,5
17,22,62850,5
5,26,17084,5
10,37,37451,5
8,30,29027,5
7,32,25362,5
5,6,15674,5
4,39,14272,5
10,24,36533,5
1,2,112,5
2,6,4320,5
11,6,39047,5
2,6,4324,5
12,12,43190,5
20,53,76648,5
17,18,62470,5
12,11,43159,5
2,3,4135,5
1,23,1630,5
5,28,17216,5
3,24,9342,5
17,14,62279,5
12,9,43048,5
20,39,75730,5
7,52,26713,5
9,38,33565,5
7,4,23337,5
7,13,24017,5
1,13,934,5
17,14,62251,5
9,20,32221,5
20,38,75579,5
20,37,75528,5
8,10,27506,5
4,53,15263,5
17,8,61808,5
6,19,20509,5
20,23,74469,5
4,11,12261,5
6,6,19620,5
9,38,33567,5
9,11,31676,5
3,20,8956,5
12,6,42789,5
20,22,74372,5
20,19,74146,5
12,4,42671,5
20,19,74116,5
16,39,60224,5
10,9,35378,5
20,14,73862,5
20,14,73860,5
7,21,24530,5
16,37,60055,5
11,29,40719,5
8,4,27097,5
6,3,19373,5
8,12,27674,5
20,12,73723,5
11,27,40603,5
16,35,59861,5
16,23,59012,5
20,6,73216,5
1,14,975,5
20,5,73189,5
10,10,35469,5
4,36,14070,5
12,1,42443,5
12,1,42401,5
20,3,73025,5
11,48,42009,5
10,24,36453,5
9,38,33569,5
5,34,17654,5
16,22,58931,5
1,29,2078,5
20,2,72982,5
9,15,31922,5
4,23,13106,5
3,10,8365,5
19,42,72127,5
10,14,35713,5
11,26,40522,5
19,41,72032,5
7,25,24848,5
19,32,71359,5
19,30,71175,5
11,42,41643,5
19,30,71171,5
11,20,40071,5
11,38,41398,5
19,26,70885,5
16,14,58395,5
16,14,58379,5
8,37,29526,5
19,15,70029,5
4,2,11499,5
9,39,33638,5
9,29,32962,5
4,9,12072,5
19,14,70003,5
6,24,20933,5
8,17,27976,5
19,14,69975,5
16,1,57382,5
15,39,56304,5
19,12,69794,5
1,14,1011,5
9,37,33468,5
19,6,69374,5
10,46,38017,5
15,36,56037,5
19,4,69170,5
15,32,55734,5
1,14,1019,5
9,27,32747,5
7,6,23447,4
5,37,17962,4
8,39,29726,4
8,9,27467,4
3,38,10390,4
2,22,5377,4
3,38,10394,4
8,9,27471,4
7,25,24796,4
9,28,32869,4
7,25,24798,4
10,52,38439,4
11,2,38712,4
7,15,24103,4
11,2,38782,4
11,6,39053,4
11,6,39073,4
11,7,39104,4
11,7,39120,4
11,10,39357,4
11,11,39440,4
11,12,39485,4
9,28,32873,4
11,14,39689,4
11,18,39917,4
8,36,29435,4
11,18,39919,4
1,1,60,4
11,18,39921,4
11,20,40039,4
5,26,17106,4
11,24,40346,4
11,25,40479,4
11,27,40575,4
7,6,23475,4
11,28,40638,4
11,31,40865,4
11,31,40909,4
11,32,40952,4
11,32,40986,4
11,34,41102,4
4,29,13596,4
7,36,25638,4
6,38,21946,4
11,35,41163,4
11,37,41315,4
11,39,41417,4
1,2,108,4
4,3,11588,4
7,7,23492,4
11,39,41461,4
11,39,41463,4
11,39,41465,4
7,36,25648,4
11,40,41515,4
11,44,41733,4
5,27,17185,4
1,2,132,4
11,46,41894,4
5,39,18046,4
11,47,41902,4
8,49,30301,4
11,47,41952,4
11,50,42114,4
10,41,37779,4
5,18,16483,4
11,50,42150,4
3,4,7911,4
4,3,11612,4
11,51,42214,4
11,52,42261,4
7,1,23105,4
12,1,42405,4
4,30,13621,4
12,1,42429,4
7,15,24139,4
5,27,17191,4
3,13,8599,4
12,2,42487,4
6,38,21960,4
12,3,42558,4
8,10,27520,4
12,4,42673,4
12,11,43123,4
10,45,37969,4
5,14,16215,4
12,12,43228,4
12,13,43273,4
12,14,43358,4
12,14,43370,4
12,15,43429,4
3,40,10556,4
7,25,24854,4
10,21,36245,4
12,17,43552,4
12,18,43622,4
4,20,12813,4
12,19,43655,4
12,20,43790,4
12,21,43851,4
12,22,43938,4
2,23,5486,4
6,30,21318,4
12,23,44015,4
12,24,44098,4
1,24,1711,4
12,25,44167,4
12,27,44261,4
5,35,17747,4
9,25,32664,4
2,7,4385,4
12,29,44403,4
12,30,44460,4
12,31,44523,4
8,5,27165,4
7,25,24868,4
12,36,44946,4
12,49,45759,4
13,1,46213,4
10,20,36124,4
13,3,46359,4
13,5,46549,4
13,6,46644,4
13,7,46709,4
13,8,46786,4
7,39,25927,4
13,9,46815,4
13,9,46841,4
13,11,46949,4
13,11,46991,4
8,33,29262,4
13,12,47052,4
13,14,47210,4
2,7,4423,4
5,18,16501,4
13,14,47212,4
13,14,47218,4
13,14,47222,4
9,32,33162,4
2,24,5543,4
13,21,47617,4
13,22,47704,4
8,10,27572,4
13,24,47846,4
1,25,1782,4
13,24,47888,4
13,25,47989,4
13,26,48016,4
13,26,48064,4
9,34,33326,4
13,29,48283,4
13,31,48449,4
13,32,48522,4
13,36,48782,4
9,12,31743,4
13,38,48941,4
7,8,23601,4
13,42,49157,4
13,42,49201,4
13,44,49311,4
13,50,49662,4
14,2,50057,4
14,4,50173,4
14,6,50295,4
5,24,16913,4
14,7,50390,4
14,8,50445,4
14,11,50685,4
10,42,37854,4
14,11,50699,4
14,12,50717,4
14,12,50739,4
4,50,14993,4
14,13,50820,4
10,37,37479,4
9,8,31439,4
10,3,34906,4
4,21,12928,4
14,14,50851,4
8,31,29106,4
14,14,50861,4
7,9,23625,4
14,17,51048,4
14,19,51128,4
14,20,51249,4
1,6,436,4
3,35,10131,4
2,24,5595,4
14,23,51469,4
14,28,51745,4
6,35,21743,4
14,28,51807,4
3,32,9976,4
14,30,51894,4
5,41,18224,4
2,24,5611,4
14,30,51910,4
14,35,52217,4
1,7,467,4
14,35,52221,4
3,44,10738,4
14,37,52423,4
14,38,52494,4
14,39,52568,4
14,40,52599,4
6,44,22412,4
