pc_timestamp_iso,ms,ax,ay,az,gx,gy,gz,mx,my,mz,press,baro_t,prox,cr,cg,cb,light,gesture,mic,p2p,svm,omega,jerk,svm_dev
2026-05-27T23:39:06.383,1039343,0.98,-0.22,-0.2,31.6,-7.1,-12.5,-14.8,49.1,-33.4,101.124,36.47,0,0,0,0,0,NONE,189,292,1.02410936916,34.7162786024,0,0.0241093691594
2026-05-27T23:39:06.428,1039383,0.88,-0.29,-0.19,21.9,-16.6,-11.0,-16.3,50.4,-32.0,101.123,36.48,0,0,0,0,0,NONE,42,152,0.945832966226,29.6001689184,3.06186217848,0.0541670337739
2026-05-27T23:39:06.479,1039434,0.9,-0.24,-0.18,23.7,-1.2,-9.3,-17.1,50.9,-32.4,101.125,36.49,0,0,0,0,0,NONE,60,164,0.948683298051,25.4876440653,1.07396579903,0.0513167019495
2026-05-27T23:39:06.528,1039486,0.93,-0.23,-0.21,25.1,-4.6,-6.3,-17.9,52.2,-31.5,101.124,36.49,0,0,0,0,0,NONE,41,182,0.980765007532,26.2842157958,0.838249796835,0.0192349924676
2026-05-27T23:39:06.576,1039532,0.86,-0.12,-0.13,27.4,12.0,-8.1,-18.8,53.1,-31.2,101.122,36.51,0,0,0,0,0,NONE,115,145,0.87800911157,30.9898370438,3.32544750886,0.12199088843
2026-05-27T23:39:06.629,1039584,0.94,-0.2,-0.15,33.8,15.2,-9.5,-19.0,54.1,-30.7,101.119,36.5,0,0,0,0,0,NONE,156,164,0.972676719162,38.2587244952,2.20944717175,0.0273232808379
2026-05-27T23:39:06.673,1039632,1.01,-0.23,-0.2,56.2,12.0,-5.9,-19.9,55.7,-31.6,101.121,36.51,0,0,0,0,0,NONE,108,152,1.05498815159,57.7689362893,1.89800699566,0.0549881515922
2026-05-27T23:39:06.729,1039684,0.86,-0.22,-0.21,29.3,15.0,-4.2,-20.0,57.1,-30.8,101.125,36.51,0,0,0,0,0,NONE,75,265,0.912195154558,33.1832789218,2.89740753333,0.0878048454415
2026-05-27T23:39:06.775,1039734,0.94,-0.11,-0.13,45.8,17.5,-2.1,-20.0,58.0,-29.6,101.129,36.52,0,0,0,0,0,NONE,47,260,0.955300999685,49.0744332621,3.15594676761,0.0446990003146
2026-05-27T23:39:06.822,1039783,0.96,-0.08,-0.2,66.5,26.9,4.1,-20.3,59.6,-29.5,101.13,36.52,0,0,0,0,0,NONE,131,295,0.9838699101,71.8517223176,1.60694038245,0.0161300899001
