pc_timestamp_iso,ms,ax,ay,az,gx,gy,gz,mx,my,mz,press,baro_t,prox,cr,cg,cb,light,gesture,mic,p2p,svm,omega,jerk,svm_dev
2026-05-27T23:56:42.174,2095170,0.94,-0.25,-0.1,7.1,2.9,2.9,0.8,15.2,24.8,101.119,37.54,0,1,0,0,1,NONE,87,477,0.977803661274,8.19939022123,0,0.0221963387264
2026-05-27T23:56:42.222,2095208,0.93,-0.25,-0.13,4.1,5.9,3.0,0.9,15.5,24.2,101.12,37.56,0,1,0,0,1,NONE,101,582,0.971750996912,7.78588466393,0.832178331623,0.0282490030877
2026-05-27T23:56:42.270,2095259,0.95,-0.23,-0.12,4.6,3.9,3.4,1.0,15.8,24.9,101.119,37.56,0,1,0,0,1,NONE,98,577,0.984784240329,6.92314957227,0.588235294118,0.0152157596712
2026-05-27T23:56:42.322,2095309,0.95,-0.23,-0.12,4.3,4.6,3.7,1.1,15.9,24.6,101.12,37.57,0,1,0,0,1,NONE,137,932,0.984784240329,7.3034238546,0,0.0152157596712
2026-05-27T23:56:42.367,2095358,0.95,-0.24,-0.12,5.5,3.9,2.9,1.0,15.9,24.4,101.12,37.58,0,1,0,0,1,NONE,156,872,0.987167665597,7.3396185187,0.204081632653,0.0128323344031
2026-05-27T23:56:42.418,2095409,0.94,-0.24,-0.13,2.6,5.1,3.5,0.3,15.6,25.4,101.118,37.58,0,1,0,0,1,NONE,99,598,0.978825827203,6.70969447889,0.277296776936,0.0211741727968
2026-05-27T23:56:42.474,2095459,0.93,-0.24,-0.11,3.8,5.2,2.8,0.9,15.5,24.1,101.116,37.59,0,1,0,0,1,NONE,66,386,0.966747123089,7.02281994643,0.4472135955,0.0332528769114
2026-05-27T23:56:42.513,2095507,0.95,-0.23,-0.14,0.7,3.8,3.3,0.8,15.7,24.6,101.119,37.59,0,1,0,0,1,NONE,64,376,0.987420882907,5.08133840637,0.779511955578,0.0125791170934
2026-05-27T23:56:42.574,2095559,0.95,-0.22,-0.12,-0.4,2.3,3.5,1.0,15.8,24.2,101.122,37.59,0,1,0,0,1,NONE,55,332,0.982496819333,4.20713679359,0.430013072596,0.0175031806667
2026-05-27T23:56:42.613,2095607,0.95,-0.22,-0.12,1.5,0.5,2.9,0.7,15.9,25.4,101.121,37.6,0,1,0,0,1,NONE,63,326,0.982496819333,3.30302891298,0,0.0175031806667
2026-05-27T23:56:42.674,2095660,0.95,-0.23,-0.12,1.8,1.2,2.9,0.8,15.6,24.0,101.12,37.6,0,1,0,0,1,NONE,230,1209,0.984784240329,3.61801050303,0.188679245283,0.0152157596712
2026-05-27T23:56:42.722,2095709,0.94,-0.22,-0.13,1.2,0.3,2.6,0.7,15.7,25.7,101.12,37.6,0,1,0,0,1,NONE,181,1268,0.974114982946,2.87923600978,0.353479756647,0.0258850170539
2026-05-27T23:56:42.770,2095757,0.95,-0.22,-0.12,4.5,-1.3,2.6,1.2,15.7,23.9,101.125,37.61,0,1,0,0,1,NONE,121,720,0.982496819333,5.35723809439,0.294627825494,0.0175031806667
2026-05-27T23:56:42.820,2095809,0.95,-0.22,-0.12,5.1,-0.5,2.9,1.2,15.9,24.3,101.12,37.61,0,1,0,0,1,NONE,73,407,0.982496819333,5.88812364001,0,0.0175031806667
2026-05-27T23:56:42.869,2095861,0.95,-0.23,-0.1,4.6,-0.1,2.3,1.2,15.8,24.7,101.122,37.61,0,1,0,0,1,NONE,256,1314,0.982547708765,5.14392845984,0.430013072596,0.0174522912347
2026-05-27T23:56:42.918,2095907,0.95,-0.22,-0.1,2.7,1.4,2.7,1.2,15.7,25.1,101.117,37.61,0,1,0,0,1,NONE,304,1438,0.980255068847,4.06693988153,0.217391304348,0.0197449311531
2026-05-27T23:56:42.970,2095959,0.95,-0.22,-0.11,1.7,1.4,2.9,0.8,15.8,24.2,101.119,37.61,0,1,0,0,1,NONE,194,1151,0.981325634028,3.64142829121,0.192307692308,0.0186743659722
2026-05-27T23:56:43.020,2096007,0.95,-0.21,-0.12,1.9,3.6,2.1,0.9,16.1,24.4,101.121,37.62,0,1,0,0,1,NONE,93,487,0.980306074652,4.58039299624,0.294627825494,0.0196939253478
2026-05-27T23:56:43.059,2096059,0.95,-0.21,-0.1,2.3,2.1,2.3,1.0,16.0,24.2,101.121,37.62,0,1,0,0,1,NONE,74,426,0.978059302906,3.87169213652,0.384615384615,0.0219406970945
2026-05-27T23:56:43.119,2096109,0.96,-0.21,-0.12,4.9,2.2,1.8,1.2,16.4,24.4,101.123,37.63,0,1,0,0,1,NONE,70,384,0.99,5.66480361531,0.4472135955,0.01
2026-05-27T23:56:43.171,2096158,0.95,-0.22,-0.11,6.1,-0.4,1.3,1.2,16.0,25.2,101.117,37.62,0,1,0,0,1,NONE,49,372,0.981325634028,6.2497999968,0.353479756647,0.0186743659722
2026-05-27T23:56:43.222,2096209,0.95,-0.22,-0.11,6.7,-1.2,0.6,1.2,15.6,25.2,101.121,37.62,0,1,0,0,1,NONE,63,300,0.981325634028,6.83300812234,0,0.0186743659722
2026-05-27T23:56:43.272,2096261,0.96,-0.22,-0.09,6.3,-0.7,-0.9,1.8,15.2,23.0,101.121,37.62,0,1,0,0,1,NONE,58,265,0.988989383158,6.402343321,0.430013072596,0.0110106168416
2026-05-27T23:56:43.320,2096307,0.92,-0.24,-0.06,1.8,-0.6,-1.3,1.7,15.8,24.1,101.119,37.63,0,1,0,0,1,NONE,46,242,0.952680429105,2.3,1.17068800155,0.0473195708948
