pc_timestamp_iso,ms,ax,ay,az,gx,gy,gz,mx,my,mz,press,baro_t,prox,cr,cg,cb,light,gesture,mic,p2p,svm,omega,jerk,svm_dev
2026-05-27T23:32:59.497,672449,0.9,-0.3,0.05,42.4,7.1,6.7,-8.9,49.4,-24.3,101.12,35.68,0,1,0,0,1,NONE,32,128,0.95,43.5093093487,0,0.05
2026-05-27T23:32:59.542,672486,1.06,0.02,-0.3,4.5,32.8,16.5,-8.0,49.1,-23.0,101.119,35.69,0,1,0,0,1,NONE,69,86,1.10181668167,36.9910800059,13.527020277,0.101816681667
2026-05-27T23:32:59.586,672535,0.91,-0.15,-0.05,19.5,7.1,10.6,-7.8,49.8,-23.3,101.125,35.7,0,0,0,0,0,NONE,32,125,0.923634126697,23.3027895326,6.88756613497,0.0763658733026
2026-05-27T23:32:59.642,672587,0.91,-0.03,-0.13,12.7,19.4,4.6,-7.5,50.5,-23.5,101.125,35.7,0,0,0,0,0,NONE,59,221,0.919728220726,23.6391624217,2.77350098113,0.0802717792739
2026-05-27T23:32:59.691,672635,0.91,-0.09,-0.12,-4.6,19.1,-4.7,-7.1,50.3,-22.5,101.125,35.71,0,0,0,0,0,NONE,56,344,0.922279784014,20.2004950434,1.26724219381,0.0777202159865
2026-05-27T23:32:59.738,672687,0.9,-0.07,-0.12,-17.2,11.0,-12.8,-7.4,49.7,-23.7,101.126,35.72,0,0,0,0,0,NONE,74,481,0.91065910197,24.0973027536,0.430013072596,0.0893408980304
2026-05-27T23:32:59.790,672735,0.89,0.02,-0.07,4.7,3.3,-8.4,-7.8,50.3,-22.4,101.128,35.72,0,0,0,0,0,NONE,70,427,0.892972563968,10.1754606775,2.15501675683,0.107027436032
2026-05-27T23:32:59.838,672787,1.11,-0.02,-0.6,-18.4,59.6,-3.5,-8.3,50.6,-23.2,101.123,35.72,0,0,0,0,0,NONE,56,267,1.26194294641,62.4737544894,11.0622900141,0.261942946412
2026-05-27T23:32:59.889,672839,1.02,-0.48,-0.23,17.8,-44.3,2.1,-6.7,50.4,-23.0,101.123,35.73,0,0,0,0,0,NONE,144,150,1.15052162083,47.7884923386,11.4838450976,0.150521620831
2026-05-27T23:32:59.935,672885,0.9,-0.14,-0.37,-43.1,20.6,0.7,-7.5,50.5,-23.2,101.124,35.74,0,0,0,0,0,NONE,58,329,0.983107318659,47.7750981161,8.40829548079,0.0168926813415
2026-05-27T23:32:59.984,672937,1.02,-0.31,-0.35,11.8,-12.5,-3.5,-7.1,49.5,-24.0,101.125,35.74,0,0,0,0,0,NONE,77,432,1.12205169221,17.5425197734,4.02010480007,0.122051692214
2026-05-27T23:33:00.027,672985,0.77,-0.32,-0.26,-12.5,-2.1,-9.9,-7.3,50.3,-22.6,101.121,35.74,0,0,0,0,0,NONE,65,337,0.873441469132,16.0832210704,5.53947325013,0.126558530868
2026-05-27T23:33:00.092,673037,0.88,-0.31,-0.29,-11.1,-2.5,-3.7,-8.0,50.2,-23.8,101.122,35.74,0,0,0,0,0,NONE,73,333,0.977036335046,11.9645309143,2.20106214274,0.0229636649541
2026-05-27T23:33:00.142,673087,0.87,-0.32,-0.29,-13.2,0.1,-4.2,-8.4,49.4,-24.0,101.121,35.74,0,0,0,0,0,NONE,41,293,0.971287804927,13.8524366088,0.282842712475,0.028712195073
2026-05-27T23:33:00.188,673135,0.87,-0.32,-0.29,-26.1,5.6,-1.6,-8.4,49.3,-24.0,101.121,35.75,0,0,0,0,0,NONE,56,278,0.971287804927,26.7419146659,0,0.028712195073
2026-05-27T23:33:00.236,673187,0.86,-0.35,-0.23,-24.5,4.6,1.5,-9.0,48.8,-26.1,101.124,35.75,0,0,0,0,0,NONE,69,414,0.956556323485,24.9731856198,1.30429422752,0.0434436765146
2026-05-27T23:33:00.289,673239,0.87,-0.33,-0.2,-43.2,11.0,7.7,-8.7,47.7,-26.7,101.12,35.75,0,0,0,0,0,NONE,65,378,0.951735257306,45.2385897216,0.719549497457,0.0482647426936
2026-05-27T23:33:00.334,673285,0.9,-0.26,-0.23,-38.0,9.3,13.4,-8.5,46.6,-27.0,101.122,35.76,0,0,0,0,0,NONE,46,271,0.964624279189,41.3527508154,1.77942451562,0.0353757208115
2026-05-27T23:33:00.382,673337,0.89,-0.24,-0.11,-27.5,1.9,20.6,-8.0,45.6,-28.2,101.123,35.76,0,0,0,0,0,NONE,32,168,0.928331837222,34.4124977297,2.34741454149,0.071668162778
2026-05-27T23:33:00.429,673385,0.97,-0.3,-0.2,-20.0,5.3,23.5,-7.6,44.3,-28.1,101.124,35.76,0,0,0,0,0,NONE,59,339,1.03484298326,31.3103816649,2.80283834314,0.0348429832588
2026-05-27T23:33:00.492,673437,0.82,-0.2,-0.08,-3.1,-8.6,25.5,-7.3,42.9,-28.6,101.118,35.76,0,0,0,0,0,NONE,35,209,0.847820735769,27.089112204,4.16469381302,0.152179264231
2026-05-27T23:33:00.543,673488,1.06,-0.27,-0.22,-0.2,8.3,22.6,-8.1,43.3,-30.7,101.122,35.76,0,0,0,0,0,NONE,43,250,1.11575086825,24.0767522727,5.61825442427,0.11575086825
2026-05-27T23:33:00.588,673537,0.94,-0.29,-0.46,-48.5,14.3,11.0,-7.4,42.8,-30.7,101.125,35.76,0,0,0,0,0,NONE,39,216,1.08595580021,51.7468839642,5.49127512125,0.0859558002055
2026-05-27T23:33:00.640,673585,0.92,0.01,-0.21,18.2,-6.1,18.6,-7.4,41.6,-30.5,101.123,35.77,0,0,0,0,0,NONE,50,243,0.943716058992,26.7284492629,8.14633949834,0.0562839410077
2026-05-27T23:33:00.688,673637,0.88,-0.22,-0.15,-17.9,12.6,15.8,-7.4,41.1,-31.4,101.123,35.76,0,0,0,0,0,NONE,56,331,0.91940197955,26.9964812522,4.635373382,0.0805980204502
2026-05-27T23:33:00.737,673687,1.02,-0.11,-0.27,-56.4,24.3,12.9,-7.1,40.9,-31.4,101.123,35.77,0,0,0,0,0,NONE,54,305,1.06084871683,62.7523704732,4.29418211072,0.0608487168301
2026-05-27T23:33:00.790,673735,0.99,-0.11,-0.2,-22.0,-2.6,14.3,-6.7,39.1,-32.7,101.126,35.77,0,0,0,0,0,NONE,50,296,1.01597244057,26.3675937469,1.58661939705,0.0159724405711
2026-05-27T23:33:00.833,673787,0.97,-0.1,-0.18,-58.3,-1.1,9.8,-6.7,38.2,-33.0,101.126,35.78,0,0,0,0,0,NONE,70,401,0.991614844584,59.1281658772,0.576923076923,0.00838515541567
2026-05-27T23:33:00.895,673839,0.92,-0.07,-0.09,-41.6,11.7,2.9,-7.3,36.6,-33.6,101.123,35.77,0,0,0,0,0,NONE,72,416,0.927038294786,43.3111994754,2.06227024899,0.0729617052139
2026-05-27T23:33:00.941,673885,0.91,-0.15,-0.03,-40.6,19.2,-2.9,-6.8,35.0,-33.3,101.121,35.77,0,0,0,0,0,NONE,129,652,0.92276757637,45.004555325,2.18475556981,0.0772324236299
2026-05-27T23:33:00.992,673937,0.88,-0.18,-0.04,-52.9,22.3,-6.2,-6.5,32.6,-35.1,101.126,35.77,0,0,0,0,0,NONE,112,533,0.89911067172,57.7420124346,0.838249796835,0.10088932828
2026-05-27T23:33:01.038,673985,1.4,-0.16,-0.61,-40.8,52.4,0.4,-5.7,31.2,-35.0,101.122,35.77,0,0,0,0,0,NONE,55,240,1.53548038086,66.4120470999,16.0795008387,0.535480380858
2026-05-27T23:33:01.088,674037,0.88,-0.39,-0.21,-29.7,7.4,5.6,-4.7,29.3,-34.2,101.124,35.78,0,0,0,0,0,NONE,114,249,0.98519033694,31.116073017,13.3691887226,0.01480966306
2026-05-27T23:33:01.136,674088,0.97,-0.16,-0.41,-60.7,22.5,4.3,-3.7,27.1,-36.3,101.121,35.78,0,0,0,0,0,NONE,59,192,1.06517604179,64.8785788994,6.23147003218,0.0651760417884
2026-05-27T23:33:01.184,674137,0.9,-0.38,-0.28,-54.7,9.1,-2.9,-3.2,22.4,-35.0,101.124,35.77,0,0,0,0,0,NONE,167,487,1.01626768127,55.5275607244,5.4072005304,0.016267681273
2026-05-27T23:33:01.235,674185,0.93,-0.28,-0.23,-49.4,9.2,0.4,-3.0,20.1,-34.0,101.123,35.77,0,0,0,0,0,NONE,91,504,0.998098191562,50.2509701399,2.41163268808,0.00190180843767
2026-05-27T23:33:01.294,674237,0.85,-0.33,-0.25,-45.8,16.9,2.5,-3.1,18.2,-35.0,101.127,35.78,0,0,0,0,0,NONE,67,370,0.945462849614,48.8825122104,1.85454822327,0.0545371503861
2026-05-27T23:33:01.342,674287,0.9,-0.33,-0.25,-47.7,19.0,7.1,-2.3,16.1,-33.0,101.123,35.78,0,0,0,0,0,NONE,51,316,0.990656348084,51.8333869239,1,0.00934365191556
2026-05-27T23:33:01.395,674335,0.86,-0.32,-0.26,-49.5,13.9,9.7,-2.1,13.5,-33.3,101.123,35.78,0,0,0,0,0,NONE,70,439,0.953729521405,52.3216016574,0.883883476483,0.0462704785947
2026-05-27T23:33:01.438,674387,0.87,-0.28,-0.22,-26.7,11.0,10.6,-2.1,12.4,-32.3,101.128,35.78,0,0,0,0,0,NONE,111,912,0.940053189984,30.7611768305,1.10472358587,0.0599468100155
2026-05-27T23:33:01.489,674439,0.86,-0.32,-0.22,-33.9,15.4,12.1,-1.3,10.3,-30.9,101.122,35.78,0,0,0,0,0,NONE,235,1427,0.943610088967,39.1507343482,0.792904928003,0.0563899110332
2026-05-27T23:33:01.539,674485,0.88,-0.3,-0.21,-21.7,4.1,10.4,-1.5,8.9,-30.0,101.121,35.79,0,0,0,0,0,NONE,309,1570,0.953152663533,24.4102437513,0.652173913043,0.046847336467
2026-05-27T23:33:01.585,674537,0.94,-0.34,-0.13,-27.6,9.3,12.3,-1.3,7.8,-29.2,101.121,35.78,0,0,0,0,0,NONE,80,559,1.00801785698,31.6155025265,2.07121723351,0.00801785698469
2026-05-27T23:33:01.639,674585,0.93,-0.25,-0.16,-18.6,1.5,16.5,-1.5,6.3,-27.6,101.125,35.79,0,0,0,0,0,NONE,321,1554,0.976217188949,24.9090345056,1.98737333629,0.0237828110507
2026-05-27T23:33:01.694,674637,0.89,-0.21,-0.14,13.7,0.2,20.0,-2.5,6.3,-29.1,101.118,35.78,0,0,0,0,0,NONE,79,416,0.925094589758,24.2431433605,1.15384615385,0.0749054102417
2026-05-27T23:33:01.744,674688,0.93,-0.31,-0.15,8.4,-2.8,25.9,-3.5,5.1,-27.8,101.121,35.79,0,0,0,0,0,NONE,234,1097,0.991715685063,27.3717007144,2.12091251498,0.00828431493699
2026-05-27T23:33:01.793,674737,0.9,-0.35,-0.23,8.6,1.5,11.4,-4.1,4.8,-29.5,101.119,35.79,0,0,0,0,0,NONE,289,1425,0.992673158698,14.3586211037,1.92530227185,0.00732684130173
2026-05-27T23:33:01.842,674785,1.1,-0.23,-0.29,-31.4,0.2,8.4,-4.1,3.6,-27.7,101.124,35.79,0,0,0,0,0,NONE,427,2010,1.1606032914,32.5047688809,5.0173310745,0.160603291396
2026-05-27T23:33:01.891,674837,0.95,-0.16,-0.14,16.1,-2.5,10.5,-5.3,4.1,-27.7,101.124,35.79,0,0,0,0,0,NONE,112,510,0.973498844375,19.3832401832,4.29582844302,0.0265011556247
2026-05-27T23:33:01.942,674887,0.87,-0.09,-0.16,-27.5,11.8,8.9,-4.8,3.4,-26.9,101.126,35.79,0,0,0,0,0,NONE,612,2376,0.889156904039,31.2201857778,2.16333076528,0.110843095961
2026-05-27T23:33:01.983,674935,1.08,-0.14,-0.22,-19.1,18.1,10.3,-4.6,2.9,-25.0,101.124,35.79,0,0,0,0,0,NONE,482,3153,1.11103555299,28.257919244,4.66778260467,0.111035552986
2026-05-27T23:33:02.042,674987,0.94,-0.13,-0.15,-24.8,8.1,10.6,-5.0,2.0,-24.3,101.124,35.79,0,0,0,0,0,NONE,102,437,0.960728889958,28.1604332353,3.01622829642,0.039271110042
2026-05-27T23:33:02.095,675039,0.95,-0.09,-0.11,-17.7,13.7,8.2,-4.8,1.3,-23.3,101.122,35.79,0,0,0,0,0,NONE,82,472,0.960572745814,23.8373656263,1.10472358587,0.0394272541863
2026-05-27T23:33:02.133,675085,0.95,-0.03,-0.21,-8.1,5.4,5.6,-4.6,0.7,-21.5,101.125,35.79,0,0,0,0,0,NONE,126,674,0.973396116697,11.2307613277,2.53519647602,0.0266038833034
2026-05-27T23:33:02.193,675137,0.95,0.03,-0.13,20.4,-2.0,4.1,-5.5,-0.4,-21.4,101.123,35.8,0,0,0,0,0,NONE,143,454,0.959322677726,20.9038274007,1.92307692308,0.0406773222737
2026-05-27T23:33:02.240,675185,0.9,-0.21,0.04,-16.4,-6.9,-11.1,-5.4,-0.2,-20.4,101.121,35.79,0,0,0,0,0,NONE,97,477,0.925040539652,20.9709322635,6.21518078757,0.0749594603478
2026-05-27T23:33:02.292,675237,1.0,-0.34,-0.2,-41.7,8.1,-19.8,-4.8,-0.9,-19.7,101.127,35.79,0,0,0,0,0,NONE,124,496,1.07498837203,46.8672593609,5.59016994375,0.0749883720301
2026-05-27T23:33:02.336,675288,0.92,-0.32,-0.47,-21.7,-19.0,-2.0,-4.8,-2.1,-18.4,101.123,35.79,0,0,0,0,0,NONE,60,370,1.0815266987,28.9117623122,5.53552714255,0.0815266986996
2026-05-27T23:33:02.383,675337,1.03,-0.11,-0.23,10.2,9.8,5.2,-5.0,-2.6,-17.7,101.12,35.79,0,0,0,0,0,NONE,107,224,1.06108435103,15.070500987,6.8845419565,0.0610843510296
2026-05-27T23:33:02.436,675385,0.91,-0.34,-0.23,-21.9,-3.5,-4.9,-5.5,-2.7,-17.3,101.124,35.8,0,0,0,0,0,NONE,35,195,0.998298552538,22.7127717375,5.40463407128,0.00170144746173
2026-05-27T23:33:02.480,675437,0.94,-0.29,-0.12,-9.5,-0.8,-7.3,-5.0,-3.5,-16.0,101.12,35.79,0,0,0,0,0,NONE,42,175,0.99100958623,12.0074976577,2.39421146115,0.00899041376988
2026-05-27T23:33:02.533,675487,0.88,-0.28,-0.18,1.3,-2.0,-3.8,-4.5,-3.6,-14.7,101.125,35.79,0,0,0,0,0,NONE,41,171,0.940850678907,4.48664685483,1.70880074906,0.0591493210929
2026-05-27T23:33:02.580,675535,0.84,-0.3,-0.16,-7.1,7.7,-4.1,-4.8,-3.6,-15.4,101.123,35.79,0,0,0,0,0,NONE,104,476,0.906200860737,11.2476664246,1.02062072616,0.0937991392633
2026-05-27T23:33:02.640,675587,0.91,-0.3,-0.17,-13.4,9.8,-3.0,-4.3,-3.5,-14.8,101.122,35.79,0,0,0,0,0,NONE,172,863,0.973139250056,16.8700918788,1.35982073305,0.0268607499438
2026-05-27T23:33:02.692,675639,0.89,-0.33,-0.18,-15.1,10.0,1.8,-4.1,-3.4,-13.2,101.122,35.79,0,0,0,0,0,NONE,180,951,0.966126285741,18.2002747232,0.719549497457,0.0338737142588
2026-05-27T23:33:02.738,675685,0.91,-0.32,-0.29,-17.5,12.4,3.1,-3.4,-3.6,-12.0,101.122,35.79,0,0,0,0,0,NONE,350,2302,1.00727354775,21.67071757,2.4402113392,0.00727354775155
2026-05-27T23:33:02.785,675739,0.9,-0.24,-0.13,-21.5,-15.5,5.1,-4.0,-3.5,-11.1,101.121,35.79,0,0,0,0,0,NONE,147,1060,0.940478601564,26.9909244006,3.31786534577,0.0595213984359
2026-05-27T23:33:02.837,675785,0.89,-0.33,-0.07,-31.5,12.1,8.5,-3.9,-3.6,-10.4,101.122,35.8,0,0,0,0,0,NONE,97,643,0.951787791475,34.7981321338,2.36147401983,0.0482122085255
2026-05-27T23:33:02.886,675837,0.88,-0.28,-0.08,-28.5,16.2,10.9,-3.6,-3.4,-9.7,101.125,35.8,0,0,0,0,0,NONE,156,899,0.926930418101,34.5470693402,0.99926008129,0.0730695818995
2026-05-27T23:33:02.944,675889,0.91,-0.36,0.0,-39.3,31.1,16.7,-4.0,-3.5,-7.8,101.123,35.79,0,0,0,0,0,NONE,273,1346,0.978621479429,52.8260352478,2.25090382898,0.0213785205709
2026-05-27T23:33:02.992,675937,0.95,-0.26,-0.15,-35.3,31.2,22.6,-3.4,-3.6,-4.7,101.123,35.79,0,0,0,0,0,NONE,143,536,0.996293129556,52.2521769881,3.84712194013,0.00370687044425
2026-05-27T23:33:03.040,675985,0.91,-0.3,-0.14,-34.4,16.8,25.0,-3.7,-3.9,-3.9,101.121,35.79,0,0,0,0,0,NONE,126,505,0.9683491106,45.7230795113,1.1967838847,0.0316508893999
2026-05-27T23:33:03.088,676037,1.24,-0.6,-0.32,-49.9,33.4,20.1,-4.1,-3.6,-1.7,101.122,35.8,0,0,0,0,0,NONE,102,307,1.41421356237,63.3212444603,9.24878050493,0.414213562373
2026-05-27T23:33:03.140,676087,0.82,-0.06,-0.24,-76.0,1.8,33.0,-4.4,-2.8,0.9,101.123,35.8,0,0,0,0,0,NONE,38,206,0.856504524215,82.8748453996,13.7753402862,0.143495475785
2026-05-27T23:33:03.191,676135,0.95,-0.24,-0.14,-13.5,13.1,30.5,-5.6,-3.1,1.9,101.124,35.79,0,0,0,0,0,NONE,64,381,0.989797959182,35.8344806018,5.07324819245,0.0102020408184
2026-05-27T23:33:03.244,676187,0.86,-0.11,-0.19,-81.2,16.8,26.1,-6.1,-2.4,3.4,101.127,35.79,0,0,0,0,0,NONE,86,345,0.887580982221,86.9303744384,3.18906229842,0.112419017779
2026-05-27T23:33:03.285,676239,1.04,-0.11,-0.25,-68.7,18.5,12.6,-6.8,-2.0,5.9,101.123,35.79,0,0,0,0,0,NONE,75,439,1.0752674086,72.25441163,3.64878191558,0.0752674086012
2026-05-27T23:33:03.329,676285,0.91,-0.21,-0.15,-67.0,15.4,15.9,-7.4,-1.1,7.3,101.125,35.79,0,0,0,0,0,NONE,70,348,0.945885828205,70.56181687,4.17595058963,0.0541141717945
2026-05-27T23:33:03.393,676337,0.94,-0.15,-0.24,-81.5,26.6,18.1,-8.2,-0.4,9.3,101.124,35.8,0,0,0,0,0,NONE,51,333,0.981682229645,87.6208879206,2.15864849237,0.0183177703554
2026-05-27T23:33:03.441,676385,0.93,-0.12,-0.22,-73.9,25.1,18.2,-8.5,0.7,12.2,101.125,35.79,0,0,0,0,0,NONE,94,697,0.963171843442,80.1402520585,0.779511955578,0.0368281565577
2026-05-27T23:33:03.494,676437,0.94,-0.14,-0.21,-80.1,25.1,15.4,-9.5,2.6,15.1,101.126,35.8,0,1,0,0,1,NONE,85,439,0.973293378175,85.3415490837,0.471055719766,0.0267066218246
2026-05-27T23:33:03.543,676489,0.96,-0.17,-0.22,-82.1,17.4,9.8,-9.8,3.5,16.3,101.119,35.8,0,1,0,0,1,NONE,111,730,0.999449848667,84.4938459297,0.719549497457,0.000550151333245
2026-05-27T23:33:03.594,676537,0.93,-0.12,-0.24,-96.3,15.3,8.5,-9.3,5.1,18.9,101.125,35.79,0,0,0,0,0,NONE,92,539,0.967935948294,97.8776276786,1.28425291729,0.0320640517059
2026-05-27T23:33:03.630,676585,0.93,-0.17,-0.15,-82.8,12.0,4.9,-10.1,7.2,21.6,101.124,35.79,0,0,0,0,0,NONE,75,381,0.957235603182,83.8084124656,2.14492294604,0.0427643968176
