pc_timestamp_iso,ms,ax,ay,az,gx,gy,gz,mx,my,mz,press,baro_t,prox,cr,cg,cb,light,gesture,mic,p2p
2026-05-27T23:39:06.383,1039343,0.98,-0.22,-0.2,31.6,-7.1,-12.5,-14.8,49.1,-33.4,101.124,36.47,0,0,0,0,0,NONE,189,292
2026-05-27T23:39:06.428,1039383,0.88,-0.29,-0.19,21.9,-16.6,-11.0,-16.3,50.4,-32.0,101.123,36.48,0,0,0,0,0,NONE,42,152
2026-05-27T23:39:06.479,1039434,0.9,-0.24,-0.18,23.7,-1.2,-9.3,-17.1,50.9,-32.4,101.125,36.49,0,0,0,0,0,NONE,60,164
2026-05-27T23:39:06.528,1039486,0.93,-0.23,-0.21,25.1,-4.6,-6.3,-17.9,52.2,-31.5,101.124,36.49,0,0,0,0,0,NONE,41,182
2026-05-27T23:39:06.576,1039532,0.86,-0.12,-0.13,27.4,12.0,-8.1,-18.8,53.1,-31.2,101.122,36.51,0,0,0,0,0,NONE,115,145
2026-05-27T23:39:06.629,1039584,0.94,-0.2,-0.15,33.8,15.2,-9.5,-19.0,54.1,-30.7,101.119,36.5,0,0,0,0,0,NONE,156,164
2026-05-27T23:39:06.673,1039632,1.01,-0.23,-0.2,56.2,12.0,-5.9,-19.9,55.7,-31.6,101.121,36.51,0,0,0,0,0,NONE,108,152
2026-05-27T23:39:06.729,1039684,0.86,-0.22,-0.21,29.3,15.0,-4.2,-20.0,57.1,-30.8,101.125,36.51,0,0,0,0,0,NONE,75,265
2026-05-27T23:39:06.775,1039734,0.94,-0.11,-0.13,45.8,17.5,-2.1,-20.0,58.0,-29.6,101.129,36.52,0,0,0,0,0,NONE,47,260
2026-05-27T23:39:06.822,1039783,0.96,-0.08,-0.2,66.5,26.9,4.1,-20.3,59.6,-29.5,101.13,36.52,0,0,0,0,0,NONE,131,295
2026-05-27T23:39:06.867,1039834,1.01,-0.4,-0.32,68.4,29.1,5.1,-19.8,61.2,-27.6,101.122,36.52,0,0,0,0,0,NONE,148,184
2026-05-27T23:39:06.931,1039886,0.91,-0.37,-0.44,45.5,52.4,18.6,-19.5,63.8,-25.4,101.129,36.52,0,0,0,0,0,NONE,62,259
2026-05-27T23:39:06.974,1039932,0.95,-0.03,-0.4,78.7,30.2,9.2,-18.7,65.5,-24.3,101.125,36.53,0,0,0,0,0,NONE,121,642
2026-05-27T23:39:07.030,1039984,0.91,-0.2,-0.51,77.3,25.1,2.5,-17.6,67.6,-23.4,101.124,36.53,0,0,0,0,0,NONE,76,367
2026-05-27T23:39:07.078,1040032,0.87,-0.18,-0.46,63.0,19.3,6.3,-17.4,68.9,-20.1,101.12,36.53,0,0,0,0,0,NONE,110,235
2026-05-27T23:39:07.130,1040084,0.91,-0.08,-0.45,46.7,21.4,7.1,-17.1,70.9,-16.0,101.123,36.53,0,0,0,0,0,NONE,132,228
2026-05-27T23:39:07.174,1040133,0.93,-0.0,-0.43,22.2,16.1,4.0,-17.1,70.9,-16.0,101.125,36.54,0,0,0,0,0,NONE,66,402
2026-05-27T23:39:07.218,1040182,0.88,0.06,-0.41,15.8,17.5,-0.9,-17.3,73.1,-14.5,101.122,36.54,0,0,0,0,0,NONE,58,195
2026-05-27T23:39:07.277,1040234,0.94,0.15,-0.52,24.4,6.4,-6.8,-18.5,73.8,-14.6,101.126,36.54,0,0,0,0,0,NONE,51,201
2026-05-27T23:39:07.319,1040282,0.86,0.06,-0.46,27.0,-4.2,-10.0,-19.1,74.2,-14.3,101.122,36.54,0,0,0,0,0,NONE,81,207
2026-05-27T23:39:07.379,1040334,0.89,0.09,-0.45,28.7,-3.7,-9.8,-20.5,74.7,-13.4,101.127,36.55,0,0,0,0,0,NONE,62,139
