pc_timestamp_iso,ms,ax,ay,az,gx,gy,gz,mx,my,mz,press,baro_t,prox,cr,cg,cb,light,gesture,mic,p2p
2026-05-27T23:32:59.497,672449,0.9,-0.3,0.05,42.4,7.1,6.7,-8.9,49.4,-24.3,101.12,35.68,0,1,0,0,1,NONE,32,128
2026-05-27T23:32:59.542,672486,1.06,0.02,-0.3,4.5,32.8,16.5,-8.0,49.1,-23.0,101.119,35.69,0,1,0,0,1,NONE,69,86
2026-05-27T23:32:59.586,672535,0.91,-0.15,-0.05,19.5,7.1,10.6,-7.8,49.8,-23.3,101.125,35.7,0,0,0,0,0,NONE,32,125
2026-05-27T23:32:59.642,672587,0.91,-0.03,-0.13,12.7,19.4,4.6,-7.5,50.5,-23.5,101.125,35.7,0,0,0,0,0,NONE,59,221
2026-05-27T23:32:59.691,672635,0.91,-0.09,-0.12,-4.6,19.1,-4.7,-7.1,50.3,-22.5,101.125,35.71,0,0,0,0,0,NONE,56,344
2026-05-27T23:32:59.738,672687,0.9,-0.07,-0.12,-17.2,11.0,-12.8,-7.4,49.7,-23.7,101.126,35.72,0,0,0,0,0,NONE,74,481
2026-05-27T23:32:59.790,672735,0.89,0.02,-0.07,4.7,3.3,-8.4,-7.8,50.3,-22.4,101.128,35.72,0,0,0,0,0,NONE,70,427
2026-05-27T23:32:59.838,672787,1.11,-0.02,-0.6,-18.4,59.6,-3.5,-8.3,50.6,-23.2,101.123,35.72,0,0,0,0,0,NONE,56,267
2026-05-27T23:32:59.889,672839,1.02,-0.48,-0.23,17.8,-44.3,2.1,-6.7,50.4,-23.0,101.123,35.73,0,0,0,0,0,NONE,144,150
2026-05-27T23:32:59.935,672885,0.9,-0.14,-0.37,-43.1,20.6,0.7,-7.5,50.5,-23.2,101.124,35.74,0,0,0,0,0,NONE,58,329
2026-05-27T23:32:59.984,672937,1.02,-0.31,-0.35,11.8,-12.5,-3.5,-7.1,49.5,-24.0,101.125,35.74,0,0,0,0,0,NONE,77,432
2026-05-27T23:33:00.027,672985,0.77,-0.32,-0.26,-12.5,-2.1,-9.9,-7.3,50.3,-22.6,101.121,35.74,0,0,0,0,0,NONE,65,337
2026-05-27T23:33:00.092,673037,0.88,-0.31,-0.29,-11.1,-2.5,-3.7,-8.0,50.2,-23.8,101.122,35.74,0,0,0,0,0,NONE,73,333
2026-05-27T23:33:00.142,673087,0.87,-0.32,-0.29,-13.2,0.1,-4.2,-8.4,49.4,-24.0,101.121,35.74,0,0,0,0,0,NONE,41,293
2026-05-27T23:33:00.188,673135,0.87,-0.32,-0.29,-26.1,5.6,-1.6,-8.4,49.3,-24.0,101.121,35.75,0,0,0,0,0,NONE,56,278
2026-05-27T23:33:00.236,673187,0.86,-0.35,-0.23,-24.5,4.6,1.5,-9.0,48.8,-26.1,101.124,35.75,0,0,0,0,0,NONE,69,414
2026-05-27T23:33:00.289,673239,0.87,-0.33,-0.2,-43.2,11.0,7.7,-8.7,47.7,-26.7,101.12,35.75,0,0,0,0,0,NONE,65,378
2026-05-27T23:33:00.334,673285,0.9,-0.26,-0.23,-38.0,9.3,13.4,-8.5,46.6,-27.0,101.122,35.76,0,0,0,0,0,NONE,46,271
2026-05-27T23:33:00.382,673337,0.89,-0.24,-0.11,-27.5,1.9,20.6,-8.0,45.6,-28.2,101.123,35.76,0,0,0,0,0,NONE,32,168
2026-05-27T23:33:00.429,673385,0.97,-0.3,-0.2,-20.0,5.3,23.5,-7.6,44.3,-28.1,101.124,35.76,0,0,0,0,0,NONE,59,339
2026-05-27T23:33:00.492,673437,0.82,-0.2,-0.08,-3.1,-8.6,25.5,-7.3,42.9,-28.6,101.118,35.76,0,0,0,0,0,NONE,35,209
2026-05-27T23:33:00.543,673488,1.06,-0.27,-0.22,-0.2,8.3,22.6,-8.1,43.3,-30.7,101.122,35.76,0,0,0,0,0,NONE,43,250
2026-05-27T23:33:00.588,673537,0.94,-0.29,-0.46,-48.5,14.3,11.0,-7.4,42.8,-30.7,101.125,35.76,0,0,0,0,0,NONE,39,216
2026-05-27T23:33:00.640,673585,0.92,0.01,-0.21,18.2,-6.1,18.6,-7.4,41.6,-30.5,101.123,35.77,0,0,0,0,0,NONE,50,243
2026-05-27T23:33:00.688,673637,0.88,-0.22,-0.15,-17.9,12.6,15.8,-7.4,41.1,-31.4,101.123,35.76,0,0,0,0,0,NONE,56,331
2026-05-27T23:33:00.737,673687,1.02,-0.11,-0.27,-56.4,24.3,12.9,-7.1,40.9,-31.4,101.123,35.77,0,0,0,0,0,NONE,54,305
2026-05-27T23:33:00.790,673735,0.99,-0.11,-0.2,-22.0,-2.6,14.3,-6.7,39.1,-32.7,101.126,35.77,0,0,0,0,0,NONE,50,296
2026-05-27T23:33:00.833,673787,0.97,-0.1,-0.18,-58.3,-1.1,9.8,-6.7,38.2,-33.0,101.126,35.78,0,0,0,0,0,NONE,70,401
2026-05-27T23:33:00.895,673839,0.92,-0.07,-0.09,-41.6,11.7,2.9,-7.3,36.6,-33.6,101.123,35.77,0,0,0,0,0,NONE,72,416
2026-05-27T23:33:00.941,673885,0.91,-0.15,-0.03,-40.6,19.2,-2.9,-6.8,35.0,-33.3,101.121,35.77,0,0,0,0,0,NONE,129,652
2026-05-27T23:33:00.992,673937,0.88,-0.18,-0.04,-52.9,22.3,-6.2,-6.5,32.6,-35.1,101.126,35.77,0,0,0,0,0,NONE,112,533
2026-05-27T23:33:01.038,673985,1.4,-0.16,-0.61,-40.8,52.4,0.4,-5.7,31.2,-35.0,101.122,35.77,0,0,0,0,0,NONE,55,240
2026-05-27T23:33:01.088,674037,0.88,-0.39,-0.21,-29.7,7.4,5.6,-4.7,29.3,-34.2,101.124,35.78,0,0,0,0,0,NONE,114,249
