pc_timestamp_iso,ms,ax,ay,az,gx,gy,gz,mx,my,mz,press,baro_t,prox,cr,cg,cb,light,gesture,mic,p2p
2026-05-27T23:31:26.093,579041,1.08,-0.19,-0.23,-25.5,13.5,6.8,-2.9,12.5,21.3,101.127,35.21,0,1,0,1,2,NONE,42,202
2026-05-27T23:31:26.137,579079,0.95,0.04,-0.17,-7.5,-6.3,9.2,-3.4,12.3,22.9,101.124,35.23,0,1,0,1,2,NONE,45,206
2026-05-27T23:31:26.187,579128,0.96,-0.12,-0.16,16.9,-2.1,3.4,-3.3,13.3,22.1,101.124,35.24,0,1,0,0,1,NONE,41,198
2026-05-27T23:31:26.231,579180,0.89,-0.19,-0.19,-1.7,8.0,0.0,-2.9,12.8,22.7,101.124,35.25,0,1,0,0,1,NONE,71,439
2026-05-27T23:31:26.279,579229,0.9,-0.09,-0.2,0.1,9.5,-1.5,-4.1,13.3,23.3,101.119,35.25,0,1,0,0,1,NONE,39,220
2026-05-27T23:31:26.332,579280,0.92,-0.09,-0.17,2.1,13.1,-3.3,-3.9,13.2,22.9,101.123,35.25,0,1,0,0,1,NONE,60,260
2026-05-27T23:31:26.380,579332,0.95,-0.12,-0.17,-0.1,18.2,-5.9,-3.8,13.4,23.0,101.121,35.26,0,1,0,0,1,NONE,44,167
2026-05-27T23:31:26.426,579380,0.98,-0.18,-0.12,-7.6,15.8,-7.9,-4.0,14.1,22.9,101.124,35.26,0,1,0,0,1,NONE,39,227
2026-05-27T23:31:26.489,579428,1.05,-0.08,-0.24,-5.1,19.7,-6.0,-4.0,14.5,23.1,101.126,35.27,0,1,0,0,1,NONE,39,208
2026-05-27T23:31:26.537,579477,0.97,-0.14,-0.28,5.3,18.7,-3.8,-4.0,14.5,23.1,101.126,35.27,0,1,0,0,1,NONE,31,163
2026-05-27T23:31:26.585,579529,0.96,-0.19,-0.21,2.8,18.6,-5.6,-5.0,14.9,24.9,101.123,35.28,0,1,0,0,1,NONE,36,184
2026-05-27T23:31:26.633,579580,0.8,-0.23,-0.27,-16.2,18.2,-9.5,-4.8,14.7,25.2,101.126,35.28,0,1,0,0,1,NONE,35,176
2026-05-27T23:31:26.685,579632,0.79,-0.17,-0.33,-18.3,19.5,-6.7,-5.7,16.0,25.9,101.124,35.28,0,0,0,0,0,NONE,66,172
2026-05-27T23:31:26.733,579680,0.85,-0.4,-0.46,-35.6,22.4,-8.4,-5.6,17.4,26.6,101.123,35.28,0,0,0,0,0,NONE,38,173
2026-05-27T23:31:26.777,579728,1.02,-0.27,-0.45,-23.4,13.6,-0.4,-5.6,18.2,26.7,101.123,35.29,0,1,0,0,1,NONE,41,170
2026-05-27T23:31:26.841,579780,1.0,-0.28,-0.32,9.7,1.3,4.2,-6.0,18.4,26.0,101.126,35.29,0,1,0,0,1,NONE,68,327
2026-05-27T23:31:26.889,579832,0.91,-0.29,-0.32,-7.9,6.2,2.1,-6.3,18.7,26.7,101.124,35.29,0,0,0,0,0,NONE,30,132
2026-05-27T23:31:26.937,579878,0.87,-0.36,-0.37,-8.6,10.7,2.0,-6.6,18.9,26.8,101.124,35.29,0,0,0,0,0,NONE,37,147
2026-05-27T23:31:26.985,579930,0.9,-0.28,-0.33,-8.6,15.7,5.6,-6.8,19.3,27.5,101.124,35.29,0,1,0,0,1,NONE,39,184
2026-05-27T23:31:27.039,579978,0.86,-0.28,-0.23,1.2,8.5,11.5,-7.3,19.5,27.2,101.122,35.3,0,1,0,0,1,NONE,75,583
2026-05-27T23:31:27.089,580030,0.92,-0.27,-0.23,-4.5,6.7,15.9,-7.4,19.2,28.1,101.123,35.3,0,1,0,0,1,NONE,80,511
2026-05-27T23:31:27.140,580082,0.9,-0.17,-0.2,12.9,-11.5,18.3,-7.9,18.9,28.9,101.124,35.3,0,1,0,0,1,NONE,50,319
2026-05-27T23:31:27.176,580130,0.84,-0.25,-0.15,29.4,-26.6,25.6,-6.7,18.6,28.2,101.13,35.3,0,1,0,0,1,NONE,34,185
2026-05-27T23:31:27.224,580178,0.96,-0.49,-0.32,20.3,-7.4,24.4,-6.2,17.6,27.9,101.12,35.3,0,1,0,0,1,NONE,26,175
2026-05-27T23:31:27.288,580230,0.96,-0.27,-0.46,-37.0,-2.8,25.0,-6.8,17.9,25.7,101.122,35.31,0,1,0,0,1,NONE,32,191
2026-05-27T23:31:27.338,580280,0.94,0.02,-0.35,-0.2,-11.2,18.6,-7.0,19.1,26.6,101.122,35.31,0,1,0,0,1,NONE,32,157
2026-05-27T23:31:27.390,580328,0.78,-0.14,-0.32,9.2,-4.5,9.2,-6.3,18.2,28.1,101.121,35.31,0,1,0,0,1,NONE,26,139
2026-05-27T23:31:27.436,580380,1.05,-0.09,-0.35,9.4,4.0,8.2,-6.6,17.8,27.1,101.122,35.31,0,1,0,0,1,NONE,91,527
2026-05-27T23:31:27.483,580432,1.0,-0.15,-0.28,-22.0,4.1,3.7,-6.4,18.5,26.3,101.123,35.32,0,1,0,0,1,NONE,61,399
2026-05-27T23:31:27.532,580478,0.91,-0.14,-0.27,-39.7,2.5,5.9,-6.7,19.5,28.4,101.123,35.31,0,1,0,0,1,NONE,27,176
2026-05-27T23:31:27.585,580530,0.96,-0.1,-0.25,-37.4,6.5,4.8,-6.6,20.8,28.1,101.124,35.32,0,1,0,0,1,NONE,55,288
2026-05-27T23:31:27.638,580578,0.92,-0.1,-0.26,-38.4,12.9,9.5,-7.2,22.4,29.1,101.124,35.31,0,1,0,0,1,NONE,56,328
2026-05-27T23:31:27.690,580630,0.9,-0.13,-0.26,-50.6,18.2,6.9,-7.9,23.3,29.6,101.123,35.31,0,1,0,0,1,NONE,86,403
2026-05-27T23:31:27.737,580682,0.97,-0.17,-0.23,-41.8,19.1,8.0,-8.1,25.3,29.4,101.123,35.32,0,1,0,0,1,NONE,61,349
2026-05-27T23:31:27.785,580730,0.91,-0.27,-0.15,-65.6,10.3,3.0,-8.3,27.0,28.7,101.124,35.31,0,1,0,0,1,NONE,46,279
2026-05-27T23:31:27.834,580778,0.87,-0.33,-0.22,-93.4,15.4,-3.1,-9.0,28.9,29.7,101.124,35.31,0,1,0,0,1,NONE,111,569
2026-05-27T23:31:27.880,580830,0.83,-0.25,-0.45,-100.2,28.9,-5.4,-9.1,32.8,30.4,101.123,35.32,0,1,0,1,2,NONE,80,472
2026-05-27T23:31:27.930,580880,0.83,-0.14,-0.37,-90.7,32.3,-14.3,-10.3,35.3,29.8,101.123,35.31,0,1,0,1,2,NONE,127,790
2026-05-27T23:31:27.976,580928,0.85,-0.25,-0.28,-80.0,29.4,6.0,-11.5,38.6,29.3,101.121,35.31,0,1,0,0,1,NONE,111,698
2026-05-27T23:31:28.038,580980,1.16,-0.38,-0.38,-65.8,26.2,9.6,-11.9,41.0,27.7,101.122,35.32,0,1,0,0,1,NONE,88,575
2026-05-27T23:31:28.090,581032,1.03,-0.43,-0.24,-62.6,10.1,12.9,-12.3,42.7,28.7,101.122,35.32,0,1,0,0,1,NONE,122,657
2026-05-27T23:31:28.134,581078,0.86,-0.43,-0.21,-77.3,9.3,10.4,-13.5,44.8,27.3,101.125,35.32,0,1,0,0,1,NONE,146,811
2026-05-27T23:31:28.182,581130,0.81,-0.4,-0.16,-82.5,19.9,13.8,-13.2,47.2,24.9,101.126,35.32,0,1,0,1,2,NONE,112,640
2026-05-27T23:31:28.234,581178,0.8,-0.32,-0.19,-76.7,22.9,20.9,-13.6,49.8,24.4,101.129,35.32,0,1,0,1,2,NONE,87,586
2026-05-27T23:31:28.278,581230,0.86,-0.37,-0.16,-63.5,23.3,29.2,-14.1,51.4,23.1,101.122,35.32,0,1,0,1,2,NONE,83,492
2026-05-27T23:31:28.340,581282,0.87,-0.4,-0.11,-65.4,22.2,34.8,-14.5,52.5,21.1,101.122,35.31,0,1,0,1,2,NONE,103,597
2026-05-27T23:31:28.374,581330,0.86,-0.33,-0.09,-61.9,14.2,35.8,-14.0,54.0,19.9,101.125,35.32,0,1,0,1,2,NONE,64,436
2026-05-27T23:31:28.422,581378,0.97,-0.38,-0.22,-70.3,22.8,30.3,-13.5,55.1,18.9,101.124,35.32,0,1,0,1,2,NONE,51,300
2026-05-27T23:31:28.487,581430,0.89,-0.31,-0.26,-54.9,12.8,27.6,-13.2,56.7,18.0,101.125,35.32,0,1,0,1,2,NONE,39,253
2026-05-27T23:31:28.538,581480,0.97,-0.3,-0.23,-67.0,14.8,21.6,-12.5,57.2,16.6,101.128,35.33,0,1,0,1,2,NONE,39,212
2026-05-27T23:31:28.583,581528,0.8,-0.17,-0.22,-49.3,9.6,24.0,-11.9,58.2,14.7,101.127,35.33,0,1,0,1,2,NONE,41,235
2026-05-27T23:31:28.635,581580,0.89,-0.15,-0.36,-38.8,19.2,22.8,-11.5,58.5,11.7,101.123,35.32,0,1,0,1,2,NONE,49,197
2026-05-27T23:31:28.683,581632,1.15,-0.21,-0.31,-69.9,26.3,14.9,-10.7,59.6,10.7,101.123,35.32,0,1,0,1,2,NONE,85,449
2026-05-27T23:31:28.732,581678,1.02,-0.05,-0.24,-52.8,17.2,18.0,-11.6,59.8,8.6,101.123,35.33,0,1,0,1,2,NONE,95,605
2026-05-27T23:31:28.787,581730,0.95,-0.13,-0.2,-31.7,18.6,19.1,-10.7,60.3,7.9,101.122,35.33,0,1,1,1,3,NONE,85,494
2026-05-27T23:31:28.824,581778,0.86,-0.25,-0.2,-55.8,28.1,0.1,-10.7,60.8,7.1,101.123,35.32,0,1,1,1,3,NONE,102,630
2026-05-27T23:31:28.889,581830,1.0,-0.13,-0.24,-42.1,25.2,14.6,-10.8,61.0,4.6,101.123,35.33,0,1,0,1,2,NONE,89,486
