window_start_ts,window_end_ts,session_id,class,label,source,svm_mean,svm_std,svm_max,svm_min,jerk_mean,jerk_std,jerk_max,jerk_min,KII_mean,KII_std,KII_max,KII_min,omega_mean,omega_std,omega_max,omega_min,theta_mean,theta_std,theta_max,theta_min,theta_range,jerk_energy,free_fall_n,impact_n,high_rot_n,svm_dev_mean,press_delta,mic_p2p_max,mic_p2p_mean,GSI,jerk_sparsity,angular_impulse,press_slope,hr_mean,hr_max,hr_delta,hr_spike,spo2_min,spo2_mean,rmssd,sdnn,hr_accel,osi,css_max,css_mean,fcri,class_en,category
2026-05-05T17:25:00+07:00,2026-05-05T17:25:01.950000+07:00,ล้มไ_00_orig,ล้มไปด้านหลัง,1,original,0.9973,0.0477,1.0755,0.918,1.6878,0.6549,3.2733,0.0,2.7693,1.1048,5.7227,0.0,28.8244,10.5936,47.8345,10.4558,103.9527,2.9247,109.3523,98.8234,10.529,3.2668,0,0,0,0.0402,0.001,632.2,487.8,0.9519,0.0,57.649,-0.000726,84.4,84.5,0.2,0.1,97.2,98.0,3.62,0.47,0.085,0.0173,0.0023,0.0008,0.296,backward_fall,fall
2026-05-05T17:25:00.500000+07:00,2026-05-05T17:25:02.450000+07:00,ล้มไ_00_orig,ล้มไปด้านหลัง,1,original,0.9971,0.0462,1.0641,0.916,1.7676,0.5319,3.2733,0.3699,2.8564,0.8815,4.7128,0.6046,28.3067,10.579,48.9523,10.4558,103.7841,2.959,108.6299,98.8234,9.806,3.4004,0,0,0,0.0378,0.0,623.2,492.7,0.9531,0.0,56.613,-0.00146,84.4,84.5,0.1,0.1,97.2,98.0,2.56,0.39,0.07,0.0093,0.0026,0.0013,0.2932,backward_fall,fall
2026-05-05T17:25:01+07:00,2026-05-05T17:25:02.950000+07:00,ล้มไ_00_orig,ล้มไปด้านหลัง,1,original,0.9953,0.0431,1.063,0.916,1.734,0.5475,3.2733,0.3699,2.81,0.9108,4.5331,0.6046,28.6307,10.638,49.2757,12.8357,103.7565,2.7957,108.6299,98.8234,9.806,3.299,0,0,0,0.035,0.007,623.2,498.0,0.9542,0.0,57.261,0.000805,84.5,84.6,0.2,0.1,97.2,98.0,3.86,0.59,0.109,0.0185,0.0035,0.0016,0.2927,backward_fall,fall
2026-05-05T17:25:01.500000+07:00,2026-05-05T17:25:03.450000+07:00,ล้มไ_00_orig,ล้มไปด้านหลัง,1,original,0.9908,0.0471,1.0703,0.9053,1.7106,0.5474,2.7986,0.3699,2.8079,0.961,4.8637,0.6046,29.3733,11.1895,49.692,13.2149,103.7776,2.6776,108.6299,99.4887,9.141,3.2185,0,0,0,0.0401,0.006,623.2,495.7,0.9462,0.0,58.747,0.001469,84.5,84.7,0.3,0.2,97.2,98.0,4.63,0.77,0.143,0.0296,0.0057,0.0025,0.5872,backward_fall,fall
2026-05-05T17:25:02+07:00,2026-05-05T17:25:03.950000+07:00,ล้มไ_00_orig,ล้มไปด้านหลัง,1,original,0.9854,0.0479,1.0703,0.9053,1.6937,0.5666,2.7986,0.3699,2.8105,1.036,4.8637,0.6046,29.8896,11.8514,49.9624,10.7095,103.6537,2.7191,108.6299,99.4887,9.141,3.1817,0,0,0,0.0409,0.004,623.2,503.9,0.9403,0.0,59.779,0.000822,84.6,84.9,0.4,0.3,97.2,97.9,5.45,1.09,0.207,0.0394,0.0078,0.0037,0.8809,backward_fall,fall
2026-05-05T17:25:02.500000+07:00,2026-05-05T17:25:04.450000+07:00,ล้มไ_00_orig,ล้มไปด้านหลัง,1,original,0.8468,0.2669,1.0703,0.2243,2.8154,3.7839,21.8336,0.7679,13.9084,42.3018,265.9537,1.16,67.1702,84.7229,310.7683,8.8624,98.3601,22.514,136.6844,28.3833,108.301,21.8861,8,0,7,0.1702,0.001,619.6,498.9,0.6684,0.075,134.34,-0.001135,84.8,85.4,0.9,0.6,97.2,97.9,9.6,1.64,0.315,0.0082,0.1147,0.0148,6.148,backward_fall,fall
2026-05-05T17:25:03+07:00,2026-05-05T17:25:04.950000+07:00,ล้มไ_00_orig,ล้มไปด้านหลัง,1,original,1.0303,1.0329,4.5648,0.2222,7.0496,15.6485,91.0731,0.7813,38.6493,92.4703,503.0614,1.16,98.2722,106.4096,310.7683,8.606,95.0109,39.4765,173.124,28.3833,144.741,288.4513,14,4,13,0.5582,0.003,2328.6,657.7,0.5068,0.125,196.544,-0.000452,85.3,87.5,2.9,2.2,97.4,98.0,19.57,6.73,1.187,0.0199,0.2274,0.0554,34.4951,backward_fall,fall
2026-05-05T17:25:03.500000+07:00,2026-05-05T17:25:05.450000+07:00,ล้มไ_00_orig,ล้มไปด้านหลัง,1,original,1.1015,1.1496,4.5648,0.2222,10.4347,21.709,104.0707,0.7813,43.7567,92.8288,503.0614,1.16,92.2835,110.6184,310.7683,2.7366,76.0255,53.7562,173.124,2.6256,170.498,568.3823,14,5,13,0.6415,-0.002,2328.6,667.5,0.5124,0.075,184.567,0.000771,86.3,89.6,4.9,3.3,97.4,98.0,25.42,12.86,2.592,0.0286,0.2274,0.0706,51.7427,backward_fall,fall
2026-05-05T17:25:04+07:00,2026-05-05T17:25:05.950000+07:00,ล้มไ_00_orig,ล้มไปด้านหลัง,1,original,1.0956,1.1503,4.5648,0.2222,10.5757,21.6592,104.0707,0.7443,43.7001,92.8558,503.0614,0.7575,85.8191,114.6939,310.7683,0.0787,52.4632,56.9794,173.124,2.6256,170.498,569.2402,14,5,13,0.6431,0.0,2328.6,671.9,0.5095,0.05,171.638,-0.000122,87.6,91.0,6.1,3.4,97.4,98.0,27.43,16.47,3.584,0.0356,0.2274,0.0856,53.3106,backward_fall,fall
2026-05-05T17:25:04.500000+07:00,2026-05-05T17:25:06.450000+07:00,ล้มไ_00_orig,ล้มไปด้านหลัง,1,original,1.2323,1.0881,4.5648,0.2222,9.1661,21.8558,104.0707,0.2905,32.0255,86.8783,503.0614,0.2968,41.4258,89.1873,289.1221,0.0787,34.0713,52.4076,173.124,2.6256,170.498,549.7513,6,5,6,0.507,-0.004,2328.6,672.9,0.5901,0.1,82.852,-0.001289,89.3,92.4,6.8,3.1,97.4,98.0,27.8,15.45,3.473,0.0397,0.2274,0.0917,48.6067,backward_fall,fall
