pc_timestamp_iso,ms,ax,ay,az,gx,gy,gz,mx,my,mz,press,baro_t,prox,cr,cg,cb,light,gesture,mic,p2p
2026-05-27T23:56:42.174,2095170,0.94,-0.25,-0.1,7.1,2.9,2.9,0.8,15.2,24.8,101.119,37.54,0,1,0,0,1,NONE,87,477
2026-05-27T23:56:42.222,2095208,0.93,-0.25,-0.13,4.1,5.9,3.0,0.9,15.5,24.2,101.12,37.56,0,1,0,0,1,NONE,101,582
2026-05-27T23:56:42.270,2095259,0.95,-0.23,-0.12,4.6,3.9,3.4,1.0,15.8,24.9,101.119,37.56,0,1,0,0,1,NONE,98,577
2026-05-27T23:56:42.322,2095309,0.95,-0.23,-0.12,4.3,4.6,3.7,1.1,15.9,24.6,101.12,37.57,0,1,0,0,1,NONE,137,932
2026-05-27T23:56:42.367,2095358,0.95,-0.24,-0.12,5.5,3.9,2.9,1.0,15.9,24.4,101.12,37.58,0,1,0,0,1,NONE,156,872
2026-05-27T23:56:42.418,2095409,0.94,-0.24,-0.13,2.6,5.1,3.5,0.3,15.6,25.4,101.118,37.58,0,1,0,0,1,NONE,99,598
2026-05-27T23:56:42.474,2095459,0.93,-0.24,-0.11,3.8,5.2,2.8,0.9,15.5,24.1,101.116,37.59,0,1,0,0,1,NONE,66,386
2026-05-27T23:56:42.513,2095507,0.95,-0.23,-0.14,0.7,3.8,3.3,0.8,15.7,24.6,101.119,37.59,0,1,0,0,1,NONE,64,376
2026-05-27T23:56:42.574,2095559,0.95,-0.22,-0.12,-0.4,2.3,3.5,1.0,15.8,24.2,101.122,37.59,0,1,0,0,1,NONE,55,332
2026-05-27T23:56:42.613,2095607,0.95,-0.22,-0.12,1.5,0.5,2.9,0.7,15.9,25.4,101.121,37.6,0,1,0,0,1,NONE,63,326
2026-05-27T23:56:42.674,2095660,0.95,-0.23,-0.12,1.8,1.2,2.9,0.8,15.6,24.0,101.12,37.6,0,1,0,0,1,NONE,230,1209
2026-05-27T23:56:42.722,2095709,0.94,-0.22,-0.13,1.2,0.3,2.6,0.7,15.7,25.7,101.12,37.6,0,1,0,0,1,NONE,181,1268
2026-05-27T23:56:42.770,2095757,0.95,-0.22,-0.12,4.5,-1.3,2.6,1.2,15.7,23.9,101.125,37.61,0,1,0,0,1,NONE,121,720
2026-05-27T23:56:42.820,2095809,0.95,-0.22,-0.12,5.1,-0.5,2.9,1.2,15.9,24.3,101.12,37.61,0,1,0,0,1,NONE,73,407
2026-05-27T23:56:42.869,2095861,0.95,-0.23,-0.1,4.6,-0.1,2.3,1.2,15.8,24.7,101.122,37.61,0,1,0,0,1,NONE,256,1314
2026-05-27T23:56:42.918,2095907,0.95,-0.22,-0.1,2.7,1.4,2.7,1.2,15.7,25.1,101.117,37.61,0,1,0,0,1,NONE,304,1438
2026-05-27T23:56:42.970,2095959,0.95,-0.22,-0.11,1.7,1.4,2.9,0.8,15.8,24.2,101.119,37.61,0,1,0,0,1,NONE,194,1151
2026-05-27T23:56:43.020,2096007,0.95,-0.21,-0.12,1.9,3.6,2.1,0.9,16.1,24.4,101.121,37.62,0,1,0,0,1,NONE,93,487
2026-05-27T23:56:43.059,2096059,0.95,-0.21,-0.1,2.3,2.1,2.3,1.0,16.0,24.2,101.121,37.62,0,1,0,0,1,NONE,74,426
2026-05-27T23:56:43.119,2096109,0.96,-0.21,-0.12,4.9,2.2,1.8,1.2,16.4,24.4,101.123,37.63,0,1,0,0,1,NONE,70,384
2026-05-27T23:56:43.171,2096158,0.95,-0.22,-0.11,6.1,-0.4,1.3,1.2,16.0,25.2,101.117,37.62,0,1,0,0,1,NONE,49,372
2026-05-27T23:56:43.222,2096209,0.95,-0.22,-0.11,6.7,-1.2,0.6,1.2,15.6,25.2,101.121,37.62,0,1,0,0,1,NONE,63,300
2026-05-27T23:56:43.272,2096261,0.96,-0.22,-0.09,6.3,-0.7,-0.9,1.8,15.2,23.0,101.121,37.62,0,1,0,0,1,NONE,58,265
2026-05-27T23:56:43.320,2096307,0.92,-0.24,-0.06,1.8,-0.6,-1.3,1.7,15.8,24.1,101.119,37.63,0,1,0,0,1,NONE,46,242
2026-05-27T23:56:43.373,2096359,0.97,-0.26,-0.12,-2.0,1.8,0.1,1.9,15.5,24.5,101.12,37.63,0,1,0,0,1,NONE,63,218
2026-05-27T23:56:43.419,2096407,0.97,-0.22,-0.16,-1.1,4.3,1.2,2.2,15.7,24.4,101.123,37.63,0,1,0,0,1,NONE,63,208
2026-05-27T23:56:43.468,2096459,0.96,-0.23,-0.09,0.2,2.1,2.9,2.1,16.3,24.0,101.117,37.62,0,1,0,0,1,NONE,49,289
2026-05-27T23:56:43.520,2096509,0.96,-0.2,-0.08,9.4,-1.8,1.6,1.9,15.9,24.1,101.122,37.63,0,1,0,0,1,NONE,45,185
2026-05-27T23:56:43.569,2096558,0.95,-0.22,-0.1,10.9,-2.2,0.7,2.1,15.9,25.0,101.116,37.63,0,1,1,1,3,NONE,52,218
2026-05-27T23:56:43.620,2096609,0.95,-0.22,-0.08,8.5,-0.2,-0.1,2.0,16.4,24.2,101.123,37.63,0,1,1,1,3,NONE,52,211
