window_start_ts,window_end_ts,session_id,class,label,source,svm_mean,svm_std,svm_max,svm_min,jerk_mean,jerk_std,jerk_max,jerk_min,KII_mean,KII_std,KII_max,KII_min,omega_mean,omega_std,omega_max,omega_min,theta_mean,theta_std,theta_max,theta_min,theta_range,jerk_energy,free_fall_n,impact_n,high_rot_n,svm_dev_mean,press_delta,mic_p2p_max,mic_p2p_mean,GSI,jerk_sparsity,angular_impulse,press_slope,hr_mean,hr_max,hr_delta,hr_spike,spo2_min,spo2_mean,rmssd,sdnn,hr_accel,osi,css_max,css_mean,fcri,class_en,category
2026-05-08T16:46:58.957102+07:00,2026-05-08T16:47:00.907102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9976,0.053,1.0805,0.8781,1.8748,0.9163,3.9846,0.0,3.1049,1.6572,7.2067,0.0,28.8274,10.7272,49.0428,10.3316,104.2388,2.8619,110.5437,98.3087,12.235,4.3336,0,0,0,0.0444,-0.001,616.7,491.7,0.9474,0.0,57.655,-3.8e-05,83.5,84.3,1.4,0.8,97.6,98.0,13.62,3.33,-0.286,0.1058,0.0153,0.0062,2.0584,sideways_fall,fall
2026-05-08T16:46:59.457102+07:00,2026-05-08T16:47:01.407102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9978,0.0541,1.0805,0.8781,1.8778,0.8413,3.9846,0.7347,3.0974,1.5433,7.2067,1.4283,28.4236,10.6704,48.8181,10.3316,104.2024,2.6457,110.1099,98.2041,11.906,4.2162,0,0,0,0.0447,0.0,616.7,494.5,0.9466,0.0,56.847,0.000732,83.6,84.5,1.6,0.9,97.6,98.0,13.55,3.92,0.603,0.124,0.0154,0.0084,2.3157,sideways_fall,fall
2026-05-08T16:46:59.957102+07:00,2026-05-08T16:47:01.907102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.998,0.0538,1.0805,0.8781,1.9305,0.8356,3.8829,0.7347,3.1959,1.5302,7.2067,1.2888,28.7806,10.5589,48.8517,11.8503,104.4894,2.8443,110.2868,98.2041,12.083,4.4075,0,0,0,0.0444,0.006,616.7,497.5,0.9471,0.0,57.561,0.001176,84.0,85.3,2.4,1.3,97.5,97.9,13.67,6.09,1.22,0.1834,0.0266,0.0118,3.4842,sideways_fall,fall
2026-05-08T16:47:00.457102+07:00,2026-05-08T16:47:02.407102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9945,0.0537,1.0857,0.8781,1.9751,0.8522,4.3033,0.4219,3.2863,1.4555,7.2067,0.5349,29.5056,11.0008,48.8517,11.8503,104.0897,3.1045,110.2868,97.7135,12.573,4.6089,0,0,0,0.0433,-0.003,616.7,499.3,0.9438,0.0,59.011,-0.000143,84.6,85.7,2.3,1.1,97.5,98.0,13.47,6.25,1.268,0.1695,0.039,0.0172,2.9482,sideways_fall,fall
2026-05-08T16:47:00.957102+07:00,2026-05-08T16:47:02.907102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9249,0.2665,1.5427,0.2272,3.623,5.4783,34.9535,0.4219,20.5885,71.2463,449.7961,0.5349,63.414,77.7192,324.7913,5.4654,96.5776,19.8231,110.2868,31.7125,78.574,42.3873,5,0,7,0.142,0.002,605.4,501.7,0.7303,0.025,126.828,0.000392,85.0,85.7,1.7,0.7,97.2,97.9,13.59,4.24,0.643,0.0214,0.1349,0.0324,10.776,sideways_fall,fall
2026-05-08T16:47:01.457102+07:00,2026-05-08T16:47:03.407102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,1.0588,0.881,3.5241,0.192,6.266,12.2923,72.1502,0.4219,38.4722,94.8539,449.7961,0.5349,96.7717,101.9956,324.7913,5.4654,87.2488,27.3304,110.2868,31.7125,78.574,186.5856,11,4,13,0.4876,0.002,2535.4,656.7,0.5629,0.05,193.543,0.000518,85.0,85.7,1.4,0.7,97.2,98.0,14.58,3.38,-0.309,0.0176,0.1349,0.0367,10.776,sideways_fall,fall
2026-05-08T16:47:01.957102+07:00,2026-05-08T16:47:03.907102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,1.1238,0.9925,3.9269,0.192,8.6998,17.1463,83.0191,0.4219,41.9561,94.9143,449.7961,0.5349,91.3575,105.8402,324.7913,2.5198,66.3402,39.1076,107.9371,7.2035,100.734,362.3307,11,5,13,0.567,0.001,2535.4,653.2,0.564,0.075,182.715,0.000902,85.2,86.6,2.3,1.4,97.2,98.0,20.96,4.61,0.015,0.0226,0.1349,0.0366,21.552,sideways_fall,fall
2026-05-08T16:47:02.457102+07:00,2026-05-08T16:47:04.407102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,1.1297,0.9915,3.9269,0.192,8.7141,17.1413,83.0191,0.6793,41.6834,95.0276,449.7961,0.6876,84.948,110.0054,324.7913,0.2406,43.2137,37.5891,106.3741,6.8475,99.527,362.4162,11,5,13,0.5648,0.003,2535.4,649.1,0.5673,0.075,169.896,-5.4e-05,85.8,88.5,4.2,2.7,97.2,98.0,24.9,10.2,1.737,0.0418,0.1349,0.0393,41.5646,sideways_fall,fall
2026-05-08T16:47:02.957102+07:00,2026-05-08T16:47:04.907102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,1.2003,0.9405,3.9269,0.192,6.9001,16.838,83.0191,0.3977,23.9262,68.7387,421.244,0.4042,44.1838,90.1657,295.3537,0.1203,27.7326,30.9372,106.0588,6.8475,99.211,324.0402,6,5,6,0.4588,-0.005,2535.4,645.1,0.6186,0.05,88.368,-0.00061,86.9,90.6,6.3,3.7,97.3,98.1,28.92,16.21,3.446,0.0629,0.0741,0.0374,52.0723,sideways_fall,fall
2026-05-08T16:47:03.457102+07:00,2026-05-08T16:47:05.407102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,1.0688,0.466,3.9269,0.8482,4.0856,12.9129,83.0191,0.3977,5.573,16.5358,98.7148,0.4042,3.5312,4.3679,15.2215,0.1203,13.7891,14.3382,100.762,6.8475,93.915,179.2662,0,1,0,0.1046,0.003,601.5,494.2,0.729,0.025,7.062,-0.001349,88.7,92.7,7.9,4.0,97.3,98.1,31.21,17.92,4.016,0.0832,0.0829,0.049,21.4612,sideways_fall,fall
2026-05-08T16:47:03.957102+07:00,2026-05-08T16:47:05.907102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,1.0024,0.0253,1.0608,0.9506,1.4817,0.7962,3.7341,0.3977,1.5729,0.9028,4.1492,0.4042,1.4242,2.7326,12.1605,0.1044,11.3442,1.9367,16.4171,6.8475,9.57,2.8135,0,0,0,0.0197,0.0,612.2,500.1,0.9777,0.0,2.848,0.000805,90.6,93.7,6.9,3.1,97.5,98.0,27.73,16.3,3.783,0.6528,0.0914,0.0655,8.0716,sideways_fall,fall
2026-05-08T16:47:04.457102+07:00,2026-05-08T16:47:06.407102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9975,0.0209,1.0584,0.9608,1.1861,0.4878,2.2495,0.3977,1.2144,0.4998,2.2588,0.4042,0.3359,0.1486,0.6649,0.1044,11.3029,1.6802,14.8438,8.1595,6.684,1.6389,0,0,0,0.0167,0.0,612.2,503.0,0.977,0.0,0.672,0.001308,92.2,94.4,5.7,2.2,97.5,98.0,23.9,12.59,2.95,0.7418,0.0925,0.0778,5.6242,sideways_fall,fall
2026-05-08T16:47:04.957102+07:00,2026-05-08T16:47:06.907102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9968,0.0207,1.0584,0.9608,1.171,0.4483,2.0562,0.5394,1.1994,0.4628,2.0858,0.5518,0.3369,0.139,0.6649,0.1044,10.9811,1.5905,14.4829,8.0075,6.475,1.5671,0,0,0,0.0162,0.006,612.2,501.3,0.9765,0.0,0.674,0.001328,93.6,96.9,6.1,3.3,97.4,98.0,26.29,10.02,2.432,0.816,0.1109,0.0882,8.759,sideways_fall,fall
2026-05-08T16:47:05.457102+07:00,2026-05-08T16:47:07.407102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9916,0.0201,1.0584,0.9595,1.2217,0.4579,2.0154,0.3803,1.2526,0.4721,2.0779,0.3878,0.3436,0.1545,0.7905,0.0819,10.9803,1.5694,14.3308,7.6744,6.656,1.6968,0,0,0,0.0174,0.004,612.2,495.2,0.972,0.0,0.687,-0.000962,95.4,100.5,7.6,5.1,97.4,98.0,31.21,14.66,3.63,0.9926,0.146,0.1023,13.5355,sideways_fall,fall
2026-05-08T16:47:05.957102+07:00,2026-05-08T16:47:07.907102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9869,0.0191,1.0241,0.9421,1.1807,0.4404,2.1501,0.3803,1.2106,0.4508,2.1752,0.3878,0.3408,0.1521,0.7905,0.0819,10.9606,1.6591,14.3308,7.6744,6.656,1.5832,0,0,0,0.0181,0.003,605.9,494.2,0.9684,0.0,0.682,-0.000381,97.7,103.0,9.2,5.3,97.4,98.0,34.57,20.53,5.518,1.2016,0.1708,0.1205,14.0797,sideways_fall,fall
2026-05-08T16:47:06.457102+07:00,2026-05-08T16:47:08.407102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9839,0.0185,1.0138,0.9421,1.248,0.4636,2.1986,0.3803,1.2803,0.4744,2.2979,0.3878,0.3419,0.1707,0.7905,0.0819,11.2397,1.7407,14.9283,7.6744,7.254,1.7671,0,0,0,0.0193,0.004,605.9,493.5,0.966,0.0,0.684,-0.000644,100.0,104.0,9.5,4.0,97.4,98.0,34.55,19.92,5.488,1.151,0.1708,0.1396,10.639,sideways_fall,fall
2026-05-08T16:47:06.957102+07:00,2026-05-08T16:47:08.907102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9807,0.0196,1.0202,0.9388,1.2738,0.5114,2.4061,0.1973,1.31,0.5219,2.4233,0.2008,0.3561,0.1681,0.7905,0.0819,11.1308,1.6996,14.9283,7.6744,7.254,1.8776,0,0,0,0.0219,0.002,605.9,488.5,0.9618,0.0,0.712,0.000266,102.3,105.6,8.3,3.3,97.4,98.0,29.68,13.29,3.715,1.0056,0.1796,0.1568,8.7879,sideways_fall,fall
2026-05-08T16:47:07.457102+07:00,2026-05-08T16:47:09.407102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9797,0.0199,1.0202,0.9388,1.2448,0.5374,2.4061,0.1973,1.281,0.5497,2.4233,0.2008,0.3475,0.1377,0.7858,0.1428,11.1591,1.7916,14.9283,5.9168,9.011,1.8312,0,0,0,0.0228,0.0,598.8,501.7,0.9606,0.0,0.695,0.00042,104.5,109.6,8.7,5.1,97.4,98.0,28.61,11.99,3.614,0.869,0.2083,0.1722,13.5813,sideways_fall,fall
2026-05-08T16:47:07.957102+07:00,2026-05-08T16:47:09.907102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9805,0.0192,1.0202,0.9388,1.1293,0.5193,2.4061,0.1973,1.1624,0.5334,2.4233,0.2008,0.3368,0.1424,0.7858,0.0834,11.3302,1.7215,14.9283,5.9168,9.011,1.5383,0,0,0,0.0224,-0.004,598.8,498.9,0.962,0.0,0.674,0.000129,106.9,113.2,10.1,6.3,97.4,98.0,30.49,17.17,5.496,1.0088,0.2404,0.1882,16.7769,sideways_fall,fall
2026-05-08T16:47:08.457102+07:00,2026-05-08T16:47:10.407102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9848,0.0203,1.0236,0.9388,1.1053,0.5464,2.4061,0.1973,1.1354,0.5587,2.4598,0.2008,0.3517,0.1215,0.6811,0.0834,10.921,1.7633,14.9512,5.9168,9.034,1.5128,0,0,0,0.0204,0.004,598.8,499.5,0.9652,0.0,0.703,-0.000265,109.1,113.2,9.1,4.1,97.4,98.0,30.66,16.91,5.425,0.9069,0.2404,0.2019,10.9222,sideways_fall,fall
2026-05-08T16:47:08.957102+07:00,2026-05-08T16:47:10.907102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9861,0.0195,1.0236,0.9556,1.1244,0.5433,2.3982,0.3172,1.1547,0.559,2.4598,0.3193,0.3525,0.1332,0.6811,0.0834,10.9834,1.7971,14.9512,5.9168,9.034,1.5521,0,0,0,0.0195,0.002,598.8,505.6,0.9673,0.0,0.705,-0.000283,110.8,113.2,7.2,2.4,97.3,98.1,28.51,9.95,2.221,0.7175,0.2404,0.2089,6.6394,sideways_fall,fall
2026-05-08T16:47:09.457102+07:00,2026-05-08T16:47:11.407102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9877,0.0203,1.0236,0.9556,1.0808,0.5355,2.3982,0.3172,1.1108,0.5519,2.4598,0.3193,0.3509,0.1479,0.6811,0.0834,11.1274,1.6478,14.9512,7.4942,7.457,1.4478,0,0,0,0.0196,0.003,568.1,499.6,0.9681,0.0,0.702,0.000865,112.1,115.8,5.8,3.7,97.2,98.0,33.37,6.15,0.738,0.6858,0.2404,0.2123,10.6148,sideways_fall,fall
2026-05-08T16:47:09.957102+07:00,2026-05-08T16:47:11.907102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9921,0.0202,1.0236,0.9574,1.3226,0.5668,2.3982,0.3195,1.3561,0.582,2.4598,0.3256,0.3508,0.1435,0.6811,0.0997,11.2642,1.8565,14.9512,7.4942,7.457,2.0626,0,0,0,0.0178,0.013,568.1,493.7,0.9724,0.0,0.702,0.000392,114.0,122.1,11.6,8.1,97.2,98.1,39.43,15.32,4.461,1.3716,0.2864,0.2213,23.2379,sideways_fall,fall
2026-05-08T16:47:10.457102+07:00,2026-05-08T16:47:12.407102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9906,0.0186,1.0235,0.9574,1.2528,0.5397,2.1091,0.3195,1.2839,0.5552,2.1779,0.3256,0.3457,0.1385,0.6,0.0997,11.4388,1.6371,14.9123,7.4942,7.418,1.8535,0,0,0,0.0168,0.001,594.6,492.1,0.9726,0.0,0.691,0.000103,116.9,124.5,14.0,7.6,97.2,98.1,41.39,23.25,8.792,1.6631,0.3025,0.2405,21.7435,sideways_fall,fall
2026-05-08T16:47:10.957102+07:00,2026-05-08T16:47:12.907102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9914,0.0166,1.0235,0.9591,1.1822,0.5027,2.1091,0.3195,1.2091,0.5146,2.1512,0.3256,0.3393,0.1311,0.6,0.123,11.6966,1.5314,14.9123,7.9147,6.998,1.6439,0,0,0,0.0154,-0.004,594.6,488.2,0.9752,0.0,0.679,-0.000152,120.3,125.2,14.7,4.9,97.2,98.0,40.96,21.15,8.019,1.8381,0.3025,0.2646,14.0151,sideways_fall,fall
2026-05-08T16:47:11.457102+07:00,2026-05-08T16:47:13.407102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9936,0.0166,1.0394,0.9609,1.1884,0.4786,2.1091,0.3299,1.2131,0.4889,2.1512,0.3371,0.3212,0.129,0.6,0.1022,11.5796,1.5826,14.9123,7.9147,6.998,1.6356,0,0,0,0.0142,0.006,594.6,480.4,0.9774,0.0,0.642,-9.4e-05,123.5,127.1,10.6,3.6,97.2,98.0,30.48,11.16,4.21,1.3254,0.3025,0.2855,10.2968,sideways_fall,fall
2026-05-08T16:47:11.957102+07:00,2026-05-08T16:47:13.907102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9906,0.0158,1.0394,0.956,1.0021,0.3925,1.7949,0.3299,1.0235,0.4008,1.8198,0.3371,0.3275,0.1422,0.636,0.0933,11.4179,1.3201,14.0792,9.0706,5.009,1.1545,0,0,0,0.0145,0.003,594.6,483.4,0.9751,0.0,0.655,0.000169,125.9,130.2,7.5,4.3,97.2,97.9,19.1,7.21,3.105,1.2482,0.321,0.2971,12.2591,sideways_fall,fall
2026-05-08T16:47:12.457102+07:00,2026-05-08T16:47:14.407102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9907,0.0176,1.0394,0.956,1.0724,0.3904,1.7607,0.3524,1.0948,0.3968,1.8198,0.3557,0.2815,0.1308,0.636,0.0933,11.3908,1.4303,14.0792,9.0706,5.009,1.2986,0,0,0,0.0154,-0.001,586.6,485.5,0.9736,0.0,0.563,0.000585,127.7,132.3,7.7,4.6,97.2,97.9,21.68,9.66,4.36,1.2815,0.3302,0.3023,13.1144,sideways_fall,fall
2026-05-08T16:47:12.957102+07:00,2026-05-08T16:47:14.907102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.988,0.018,1.0394,0.9545,1.1156,0.4445,2.0576,0.3524,1.14,0.4498,2.0848,0.3557,0.2849,0.1391,0.636,0.0933,11.3191,1.4532,15.2147,9.0706,6.144,1.4371,0,0,0,0.0173,0.01,586.6,488.1,0.9706,0.0,0.57,0.001523,128.2,132.3,8.7,4.1,97.2,98.0,33.19,8.93,0.848,1.2178,0.3302,0.2945,11.7193,sideways_fall,fall
2026-05-08T16:47:13.457102+07:00,2026-05-08T16:47:15.407102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9865,0.0184,1.0271,0.9421,1.1264,0.4736,2.4045,0.3524,1.1523,0.4798,2.4395,0.3557,0.2949,0.1437,0.636,0.0923,11.5103,1.3752,15.2147,9.2618,5.953,1.4875,0,0,0,0.018,0.003,586.6,497.1,0.9687,0.0,0.59,-0.000417,126.7,132.3,14.6,5.6,97.3,98.0,41.16,17.29,-6.136,2.0998,0.3302,0.268,15.4889,sideways_fall,fall
2026-05-08T16:47:13.957102+07:00,2026-05-08T16:47:15.907102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.988,0.0185,1.0271,0.9421,1.1841,0.4673,2.4045,0.4863,1.209,0.4707,2.4395,0.5064,0.2941,0.1376,0.5194,0.0807,11.6308,1.567,15.2147,9.2618,5.953,1.6149,0,0,0,0.0169,-0.001,576.6,492.7,0.9701,0.0,0.588,-0.000904,123.9,132.3,14.6,8.4,97.6,98.0,39.55,21.89,-9.307,2.0998,0.3302,0.2299,20.6518,sideways_fall,fall
2026-05-08T16:47:14.457102+07:00,2026-05-08T16:47:16.407102+07:00,ล้มข_00_aug_noise,ล้มข้าง,1,aug_noise,0.9871,0.0175,1.0271,0.9421,1.1844,0.5171,2.4045,0.3133,1.21,0.5241,2.4395,0.3163,0.3035,0.1414,0.5194,0.0732,12.0356,1.5327,15.2147,9.2866,5.928,1.6635,0,0,0,0.0164,-0.006,565.9,488.1,0.9701,0.0,0.607,-0.000912,120.5,129.6,11.9,9.1,97.4,98.0,35.51,15.75,-5.849,1.7176,0.2968,0.1876,24.2372,sideways_fall,fall
