window_start_ts,window_end_ts,session_id,class,label,source,svm_mean,svm_std,svm_max,svm_min,jerk_mean,jerk_std,jerk_max,jerk_min,KII_mean,KII_std,KII_max,KII_min,omega_mean,omega_std,omega_max,omega_min,theta_mean,theta_std,theta_max,theta_min,theta_range,jerk_energy,free_fall_n,impact_n,high_rot_n,svm_dev_mean,press_delta,mic_p2p_max,mic_p2p_mean,GSI,jerk_sparsity,angular_impulse,press_slope,hr_mean,hr_max,hr_delta,hr_spike,spo2_min,spo2_mean,rmssd,sdnn,hr_accel,osi,css_max,css_mean,fcri,class_en,category
2026-05-05T17:20:00+07:00,2026-05-05T17:20:01.950000+07:00,ล้มข_00_orig,ล้มข้าง,1,original,0.9934,0.0469,1.0647,0.88,1.7122,0.7742,3.5712,0.0,2.8488,1.4823,6.782,0.0,28.8273,10.7261,49.0391,10.3319,104.2515,2.4202,109.2299,98.9203,10.31,3.5159,0,0,0,0.0376,-0.001,616.7,491.7,0.9489,0.0,57.655,-3.8e-05,83.5,84.3,1.4,0.8,97.6,98.0,13.62,3.33,-0.286,0.1238,0.0157,0.0062,2.0502,sideways_fall,fall
2026-05-05T17:20:00.500000+07:00,2026-05-05T17:20:02.450000+07:00,ล้มข_00_orig,ล้มข้าง,1,original,0.9926,0.0495,1.0647,0.88,1.7425,0.7007,3.5712,0.7346,2.88,1.377,6.782,1.1826,28.4244,10.6715,48.8344,10.3319,104.2844,2.443,109.2299,98.9203,10.31,3.5152,0,0,0,0.0399,0.0,616.7,494.5,0.9458,0.0,56.849,0.000732,83.6,84.5,1.6,0.9,97.6,98.0,13.55,3.92,0.603,0.1415,0.0157,0.0084,2.3065,sideways_fall,fall
2026-05-05T17:20:01+07:00,2026-05-05T17:20:02.950000+07:00,ล้มข_00_orig,ล้มข้าง,1,original,0.9905,0.049,1.0647,0.8836,1.7533,0.749,3.5712,0.3476,2.8879,1.3871,6.782,0.7283,28.7799,10.5608,48.8534,11.8708,104.5033,2.6512,108.5651,98.9719,9.593,3.621,0,0,0,0.0416,0.006,616.7,497.5,0.9442,0.0,57.56,0.001176,84.0,85.3,2.4,1.3,97.5,97.9,13.67,6.09,1.22,0.2266,0.0265,0.0118,3.4704,sideways_fall,fall
2026-05-05T17:20:01.500000+07:00,2026-05-05T17:20:03.450000+07:00,ล้มข_00_orig,ล้มข้าง,1,original,0.9874,0.0499,1.0677,0.8836,1.7503,0.7742,3.6629,0.3476,2.8862,1.2924,6.6961,0.6061,29.5093,11.001,48.8534,11.8708,104.3863,2.9056,108.7497,98.9719,9.778,3.6481,0,0,0,0.043,-0.003,616.7,499.3,0.9405,0.0,59.019,-0.000143,84.6,85.7,2.3,1.1,97.5,98.0,13.47,6.25,1.268,0.2134,0.0387,0.0172,2.9341,sideways_fall,fall
2026-05-05T17:20:02+07:00,2026-05-05T17:20:03.950000+07:00,ล้มข_00_orig,ล้มข้าง,1,original,0.9168,0.2655,1.5259,0.2065,3.4361,5.5029,34.7968,0.3476,20.3021,70.5366,445.2475,0.6061,63.42,77.7208,324.8032,5.4823,96.9824,19.6547,108.7497,29.4885,79.261,41.3317,5,0,7,0.1434,0.002,605.4,501.7,0.7244,0.025,126.84,0.000392,85.0,85.7,1.7,0.7,97.2,97.9,13.59,4.24,0.643,0.0212,0.1341,0.0325,10.6869,sideways_fall,fall
2026-05-05T17:20:02.500000+07:00,2026-05-05T17:20:04.450000+07:00,ล้มข_00_orig,ล้มข้าง,1,original,1.0534,0.8827,3.5266,0.2065,6.1186,12.3446,72.3967,0.3476,37.9861,94.5095,445.2475,0.6061,96.7753,101.9962,324.8032,5.4823,87.9058,26.8145,108.7497,29.4885,79.261,186.0163,11,4,13,0.4906,0.002,2535.4,656.7,0.5595,0.05,193.551,0.000518,85.0,85.7,1.4,0.7,97.2,98.0,14.58,3.38,-0.309,0.0174,0.1341,0.0367,10.6869,sideways_fall,fall
2026-05-05T17:20:03+07:00,2026-05-05T17:20:04.950000+07:00,ล้มข_00_orig,ล้มข้าง,1,original,1.1212,0.9939,3.9252,0.2065,8.6903,17.2165,83.5882,0.4758,41.686,94.5439,445.2475,0.6061,91.3595,105.8423,324.8032,2.4566,66.9716,39.257,108.7497,6.0394,102.71,364.5174,11,5,13,0.5707,0.001,2535.4,653.2,0.5623,0.075,182.719,0.000902,85.2,86.6,2.3,1.4,97.2,98.0,20.96,4.61,0.015,0.0222,0.1341,0.0367,21.3737,sideways_fall,fall
2026-05-05T17:20:03.500000+07:00,2026-05-05T17:20:05.450000+07:00,ล้มข_00_orig,ล้มข้าง,1,original,1.1278,0.9928,3.9252,0.2065,8.7115,17.2095,83.5882,0.5803,41.458,94.6397,445.2475,0.59,84.9509,110.0066,324.8032,0.2429,43.4887,37.8532,107.6794,6.0394,101.64,364.654,11,5,13,0.5653,0.003,2535.4,649.1,0.566,0.075,169.902,-5.4e-05,85.8,88.5,4.2,2.7,97.2,98.0,24.9,10.2,1.737,0.0409,0.1341,0.0393,41.2207,sideways_fall,fall
2026-05-05T17:20:04+07:00,2026-05-05T17:20:05.950000+07:00,ล้มข_00_orig,ล้มข้าง,1,original,1.1976,0.9417,3.9252,0.2071,6.7657,16.9593,83.5882,0.198,23.5049,69.0103,422.9701,0.2005,44.1827,90.1661,295.3426,0.1208,27.7931,31.2367,106.0811,6.0394,100.042,326.2033,6,5,6,0.4574,-0.005,2535.4,645.1,0.6168,0.05,88.365,-0.00061,86.9,90.6,6.3,3.7,97.3,98.1,28.92,16.21,3.446,0.0624,0.0752,0.0374,52.2447,sideways_fall,fall
2026-05-05T17:20:04.500000+07:00,2026-05-05T17:20:06.450000+07:00,ล้มข_00_orig,ล้มข้าง,1,original,1.0631,0.4666,3.9252,0.8355,3.933,13.0364,83.5882,0.1939,5.4335,16.8387,101.5448,0.1969,3.5301,4.3714,15.2166,0.1208,13.5822,14.3264,100.852,6.0394,94.813,181.167,0,1,0,0.1017,0.003,601.5,494.2,0.7249,0.025,7.06,-0.001349,88.7,92.7,7.9,4.0,97.3,98.1,31.21,17.92,4.016,0.0825,0.084,0.0488,21.7668,sideways_fall,fall
2026-05-05T17:20:05+07:00,2026-05-05T17:20:06.950000+07:00,ล้มข_00_orig,ล้มข้าง,1,original,0.9944,0.0172,1.0675,0.9724,1.0654,0.7794,3.5984,0.1939,1.131,0.8686,3.9469,0.1969,1.4243,2.7376,12.1798,0.1063,11.1267,1.5117,15.05,8.1611,6.889,1.7273,0,0,0,0.0141,0.0,612.2,500.1,0.9777,0.025,2.849,0.000805,90.6,93.7,6.9,3.1,97.5,98.0,27.73,16.3,3.783,0.8746,0.089,0.0651,8.0559,sideways_fall,fall
2026-05-05T17:20:05.500000+07:00,2026-05-05T17:20:07.450000+07:00,ล้มข_00_orig,ล้มข้าง,1,original,0.9895,0.008,1.0076,0.9741,0.7348,0.3819,1.5406,0.1939,0.7477,0.387,1.5685,0.1969,0.3345,0.1537,0.679,0.1063,11.2058,1.2295,14.4751,9.4386,5.037,0.6822,0,0,0,0.0116,0.0,612.2,503.0,0.9816,0.0,0.669,0.001308,92.2,94.4,5.7,2.2,97.5,98.0,23.9,12.59,2.95,0.9443,0.0908,0.0774,5.5863,sideways_fall,fall
2026-05-05T17:20:06+07:00,2026-05-05T17:20:07.950000+07:00,ล้มข_00_orig,ล้มข้าง,1,original,0.9906,0.0069,1.0076,0.9793,0.731,0.3676,1.5406,0.1939,0.7432,0.3731,1.5685,0.1969,0.3376,0.1422,0.679,0.1063,10.9076,1.0676,14.3367,9.0231,5.314,0.6661,0,0,0,0.0103,0.006,612.2,501.3,0.9838,0.0,0.675,0.001328,93.6,96.9,6.1,3.3,97.4,98.0,26.29,10.02,2.432,0.9662,0.111,0.0876,8.7146,sideways_fall,fall
2026-05-05T17:20:06.500000+07:00,2026-05-05T17:20:08.450000+07:00,ล้มข_00_orig,ล้มข้าง,1,original,0.9894,0.0063,1.0076,0.9793,0.6744,0.2874,1.3651,0.202,0.6863,0.2919,1.3925,0.2056,0.3458,0.1591,0.811,0.0458,10.9109,0.9042,12.8635,9.0231,3.84,0.5353,0,0,0,0.011,0.004,612.2,495.2,0.9832,0.0,0.692,-0.000962,95.4,100.5,7.6,5.1,97.4,98.0,31.21,14.66,3.63,1.5701,0.1455,0.1017,13.4446,sideways_fall,fall
2026-05-05T17:20:07+07:00,2026-05-05T17:20:08.950000+07:00,ล้มข_00_orig,ล้มข้าง,1,original,0.9893,0.006,1.0009,0.9753,0.6996,0.2541,1.1888,0.202,0.7121,0.2587,1.1995,0.2056,0.3436,0.157,0.811,0.0458,11.027,0.9603,12.8891,9.0231,3.866,0.5524,0,0,0,0.0108,0.003,605.9,494.2,0.9833,0.0,0.687,-0.000381,97.7,103.0,9.2,5.3,97.4,98.0,34.57,20.53,5.518,1.8907,0.1643,0.1196,13.9453,sideways_fall,fall
