pc_timestamp_iso,ms,ax,ay,az,gx,gy,gz,mx,my,mz,press,baro_t,prox,cr,cg,cb,light,gesture,mic,p2p
2026-05-28T00:04:35.570,2568575,-0.93,-0.35,0.17,2.5,-3.6,1.9,-34.2,47.5,17.7,101.114,36.66,0,1,1,1,3,NONE,105,620
2026-05-28T00:04:35.613,2568613,-0.93,-0.35,0.14,-0.1,-4.0,2.7,-33.7,47.4,18.9,101.114,36.68,0,1,1,1,3,NONE,100,654
2026-05-28T00:04:35.662,2568662,-0.93,-0.3,0.2,-0.9,1.0,1.1,-33.4,48.0,19.6,101.112,36.68,0,1,0,0,1,NONE,91,548
2026-05-28T00:04:35.714,2568714,-0.94,-0.34,0.18,4.5,3.8,-0.6,-33.3,48.1,19.1,101.112,36.68,0,1,0,0,1,NONE,48,359
2026-05-28T00:04:35.764,2568766,-0.95,-0.38,0.15,0.5,2.1,-1.0,-33.7,47.8,17.6,101.114,36.69,0,1,0,0,1,NONE,46,259
2026-05-28T00:04:35.811,2568812,-0.94,-0.38,0.12,-1.6,-0.9,0.9,-33.6,47.2,18.4,101.114,36.7,0,1,0,0,1,NONE,45,295
2026-05-28T00:04:35.864,2568864,-0.96,-0.36,0.14,-3.5,3.4,3.1,-33.5,48.2,18.1,101.116,36.71,0,1,0,0,1,NONE,58,366
2026-05-28T00:04:35.911,2568912,-0.93,-0.36,0.12,-3.1,7.6,6.0,-33.4,47.9,19.9,101.113,36.71,0,1,0,0,1,NONE,76,518
2026-05-28T00:04:35.964,2568964,-0.94,-0.37,0.13,0.0,11.5,5.8,-33.2,48.0,18.0,101.113,36.72,0,1,0,0,1,NONE,73,416
2026-05-28T00:04:36.012,2569013,-0.98,-0.32,0.13,-6.0,14.8,2.3,-33.2,48.0,18.0,101.114,36.72,0,1,0,0,1,NONE,114,692
2026-05-28T00:04:36.061,2569064,-0.93,-0.35,0.19,-14.2,22.4,-1.6,-34.2,48.7,16.7,101.115,36.72,0,1,1,1,3,NONE,85,585
2026-05-28T00:04:36.115,2569116,-0.91,-0.34,0.17,-9.8,21.1,-0.1,-34.7,49.6,16.7,101.114,36.72,0,1,1,1,3,NONE,88,508
2026-05-28T00:04:36.163,2569164,-0.92,-0.37,0.17,-15.0,19.0,2.7,-35.2,49.4,16.4,101.117,36.73,0,1,0,1,2,NONE,67,392
2026-05-28T00:04:36.212,2569212,-0.88,-0.4,0.24,-24.7,17.4,1.3,-35.2,49.8,15.8,101.113,36.73,0,1,0,1,2,NONE,88,545
2026-05-28T00:04:36.264,2569264,-1.09,-0.23,0.3,-43.2,24.9,0.3,-35.0,50.2,13.7,101.114,36.74,0,1,0,1,2,NONE,88,445
2026-05-28T00:04:36.313,2569314,-0.85,-0.2,0.31,-20.1,35.6,0.9,-36.0,50.3,13.9,101.113,36.74,0,1,0,1,2,NONE,66,402
2026-05-28T00:04:36.355,2569362,-0.81,-0.34,0.43,-15.0,34.0,-5.6,-36.7,50.9,12.9,101.116,36.74,0,1,0,1,2,NONE,72,450
2026-05-28T00:04:36.414,2569414,-0.89,-0.31,0.45,-25.2,17.2,-10.0,-37.3,51.4,12.3,101.112,36.74,0,1,0,1,2,NONE,73,441
2026-05-28T00:04:36.466,2569466,-0.86,-0.11,0.35,-10.9,9.2,-4.6,-38.0,50.9,11.3,101.113,36.74,0,1,0,0,1,NONE,85,441
2026-05-28T00:04:36.511,2569512,-0.9,-0.06,0.37,10.9,2.6,-2.0,-38.3,51.0,11.5,101.115,36.74,0,1,0,0,1,NONE,104,602
2026-05-28T00:04:36.564,2569565,-0.9,-0.22,0.41,20.6,-2.1,-1.6,-38.2,50.6,12.2,101.114,36.74,0,1,0,1,2,NONE,85,596
2026-05-28T00:04:36.611,2569612,-0.91,-0.16,0.4,11.9,-5.4,2.4,-38.1,50.5,12.0,101.114,36.75,0,1,0,1,2,NONE,72,570
2026-05-28T00:04:36.664,2569665,-0.9,-0.18,0.4,16.4,-5.7,5.2,-37.9,50.5,11.6,101.114,36.75,0,1,0,0,1,NONE,64,380
2026-05-28T00:04:36.715,2569716,-0.9,-0.23,0.39,20.4,-4.0,9.0,-37.5,49.8,13.1,101.113,36.75,0,1,0,0,1,NONE,60,378
2026-05-28T00:04:36.761,2569764,-0.91,-0.28,0.37,12.9,-8.7,11.7,-37.7,50.3,13.2,101.116,36.74,0,1,0,0,1,NONE,44,329
2026-05-28T00:04:36.811,2569812,-0.89,-0.21,0.33,8.6,-17.8,14.0,-36.6,50.0,13.6,101.111,36.74,0,1,0,0,1,NONE,48,283
2026-05-28T00:04:36.864,2569864,-0.92,-0.22,0.25,11.5,-25.1,13.3,-35.7,50.2,14.3,101.11,36.75,0,1,0,0,1,NONE,38,210
2026-05-28T00:04:36.908,2569914,-0.93,-0.19,0.16,23.7,-26.4,17.6,-35.4,51.2,13.6,101.112,36.75,0,1,0,0,1,NONE,32,220
2026-05-28T00:04:36.961,2569962,-1.01,-0.29,0.3,44.3,-17.0,17.2,-34.0,50.3,16.8,101.118,36.75,0,1,0,0,1,NONE,77,379
2026-05-28T00:04:37.013,2570014,-0.89,-0.41,0.25,16.0,-14.2,11.9,-34.4,50.4,17.5,101.113,36.74,0,1,0,0,1,NONE,54,280
2026-05-28T00:04:37.066,2570066,-0.94,-0.21,0.18,42.2,-4.8,8.1,-33.5,49.7,18.5,101.112,36.75,0,1,0,0,1,NONE,54,345
2026-05-28T00:04:37.111,2570112,-0.78,-0.56,0.18,18.0,-8.1,2.4,-32.5,49.8,18.9,101.113,36.75,0,1,0,0,1,NONE,69,427
2026-05-28T00:04:37.164,2570165,-0.92,-0.41,0.21,-5.9,-13.5,0.8,-32.7,49.8,20.0,101.117,36.75,0,1,0,1,2,NONE,69,460
2026-05-28T00:04:37.212,2570212,-0.92,-0.38,0.18,-5.9,-12.9,6.0,-32.7,50.0,19.4,101.116,36.75,0,1,0,1,2,NONE,63,358
2026-05-28T00:04:37.264,2570265,-0.94,-0.33,0.19,6.4,-1.4,4.1,-32.0,50.5,18.6,101.114,36.75,0,1,0,0,1,NONE,90,564
2026-05-28T00:04:37.308,2570314,-0.91,-0.46,0.19,10.4,6.8,1.3,-32.2,50.3,19.9,101.113,36.75,0,1,0,0,1,NONE,67,407
