window_start_ts,window_end_ts,session_id,class,label,source,svm_mean,svm_std,svm_max,svm_min,jerk_mean,jerk_std,jerk_max,jerk_min,KII_mean,KII_std,KII_max,KII_min,omega_mean,omega_std,omega_max,omega_min,theta_mean,theta_std,theta_max,theta_min,theta_range,jerk_energy,free_fall_n,impact_n,high_rot_n,svm_dev_mean,press_delta,mic_p2p_max,mic_p2p_mean,GSI,jerk_sparsity,angular_impulse,press_slope,hr_mean,hr_max,hr_delta,hr_spike,spo2_min,spo2_mean,rmssd,sdnn,hr_accel,osi,css_max,css_mean,fcri,class_en,category
2026-05-28T00:02:52.234,2026-05-28T00:02:54.174,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0112,0.004,1.0172,1.0028,0.2211,0.1202,0.4899,0.0,0.249,0.1352,0.5447,0.0,5.6189,1.3082,8.3126,3.4424,91.9832,0.4235,92.8556,91.1331,1.722,0.063,0,0,0,0.0112,0.004,702.0,278.2,1.0071,0.0,11.238,0.000827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:02:52.726,2026-05-28T00:02:54.671,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0105,0.0044,1.0172,1.002,0.2426,0.1287,0.4899,0.0,0.2688,0.1413,0.5447,0.0,4.9374,1.6015,8.3126,2.184,91.8139,0.4805,92.8556,91.1285,1.727,0.075,0,0,0,0.0105,0.001,702.0,221.3,1.0061,0.0,9.875,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:02:53.224,2026-05-28T00:02:55.173,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0099,0.0146,1.074,0.9884,0.3766,0.4078,1.9391,0.0,0.4383,0.5309,2.5275,0.0,4.9749,2.5694,14.425,2.184,91.4897,0.5088,92.2653,89.4206,2.845,0.304,0,0,0,0.0118,0.006,241.0,161.1,0.9953,0.075,9.95,-0.000171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:02:53.721,2026-05-28T00:02:55.673,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0092,0.0263,1.074,0.9131,0.7965,1.1092,5.0675,0.0,1.1092,1.7471,8.2073,0.0,9.4069,8.205,26.985,2.184,90.5232,2.7872,92.759,79.0484,13.711,1.834,0,0,0,0.0184,-0.001,544.0,203.4,0.9833,0.1,18.814,-0.000522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:02:54.224,2026-05-28T00:02:56.176,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0076,0.0336,1.1009,0.9131,1.1198,1.1507,5.0675,0.0,1.5701,1.828,8.2073,0.0,11.8268,9.03,29.7908,2.184,86.6126,6.7845,92.759,75.0466,17.712,2.545,0,0,0,0.0238,-0.003,544.0,241.8,0.9748,0.05,23.654,-0.00037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:02:54.725,2026-05-28T00:02:56.674,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0074,0.0393,1.1009,0.9131,1.5347,1.4679,7.2719,0.0,2.2725,2.4937,12.7415,0.0,16.4803,9.1673,36.0236,2.8036,84.112,6.4305,92.759,75.0466,17.712,4.456,0,0,0,0.0303,0.004,670.0,305.2,0.9693,0.05,32.961,0.00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:02:55.223,2026-05-28T00:02:57.175,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0063,0.0463,1.1329,0.9131,1.7905,1.6093,7.2719,0.2828,2.8145,2.9022,12.7415,0.4078,21.1088,8.676,39.7233,4.3105,81.7613,5.3501,92.759,73.5925,19.166,5.731,0,0,0,0.0368,0.004,670.0,329.9,0.9618,0.025,42.218,-0.000143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:02:55.723,2026-05-28T00:02:57.674,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0038,0.0444,1.1329,0.9231,1.7499,1.5305,7.2719,0.2828,2.6687,2.7742,12.7415,0.4078,18.7314,9.2631,39.7233,4.3105,77.7813,4.7395,85.4345,70.3283,15.106,5.346,0,0,0,0.0347,0.002,670.0,287.9,0.9611,0.025,37.463,0.000167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:02:56.224,2026-05-28T00:02:58.173,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0069,0.0464,1.1329,0.9231,2.0726,1.8429,7.4054,0.4,3.2037,3.2434,12.7415,0.4842,20.1436,8.62,39.7233,7.9706,77.8463,5.1323,85.4345,68.8335,16.601,7.607,0,0,0,0.0375,-0.003,670.0,277.1,0.9623,0.05,40.287,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:02:56.724,2026-05-28T00:02:58.674,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0205,0.1236,1.6882,0.8348,3.292,4.3652,20.2988,0.4,5.1714,7.7434,43.0211,0.4842,18.437,8.7707,39.7233,5.1904,77.9937,5.4092,85.4345,68.8335,16.601,29.4161,0,0,0,0.0629,-0.001,385.0,216.7,0.9082,0.075,36.874,-1.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:02:57.224,2026-05-28T00:02:59.174,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0221,0.1371,1.6882,0.8067,3.8475,4.4513,20.2988,0.4,6.41,8.3152,43.0211,0.4842,19.9864,11.4996,54.8713,5.1904,77.0895,5.0038,85.635,68.8335,16.802,34.1222,0,0,0,0.077,-0.004,385.0,199.9,0.8988,0.05,39.973,-0.001366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:02:57.723,2026-05-28T00:02:59.674,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,0.9791,0.1701,1.6882,0.6239,4.1072,4.358,20.2988,0.4899,7.2605,8.1185,43.0211,0.8287,25.5518,14.6593,56.8491,5.1904,80.1177,5.9419,99.2227,68.8335,30.389,35.3861,0,0,0,0.1135,0.002,409.0,219.6,0.8368,0.05,51.104,-7.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:02:58.225,2026-05-28T00:03:00.175,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,0.9663,0.4364,2.9239,0.1603,6.9844,8.4258,45.646,0.9165,30.8572,62.8528,284.9716,1.4699,53.6395,57.146,211.6764,5.1904,86.1962,15.9167,150.8439,54.2535,96.59,118.001,3,1,6,0.253,-0.001,2780.0,366.4,0.6727,0.05,107.279,0.001683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:02:58.724,2026-05-28T00:03:00.672,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0701,0.7285,3.7379,0.1603,10.5836,12.3352,50.3905,0.9165,78.8135,177.07,934.0222,1.6225,77.0144,67.1001,234.716,7.7859,74.7612,28.5288,150.8439,12.0188,138.825,260.3669,4,3,12,0.411,0.009,2780.0,530.5,0.6191,0.1,154.029,0.005668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:02:59.221,2026-05-28T00:03:01.172,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0835,0.7355,3.7379,0.1603,11.6278,12.2934,50.3905,0.9165,81.4632,176.2637,934.0222,1.6225,78.3762,66.7282,234.716,9.0161,60.4969,37.2025,150.8439,7.2124,143.631,282.556,4,3,12,0.4429,0.01,2780.0,574.6,0.6243,0.075,156.752,0.006182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:02:59.724,2026-05-28T00:03:01.667,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.1192,0.7238,3.7379,0.1603,11.1588,12.6474,50.3905,0.2,80.3142,176.7743,934.0222,0.2273,71.6886,71.5141,234.716,5.1098,43.1669,38.1541,150.8439,7.2124,143.631,280.478,4,3,12,0.4086,0.008,2780.0,565.4,0.6492,0.1,143.377,0.004069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:03:00.219,2026-05-28T00:03:02.174,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.1221,0.6004,3.7379,0.3205,7.793,11.7386,50.3905,0.2,55.9152,172.7537,934.0222,0.2273,40.6304,57.1145,234.716,4.5585,22.0065,13.608,67.9648,7.2124,60.752,195.0801,1,2,6,0.2641,0.008,1565.0,454.9,0.7011,0.1,81.261,0.000396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:03:00.722,2026-05-28T00:03:02.672,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,0.9951,0.1358,1.4559,0.6651,2.9134,4.6733,26.5466,0.2,5.7322,12.1853,71.5087,0.2273,15.596,16.7899,84.1896,3.1843,16.5522,7.4634,56.6686,7.2124,49.456,29.7811,0,0,0,0.0839,0.003,706.0,312.5,0.8761,0.075,31.192,0.000231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:03:01.223,2026-05-28T00:03:03.175,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,0.9746,0.0558,1.1502,0.8534,1.6821,1.3646,5.7862,0.2,2.1349,1.8123,7.1232,0.2273,8.8159,3.964,25.2939,3.1843,15.0618,2.8991,24.507,8.9873,15.52,4.645,0,0,0,0.0473,-0.004,795.0,282.9,0.9231,0.05,17.632,-0.000182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:03:01.723,2026-05-28T00:03:03.672,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,0.9765,0.0716,1.2182,0.8181,2.2605,1.9383,8.4309,0.2,2.9716,2.8732,14.0326,0.2494,9.3131,4.6789,25.2939,3.1843,15.0251,3.7183,24.507,5.2675,19.239,8.773,0,0,0,0.0556,-0.007,795.0,284.1,0.9112,0.05,18.626,-0.001141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:03:02.214,2026-05-28T00:03:04.173,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,0.9814,0.0767,1.2182,0.8181,2.6996,1.8306,8.4309,0.6,3.628,2.7542,14.0326,0.7622,11.4227,5.9909,25.2939,3.1843,16.4066,5.0398,24.9744,5.2675,19.707,10.555,0,0,0,0.0578,-0.002,795.0,277.0,0.9114,0.025,22.845,-0.000535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:03:43.781,2026-05-28T00:03:45.722,ล้มแ_02_orig,ล้มแบบค่อยๆทรุด,1,original,1.0132,0.0625,1.2496,0.8801,2.4401,3.1043,11.386,0.0,3.7646,5.2785,22.6282,0.0,16.2128,11.3686,63.8321,3.3541,78.1906,5.4419,86.0907,59.0082,27.082,15.35,0,0,0,0.0429,0.002,774.0,372.9,0.9536,0.075,32.426,0.000777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:03:44.272,2026-05-28T00:03:46.222,ล้มแ_02_orig,ล้มแบบค่อยๆทรุด,1,original,1.0076,0.0697,1.2496,0.8278,2.9793,3.1216,11.386,0.4472,4.8368,5.7278,22.6282,0.506,21.6129,13.5706,66.7881,4.0162,77.4283,5.2917,86.0907,59.0082,27.082,18.377,0,0,0,0.0482,-0.006,833.0,446.4,0.9419,0.075,43.226,-0.000424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:03:44.771,2026-05-28T00:03:46.721,ล้มแ_02_orig,ล้มแบบค่อยๆทรุด,1,original,1.0071,0.0724,1.2496,0.8278,3.4396,3.3358,11.386,0.4472,5.3636,5.7981,22.6282,0.506,19.8502,14.2939,66.7881,4.0162,76.3605,5.4838,86.0907,59.0082,27.082,22.68,0,0,0,0.0533,-0.002,1100.0,479.6,0.9391,0.1,39.7,-0.001377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:03:45.271,2026-05-28T00:03:47.221,ล้มแ_02_orig,ล้มแบบค่อยๆทรุด,1,original,1.0128,0.0915,1.3943,0.8278,3.322,3.441,12.1425,0.4472,5.3985,6.4271,25.0674,0.506,21.1917,12.9197,66.7881,4.0162,79.3134,5.1193,88.8511,68.0426,20.809,22.58,0,0,0,0.0565,-0.004,1100.0,556.7,0.928,0.1,42.383,-0.001229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
2026-05-28T00:03:45.776,2026-05-28T00:03:47.722,ล้มแ_02_orig,ล้มแบบค่อยๆทรุด,1,original,1.0153,0.0834,1.3943,0.8278,3.3359,3.2688,12.1425,0.4472,5.2535,5.8134,25.0674,0.6747,22.0108,12.597,66.7881,5.4351,79.0836,5.6041,88.8511,68.0426,20.809,21.546,0,0,0,0.051,0.0,1100.0,603.5,0.9371,0.075,44.022,0.000689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall
