pc_timestamp_iso,ms,ax,ay,az,gx,gy,gz,mx,my,mz,press,baro_t,prox,cr,cg,cb,light,gesture,mic,p2p
2026-05-27T23:29:55.231,488168,0.11,-0.05,0.97,4.8,5.9,2.1,9.9,20.8,-8.6,101.138,34.32,249,107,114,147,368,NONE,52,287
2026-05-27T23:29:55.265,488204,0.11,-0.04,0.97,3.9,4.5,1.7,10.4,21.3,-8.5,101.132,34.33,249,107,114,147,368,NONE,61,329
2026-05-27T23:29:55.312,488256,0.11,-0.04,0.96,3.8,4.5,1.7,10.7,20.4,-7.5,101.133,34.34,0,2,1,1,4,NONE,70,316
2026-05-27T23:29:55.360,488305,0.12,-0.05,0.97,4.7,6.3,2.0,10.4,20.4,-8.0,101.135,34.35,0,2,1,1,4,NONE,57,231
2026-05-27T23:29:55.408,488357,0.12,-0.04,0.95,3.9,6.0,2.1,10.4,20.7,-6.6,101.133,34.35,0,2,1,1,4,NONE,52,248
2026-05-27T23:29:55.460,488405,0.12,-0.05,0.96,3.8,4.9,1.7,9.8,20.9,-8.0,101.133,34.36,0,2,1,1,4,NONE,79,506
2026-05-27T23:29:55.520,488458,0.12,-0.04,0.97,3.8,5.1,1.6,10.1,20.8,-8.3,101.137,34.37,0,2,1,1,4,NONE,80,466
2026-05-27T23:29:55.568,488507,0.13,-0.05,0.97,3.8,4.9,1.8,10.3,20.8,-8.0,101.133,34.38,0,2,1,1,4,NONE,65,323
2026-05-27T23:29:55.616,488555,0.13,-0.06,0.95,4.0,4.9,1.8,10.5,20.8,-8.9,101.131,34.37,0,2,1,1,4,NONE,64,239
2026-05-27T23:29:55.668,488607,0.14,-0.05,0.96,2.6,4.5,1.9,10.6,20.8,-8.2,101.131,34.38,0,2,1,1,4,NONE,47,232
2026-05-27T23:29:55.717,488659,0.13,-0.04,0.95,3.9,4.3,1.7,10.0,20.8,-7.5,101.131,34.38,0,2,1,1,4,NONE,46,249
2026-05-27T23:29:55.762,488705,0.13,-0.04,0.97,3.2,5.1,1.8,10.2,20.6,-8.0,101.133,34.39,0,2,1,1,4,NONE,56,288
2026-05-27T23:29:55.812,488757,0.13,-0.05,0.96,3.8,5.2,1.7,10.0,20.9,-7.7,101.132,34.4,0,2,1,1,4,NONE,69,276
2026-05-27T23:29:55.866,488805,0.13,-0.04,0.96,2.9,4.4,1.7,10.6,20.4,-7.9,101.131,34.39,0,2,1,1,4,NONE,51,215
2026-05-27T23:29:55.910,488858,0.14,-0.05,0.96,3.2,3.5,1.6,10.7,20.1,-8.5,101.131,34.39,0,2,1,1,4,NONE,49,206
2026-05-27T23:29:55.970,488908,0.14,-0.05,0.95,2.7,4.6,1.6,10.2,20.3,-7.5,101.133,34.4,0,2,1,1,4,NONE,38,197
2026-05-27T23:29:56.018,488957,0.14,-0.04,0.95,3.3,3.5,1.6,10.3,20.6,-7.0,101.134,34.41,0,2,1,1,4,NONE,62,410
2026-05-27T23:29:56.066,489005,0.14,-0.04,0.95,2.1,1.8,1.8,9.9,20.3,-7.5,101.133,34.41,0,2,1,1,4,NONE,89,499
