feature,importance
GSI,0.5392532348632812
KII_min,0.08484764397144318
high_rot_n,0.0658094584941864
svm_dev_mean,0.05740288645029068
jerk_energy,0.038215938955545425
impact_n,0.02840593084692955
omega_std,0.027771126478910446
theta_range,0.01653296872973442
theta_max,0.014314127154648304
omega_mean,0.01301873940974474
theta_mean,0.011347899213433266
svm_std,0.008496073074638844
omega_max,0.007809565402567387
jerk_sparsity,0.007658591493964195
svm_min,0.007604253012686968
angular_impulse,0.006636769510805607
theta_min,0.006414605770260096
KII_mean,0.00640533771365881
theta_std,0.006385723128914833
svm_max,0.0060760462656617165
svm_mean,0.006048333365470171
KII_std,0.005674412008374929
jerk_min,0.00559258135035634
jerk_mean,0.005076908506453037
mic_p2p_mean,0.004030358977615833
jerk_max,0.00299253361299634
press_delta,0.002749768318608403
jerk_std,0.0023510081227868795
press_slope,0.0021302797831594944
omega_min,0.0014736729208379984
mic_p2p_max,0.0014732052804902196
KII_max,0.0
free_fall_n,0.0
hr_mean,0.0
hr_max,0.0
hr_delta,0.0
hr_spike,0.0
spo2_min,0.0
spo2_mean,0.0
rmssd,0.0
sdnn,0.0
hr_accel,0.0
osi,0.0
css_max,0.0
css_mean,0.0
fcri,0.0
