feature,importance
GSI,0.1546777914102588
KII_min,0.11471818863930754
jerk_energy,0.09961081834996637
hr_max,0.04939043625488094
osi,0.04808667457454604
spo2_min,0.04490356277836344
hr_delta,0.043635432979477244
sdnn,0.04053156915888819
fcri,0.038464060825813946
css_max,0.03705312029628219
hr_mean,0.03571072685857557
spo2_mean,0.035635828425764716
hr_spike,0.03351462975361428
css_mean,0.0334781768290633
rmssd,0.027069251724511568
theta_min,0.020521718359372013
svm_dev_mean,0.01773538215816806
theta_mean,0.014840157915549892
KII_mean,0.01279847246958683
angular_impulse,0.010944091836016348
jerk_min,0.0095924532937899
jerk_mean,0.009491548111386078
press_slope,0.0068316775159613305
jerk_max,0.005655607901271953
KII_max,0.005540120333344189
omega_std,0.004875472682098005
theta_range,0.00474896812606388
theta_max,0.004274595553759988
KII_std,0.004256981900416838
svm_mean,0.00405431174382455
jerk_sparsity,0.003858118737044919
theta_std,0.0025087106175946386
svm_max,0.002368150890174459
omega_min,0.002356309915682205
omega_max,0.0020417551140484197
impact_n,0.0019123425304195445
omega_mean,0.0018793280929830796
svm_min,0.0016299541591994697
free_fall_n,0.0015697139598599998
svm_std,0.001566948422572182
jerk_std,0.0014951722699205294
mic_p2p_mean,0.000999647980304979
mic_p2p_max,0.0009643731954186233
hr_accel,0.0009320440798435163
high_rot_n,0.000807526722920186
press_delta,0.00046807455208922223
