feature,importance
high_rot_n,3.435388505400463
jerk_sparsity,2.671997243598357
jerk_energy,1.9592552458257586
theta_std,1.817049403744312
angular_impulse,1.769987720282032
theta_mean,1.5643157226789077
omega_mean,1.3425130433913006
GSI,1.1142211843817889
svm_min,0.7418117907801007
svm_mean,0.7386466426545355
svm_max,0.674904953647683
theta_max,0.6321978246532263
KII_min,0.6051733589631405
jerk_min,0.5990333320774482
theta_range,0.5575219182134246
omega_std,0.5427782270367185
spo2_mean,0.3378887751932495
spo2_min,0.3375250320514771
svm_std,0.33316802287831404
svm_dev_mean,0.3209529380015751
jerk_mean,0.3185864230182475
mic_p2p_mean,0.31205261877472007
hr_mean,0.284321225230315
hr_max,0.27648834730506416
KII_mean,0.27012115055774527
theta_min,0.2622666643493052
mic_p2p_max,0.25701659835696566
jerk_max,0.20908128241810972
impact_n,0.19766046817029684
press_delta,0.1944726926192713
omega_max,0.18567741080480268
press_slope,0.17113182033431315
rmssd,0.12455754928230266
KII_std,0.12422680840874674
jerk_std,0.12420911971918679
hr_accel,0.10006063005517214
KII_max,0.09878384303615198
fcri,0.07636057380463782
css_mean,0.06451282501308106
free_fall_n,0.06065831416831521
css_max,0.05234366505448698
sdnn,0.04580697207410624
hr_spike,0.03759460639296304
hr_delta,0.03751484673529844
osi,0.010273461755777924
omega_min,0.01017268385538577
