feature,importance
GSI,0.1471747944091393
KII_mean,0.10914132701664836
jerk_sparsity,0.10782663914318055
KII_std,0.09064848549303349
KII_min,0.06890209578533116
KII_max,0.05515463349897063
jerk_min,0.04988867997377639
hr_mean,0.025605888882211467
css_max,0.02439491977134447
css_mean,0.022908810845387366
osi,0.021547502503509435
rmssd,0.021265533763103753
sdnn,0.021240306051924417
spo2_mean,0.019860845181791653
hr_max,0.018818195415122408
hr_spike,0.018521618419730622
theta_min,0.017020223680791813
hr_delta,0.014642754062052633
spo2_min,0.012935632731759057
fcri,0.012149281021866897
omega_mean,0.011606158824711332
jerk_mean,0.011595907248596531
theta_std,0.009679032341754889
theta_mean,0.009413692400981388
theta_range,0.007704835928863607
jerk_energy,0.007640557189196882
svm_dev_mean,0.007172682652370458
svm_max,0.0065574944731814225
theta_max,0.006324122211306699
omega_max,0.005788493967343816
omega_std,0.005653588226316139
angular_impulse,0.004876576036260935
svm_std,0.004508896783321543
jerk_max,0.0039042178991327264
jerk_std,0.003872064179430305
svm_mean,0.0025600894827563325
svm_min,0.002191465216455264
omega_min,0.0017793626116831508
mic_p2p_mean,0.001728824871320328
mic_p2p_max,0.0015965491858178718
press_slope,0.0015376217387786054
high_rot_n,0.0013664123962228185
press_delta,0.0010480959521622034
impact_n,0.0001496484858373705
free_fall_n,9.544204551990264e-05
hr_accel,1.6352734611255132e-15
