feature,importance
GSI,0.7780038535605449
theta_min,0.0676807893523509
KII_mean,0.03425047711274543
jerk_mean,0.013747167760056531
omega_mean,0.012913294027133265
svm_mean,0.00737755565091076
theta_mean,0.006288415320715886
svm_dev_mean,0.005703849895696827
theta_std,0.005665986389934774
KII_std,0.004823820286017766
angular_impulse,0.004244647485269266
mic_p2p_mean,0.004012976815903304
omega_max,0.0032627817378807914
theta_range,0.003045973751366045
mic_p2p_max,0.0027122981975073028
hr_mean,0.0025593501159139214
rmssd,0.0025425825280091445
spo2_min,0.0025111753070996548
spo2_mean,0.002468587241526378
hr_delta,0.002452298589312789
sdnn,0.002384152645890922
hr_spike,0.0023138093824350446
osi,0.002306451456434118
theta_max,0.0022858716836263514
css_max,0.0022362557513116222
omega_min,0.0022298339659845598
hr_max,0.002209170202318405
jerk_std,0.0022082100040538666
svm_min,0.0021062821368244434
svm_std,0.0019364108214509608
press_slope,0.0019067608361525927
css_mean,0.00178914700761175
jerk_max,0.0014995874155022961
fcri,0.0012850411003362233
omega_std,0.001021361594317428
jerk_energy,0.0009601390552694129
press_delta,0.000946710432270074
svm_max,0.0007674291544357333
KII_max,0.0005608890613151569
KII_min,0.0005499948399745102
jerk_sparsity,9.6196293688743e-05
impact_n,5.682340205586192e-05
free_fall_n,3.8580028245661716e-05
high_rot_n,3.400992460249269e-05
hr_accel,2.80951620022435e-06
jerk_min,1.9116179598260835e-07
