feature,importance
high_rot_n,0.1395564930240295
jerk_sparsity,0.11208238075877877
angular_impulse,0.09537947045955351
jerk_energy,0.061756892619171166
svm_std,0.045274450891468296
free_fall_n,0.042575199791884996
spo2_min,0.04006545069275975
hr_mean,0.039421018242646905
spo2_mean,0.038640252282683196
hr_delta,0.03854717097559324
hr_max,0.038394576245466876
jerk_mean,0.03741815773932478
svm_min,0.036478773958798276
svm_dev_mean,0.03647534937793183
theta_std,0.035198537136656154
jerk_max,0.030361524393825924
KII_max,0.029332136673896395
sdnn,0.028269961689948615
GSI,0.025451726151616203
css_mean,0.024587382805968238
svm_max,0.02366036831029088
css_max,0.019219348468905738
theta_range,0.018690600630704022
KII_min,0.017219095121647807
KII_mean,0.015431927243227629
mic_p2p_mean,0.0151758120171568
omega_min,0.013886500740270553
svm_mean,0.013285603783689409
mic_p2p_max,0.01294640197714572
impact_n,0.012711939235650446
theta_min,0.010523551848614554
KII_std,0.009696584041625296
jerk_min,0.008949997010205338
rmssd,0.008657287624149692
theta_max,0.008639606269715642
omega_max,0.008094557519406315
omega_mean,0.007867796678471206
osi,0.007465251982574467
press_slope,0.007175578324152108
hr_spike,0.006658732799281759
omega_std,0.004816471811018263
fcri,0.004807670633616572
theta_mean,0.0020939765360827364
jerk_std,0.0020002570173254025
press_delta,0.0014108425385579372
hr_accel,0.0012344034608309908
