feature,importance
angular_impulse,2.2139305736906065
high_rot_n,1.9937211929268197
jerk_mean,1.6678928820062455
omega_std,1.4778737004287559
jerk_energy,1.3999467787404338
svm_mean,1.292198169465536
jerk_std,1.209297221657649
svm_min,1.1361827499889483
press_slope,1.0464612274047576
KII_max,0.9619293023568609
omega_mean,0.8296022380444315
svm_max,0.8000729088430049
theta_mean,0.6551297956942279
theta_std,0.623576682613241
theta_min,0.5106605270414389
mic_p2p_max,0.5001045131617088
jerk_max,0.4571885764106736
theta_range,0.4236484597546454
impact_n,0.4120519875417102
KII_std,0.39744900018034085
jerk_sparsity,0.3467988388801684
mic_p2p_mean,0.3186027884933719
press_delta,0.2635101430006483
omega_min,0.24916319226059427
theta_max,0.22647400167164214
KII_min,0.19452137675140796
svm_dev_mean,0.1348994331770759
KII_mean,0.1348994331770759
svm_std,0.0875969630971303
fcri,0.05535995351819515
omega_max,0.045545201481340856
free_fall_n,0.04398195665470738
GSI,0.040566640809170905
jerk_min,0.0
hr_mean,0.0
hr_max,0.0
hr_delta,0.0
hr_spike,0.0
spo2_min,0.0
spo2_mean,0.0
rmssd,0.0
sdnn,0.0
hr_accel,0.0
osi,0.0
css_max,0.0
css_mean,0.0
