feature,importance
omega_mean,0.06527744970444237
theta_std,0.0652130686850475
svm_mean,0.06435999026373983
theta_range,0.06319276617028168
svm_dev_mean,0.0589332992432202
KII_mean,0.055400774760519876
svm_min,0.055396640896959407
theta_mean,0.05193648608472354
angular_impulse,0.05010827291000152
theta_min,0.04824731509407633
jerk_mean,0.04474974495857604
theta_max,0.042383678257122755
omega_max,0.034327806385183034
svm_std,0.02700123556062682
omega_std,0.02483901787335915
omega_min,0.02429848209599001
svm_max,0.023245045351015032
jerk_energy,0.020922555040979618
high_rot_n,0.019605980002001446
mic_p2p_max,0.01841143195115556
KII_max,0.018080519676209116
jerk_std,0.017902490318267465
KII_std,0.017847997377339553
jerk_max,0.016371349094575254
GSI,0.016053507479943566
mic_p2p_mean,0.013898580393411472
fcri,0.012579061407065087
KII_min,0.01093506446112763
press_slope,0.00884279721075319
press_delta,0.0054726910092020905
jerk_sparsity,0.002616520053092286
free_fall_n,0.0008011322249938107
impact_n,0.0007472480049977573
jerk_min,0.0
hr_mean,0.0
hr_max,0.0
hr_delta,0.0
hr_spike,0.0
spo2_min,0.0
spo2_mean,0.0
rmssd,0.0
sdnn,0.0
hr_accel,0.0
osi,0.0
css_max,0.0
css_mean,0.0
