feature,importance
theta_range,0.19941090839878167
theta_mean,0.12284212019575186
svm_mean,0.0844598855559485
svm_min,0.08379254276493554
theta_std,0.07913648846691541
theta_max,0.06335234912163455
KII_mean,0.05435005302407977
svm_dev_mean,0.05239698747439828
omega_mean,0.037803457731449816
theta_min,0.03075063372380569
jerk_std,0.027838055328435043
omega_max,0.0205970229739512
angular_impulse,0.0145563278295448
mic_p2p_max,0.013548492958667054
omega_min,0.013366201697050195
jerk_mean,0.013186928666797187
omega_std,0.01295911889770103
svm_max,0.010549999709728503
svm_std,0.00938921874952686
mic_p2p_mean,0.008379221430711762
jerk_max,0.008068101601857424
KII_std,0.00629838070829434
KII_max,0.005918133720660001
jerk_energy,0.004898271068811749
press_slope,0.004714859420501112
fcri,0.0046934778071657515
KII_min,0.004352278241972834
GSI,0.0036587030634301415
press_delta,0.0025237717439671966
jerk_sparsity,0.0016215026484238612
high_rot_n,0.00030851127677600785
impact_n,0.00014336175500541612
free_fall_n,0.0001346322433193996
jerk_min,0.0
hr_mean,0.0
hr_max,0.0
hr_delta,0.0
hr_spike,0.0
spo2_min,0.0
spo2_mean,0.0
rmssd,0.0
sdnn,0.0
hr_accel,0.0
osi,0.0
css_max,0.0
css_mean,0.0
