feature,importance
svm_std,0.17862570177931253
jerk_energy,0.16610776259242757
fcri,0.16352518481886483
GSI,0.12460424677937293
omega_std,0.11731554345484421
theta_mean,0.10678467656245672
angular_impulse,0.10012533089692428
KII_max,0.09876980120206348
jerk_max,0.0953368721679003
svm_mean,0.09465192972913049
KII_std,0.08616682833084742
jerk_std,0.08171123596651379
theta_range,0.0744663715864938
theta_min,0.06641000857608491
svm_min,0.06313090033004613
omega_mean,0.06097334039766958
jerk_mean,0.05732486606212869
press_slope,0.05228591049754278
impact_n,0.04824879129291229
omega_max,0.04287366647782538
omega_min,0.040212139190362456
jerk_sparsity,0.038373012734476304
theta_std,0.03300009350299581
high_rot_n,0.02780299500541097
KII_mean,0.018518833525806112
svm_dev_mean,0.018518833525791246
press_delta,0.01466316912974436
theta_max,0.012202801498885602
KII_min,0.009977547671474107
svm_max,0.009562534428519625
mic_p2p_max,0.007180586389877526
mic_p2p_mean,0.004547617122856675
free_fall_n,0.0019504197563878043
jerk_min,0.0
hr_mean,0.0
hr_max,0.0
hr_delta,0.0
hr_spike,0.0
spo2_min,0.0
spo2_mean,0.0
rmssd,0.0
sdnn,0.0
hr_accel,0.0
osi,0.0
css_max,0.0
css_mean,0.0
