feature,importance
GSI,2.500472569747732
KII_mean,1.6675497503578978
theta_range,1.0025450509894676
high_rot_n,0.9585003092591226
KII_max,0.8587430386184385
jerk_std,0.8164803269926676
omega_mean,0.7560691734604447
theta_min,0.7111487491221323
jerk_energy,0.670555429811314
impact_n,0.6202332140369029
omega_min,0.5823828610501645
jerk_max,0.5805448903123228
svm_mean,0.4666533793399309
KII_std,0.4666042714201019
KII_min,0.46541261383940785
svm_min,0.4630024116974116
svm_dev_mean,0.4230537314042654
theta_mean,0.41739906900583124
jerk_mean,0.3872894224799243
mic_p2p_mean,0.3857288315076749
press_delta,0.3154142000505162
mic_p2p_max,0.29501707282606376
spo2_min,0.28529812140752275
spo2_mean,0.285293224120451
omega_max,0.2796140689501711
angular_impulse,0.27262338146749565
theta_max,0.2656542190715646
hr_mean,0.2511812116924207
hr_max,0.24883336742326578
jerk_sparsity,0.23153835431205155
rmssd,0.179913745871429
sdnn,0.15649263795236526
fcri,0.14765973603479288
theta_std,0.14028884399037056
css_max,0.13395412831385908
hr_delta,0.13213771923755097
svm_std,0.13158850046287876
hr_spike,0.1296533601493434
css_mean,0.11459183973532838
omega_std,0.11226640070686154
free_fall_n,0.07740094724049439
osi,0.06588895534238351
hr_accel,0.059476693327121063
svm_max,0.03958109515376373
press_slope,0.034295356141164246
jerk_min,0.009158744120254737
