feature,importance
GSI,0.15758735282782554
KII_min,0.11195976080279768
jerk_energy,0.097098560820174
hr_delta,0.051465502356751736
hr_max,0.04759015883154192
osi,0.04400255832145032
fcri,0.0436804760452938
spo2_min,0.043476515251746874
css_max,0.04287155398928964
sdnn,0.038995838992758325
spo2_mean,0.037039136109739176
css_mean,0.03684540560353044
hr_mean,0.029537664157706988
rmssd,0.029186918822296216
hr_spike,0.027579521759915293
svm_dev_mean,0.01908587424225625
theta_min,0.017455891758901203
theta_mean,0.014080107610634024
KII_mean,0.013862589211959278
jerk_mean,0.01122036568714935
angular_impulse,0.010942937135292366
KII_max,0.006482831381579534
press_slope,0.005646024700480917
jerk_sparsity,0.005123615966590211
jerk_min,0.0049422829379941685
omega_std,0.004783301020657016
jerk_max,0.004654715270806896
theta_range,0.004114585415655191
svm_mean,0.003974710158136244
theta_max,0.0038987875885675987
omega_max,0.003378722529953327
impact_n,0.0030449556810248674
KII_std,0.0029818294327771575
jerk_std,0.00292807768337336
omega_min,0.002561764602836978
svm_std,0.00249334998315414
theta_std,0.0023141368037568407
omega_mean,0.002107284102222931
svm_min,0.0020774519646095473
svm_max,0.0019640778705484595
mic_p2p_mean,0.001818976731705177
free_fall_n,0.0014780635863024505
mic_p2p_max,0.0009909930202980863
press_delta,0.0003644667627689332
high_rot_n,0.0003021594261171103
hr_accel,8.145039072528984e-06
