feature,importance
GSI,0.829201974701649
theta_mean,0.024365999011874948
theta_max,0.022657443420381857
theta_std,0.021579491307990185
theta_min,0.009998437424744471
theta_range,0.008202821180303316
jerk_mean,0.006631791692634048
angular_impulse,0.005271994187040426
svm_min,0.004981935628038801
omega_mean,0.004619509441072535
KII_mean,0.004157888583466505
svm_max,0.003943009261923884
svm_std,0.003527354816583872
svm_mean,0.0031007201898409975
hr_delta,0.002712778367208595
hr_mean,0.0026498566265908655
spo2_min,0.0026357719960254473
hr_spike,0.002550773680612037
css_mean,0.0025191837033552394
hr_max,0.0024623456520918943
sdnn,0.002398500625182594
css_max,0.0023079394320633033
osi,0.0023019155471070358
spo2_mean,0.002289917657464845
rmssd,0.0021769314869684734
jerk_std,0.0021543586191232105
omega_std,0.002095997872211661
KII_std,0.0019949402490344113
fcri,0.001946440697374265
omega_max,0.0017607594056581572
impact_n,0.0016537562506021622
KII_max,0.0016033784921022337
jerk_min,0.001116824923162548
mic_p2p_max,0.0010826958207010948
mic_p2p_mean,0.0010480466620649237
KII_min,0.00096513741188163
omega_min,0.0008275254281613726
jerk_energy,0.00078898697971608
press_slope,0.0007601276566632804
jerk_max,0.0006101268137308684
press_delta,0.0002192015920087639
jerk_sparsity,8.099897605311936e-05
high_rot_n,4.001819076138097e-05
svm_dev_mean,3.3381987505777586e-06
hr_accel,7.191980439548408e-07
free_fall_n,3.3493997904743865e-07
