feature,importance
GSI,0.18489305534431003
angular_impulse,0.11149075446545828
theta_mean,0.08087783169913848
omega_mean,0.06201379344394996
svm_std,0.050431161254376994
free_fall_n,0.038982225298213075
jerk_mean,0.03829892182767708
high_rot_n,0.03442521681198108
theta_min,0.03262011231447267
omega_std,0.032298897062158695
svm_mean,0.02727987113300115
KII_mean,0.026292413363602662
KII_std,0.025080641692935217
spo2_mean,0.022148885551269967
theta_range,0.02210376218571647
spo2_min,0.021659897357508496
omega_max,0.01983796434170433
KII_max,0.016464786785221654
hr_delta,0.016224826226594116
impact_n,0.009973825146290074
svm_dev_mean,0.009494809191007151
mic_p2p_max,0.008362380921100787
osi,0.008125499532733418
omega_min,0.007875863779553918
KII_min,0.007531458658527019
sdnn,0.007443111782585348
fcri,0.0071729019748734526
mic_p2p_mean,0.006931497131715883
css_mean,0.006780850531804226
jerk_max,0.0065910567242597005
svm_max,0.006582871202921912
hr_mean,0.006078284561794494
hr_max,0.005618856700848852
theta_max,0.005608233723060364
jerk_std,0.005289156324558418
css_max,0.004360288690264653
jerk_min,0.004261008481946883
hr_spike,0.003245083185581176
svm_min,0.002826180958657976
jerk_sparsity,0.002646995204060909
jerk_energy,0.002612780921202679
press_slope,0.001964022627687544
press_delta,0.0009511351083466929
rmssd,0.0009205995695734957
hr_accel,0.0002232226407520698
theta_std,0.00019810817703493945
