feature,present,numeric,null_count,finite_count,complete
svm_mean,True,True,0,2138,True
svm_std,True,True,0,2138,True
svm_max,True,True,0,2138,True
svm_min,True,True,0,2138,True
jerk_mean,True,True,0,2138,True
jerk_std,True,True,0,2138,True
jerk_max,True,True,0,2138,True
jerk_min,True,True,0,2138,True
KII_mean,True,True,0,2138,True
KII_std,True,True,0,2138,True
KII_max,True,True,0,2138,True
KII_min,True,True,0,2138,True
omega_mean,True,True,0,2138,True
omega_std,True,True,0,2138,True
omega_max,True,True,0,2138,True
omega_min,True,True,0,2138,True
theta_mean,True,True,0,2138,True
theta_std,True,True,0,2138,True
theta_max,True,True,0,2138,True
theta_min,True,True,0,2138,True
theta_range,True,True,0,2138,True
jerk_energy,True,True,0,2138,True
free_fall_n,True,True,0,2138,True
impact_n,True,True,0,2138,True
high_rot_n,True,True,0,2138,True
svm_dev_mean,True,True,338,1800,False
press_delta,True,True,0,2138,True
mic_p2p_max,True,True,0,2138,True
mic_p2p_mean,True,True,0,2138,True
GSI,True,True,0,2138,True
jerk_sparsity,True,True,0,2138,True
angular_impulse,True,True,0,2138,True
press_slope,True,True,0,2138,True
hr_mean,True,True,0,2138,True
hr_max,True,True,0,2138,True
hr_delta,True,True,0,2138,True
hr_spike,True,True,0,2138,True
spo2_min,True,True,0,2138,True
spo2_mean,True,True,0,2138,True
rmssd,True,True,0,2138,True
sdnn,True,True,0,2138,True
hr_accel,True,True,0,2138,True
osi,True,True,0,2138,True
css_max,True,True,0,2138,True
css_mean,True,True,0,2138,True
fcri,True,True,0,2138,True
