window_start_ts,window_end_ts,session_id,class_th,label,source,svm_mean,svm_std,svm_max,svm_min,jerk_mean,jerk_std,jerk_max,jerk_min,KII_mean,KII_std,KII_max,KII_min,omega_mean,omega_std,omega_max,omega_min,theta_mean,theta_std,theta_max,theta_min,theta_range,jerk_energy,free_fall_n,impact_n,high_rot_n,svm_dev_mean,press_delta,mic_p2p_max,mic_p2p_mean,GSI,jerk_sparsity,angular_impulse,press_slope,hr_mean,hr_max,hr_delta,hr_spike,spo2_min,spo2_mean,rmssd,sdnn,hr_accel,osi,css_max,css_mean,fcri,class_en,category,class,component_gait_motion,component_rotation_balance,component_posture_transition,component_impact_event,component_physio_stress,feature_risk_score,activity_prior_score,weighted_risk_score,activity_prior_floor,model2_risk_target,model2_risk_level,model2_high_risk_target
2026-05-22T12:25:58.263576+07:00,2026-05-22T12:26:00.213576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,0.9978,0.1392,1.2417,0.6953,5.0087,3.5234,21.1111,0.8718,12.252,13.2532,79.4879,1.5857,45.7947,31.205,150.5822,5.1098,23.8921,14.0458,70.6888,1.1017,69.587,37.1911,0,0,2,0.1157,-0.004,2074.0,668.8,0.8759,0.025,91.589,-0.002957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,,0.22774820840052273,0.4039942163153882,0.3150136225645841,0.8860254258924534,0.19906927546918937,0.4412915359082174,0.82,0.5927749215449305,0.7789999999999999,0.7789999999999999,high,1
2026-05-22T12:25:58.763576+07:00,2026-05-22T12:26:00.713576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,1.0115,0.1447,1.2417,0.6953,5.6207,3.4175,21.1111,0.8718,15.3517,13.3956,79.4879,2.0409,63.9246,30.5087,150.5822,11.1454,29.8844,15.0425,70.6888,3.8555,66.833,42.979,0,0,5,0.1212,-0.001,1660.0,713.6,0.8836,0.025,127.849,-0.002951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,,0.2406649848287538,0.5300778224511394,0.3302220288107955,0.8940181783571903,0.19906927546918937,0.474389817315005,0.82,0.612633890389003,0.7789999999999999,0.7789999999999999,high,1
2026-05-22T12:25:59.263576+07:00,2026-05-22T12:26:01.213576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,0.9757,0.1351,1.2384,0.6953,5.8238,3.77,21.1111,0.8718,16.7945,14.5775,79.4879,2.0409,71.1469,28.875,150.5822,24.4906,39.5128,16.668,70.9133,3.8555,67.058,47.774,0,0,7,0.1129,-0.005,1660.0,731.3,0.8595,0.025,142.294,-0.000775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,,0.24349357711279734,0.5892177847058413,0.34822145065583465,0.8690019011623645,0.19906927546918937,0.4841859151387364,0.82,0.6185115490832418,0.7789999999999999,0.7789999999999999,high,1
2026-05-22T12:25:59.763576+07:00,2026-05-22T12:26:01.713576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,1.066,0.2164,1.7847,0.6953,5.813,3.7,21.1111,1.4283,17.6065,14.6177,79.4879,3.5604,73.3842,28.4137,150.5822,32.6431,50.5347,20.4622,79.3642,3.8555,75.509,47.1389,0,0,8,0.1461,-0.001,1660.0,651.5,0.8763,0.025,146.768,0.000296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,,0.2666294593046735,0.6129355660496681,0.3870378868537956,0.8864406338126994,0.19906927546918937,0.5061423358918905,0.82,0.6316854015351343,0.7789999999999999,0.7789999999999999,high,1
2026-05-22T12:26:00.263576+07:00,2026-05-22T12:26:02.213576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,1.0297,0.2198,1.7847,0.7726,4.4843,2.9899,13.0874,0.6,12.8916,11.5333,44.6328,0.755,60.3067,32.4994,141.5348,5.4268,57.4412,18.4397,79.3642,3.8555,75.509,28.8249,0,0,6,0.141,-0.004,1660.0,615.1,0.8442,0.0,120.613,-0.002006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,,0.19703012597140904,0.5239729201890434,0.32997106731600157,0.8531201982129522,0.19906927546918937,0.45329448057895166,0.82,0.599976688347371,0.7789999999999999,0.7789999999999999,high,1
2026-05-22T12:26:00.763576+07:00,2026-05-22T12:26:02.713576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,1.0094,0.2236,1.7847,0.7726,4.2574,3.534,15.0745,0.6,11.1594,11.5208,41.1971,0.755,49.7722,26.4925,107.4926,5.4268,69.8586,11.0126,90.5906,44.7795,45.811,30.302,0,0,3,0.1436,-0.01,1612.0,503.2,0.8249,0.05,99.544,-0.004081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,,0.2461060637191742,0.3975732601782434,0.22668963186721836,0.8330864160610792,0.19906927546918937,0.4131465222535751,0.82,0.5758879133521451,0.7789999999999999,0.7789999999999999,high,1
2026-05-22T12:26:01.263576+07:00,2026-05-22T12:26:03.213576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,1.0242,0.2144,1.7847,0.7842,3.2749,3.0343,15.0745,0.3464,7.4792,8.9384,39.2121,0.4348,33.6165,23.1343,102.1031,3.0512,78.8136,10.7542,95.1111,63.3167,31.794,19.702,0,0,1,0.123,-0.008,1046.0,427.3,0.8434,0.075,67.233,-0.00406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,,0.23811447596937924,0.28388313355616446,0.17425881402986812,0.8522897823724601,0.19906927546918937,0.3829650256345796,0.82,0.5577790153807478,0.7789999999999999,0.7789999999999999,high,1
2026-05-22T12:26:01.763576+07:00,2026-05-22T12:26:03.713576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,0.9656,0.0908,1.3164,0.7842,2.1463,2.7474,15.0745,0.2,3.8749,6.5892,39.2121,0.2316,24.0371,14.848,72.077,3.0512,84.4107,12.0979,97.4408,63.3167,34.124,11.966,0,0,0,0.0607,-0.002,1120.0,463.7,0.8852,0.05,48.074,-0.001101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,,0.15383719376996485,0.1888969678777897,0.1626515569889249,0.8956790100381745,0.19906927546918937,0.3539526459232734,0.82,0.5403715875539641,0.7789999999999999,0.7789999999999999,high,1
2026-05-22T12:26:02.263576+07:00,2026-05-22T12:26:04.213576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,1.0,0.0661,1.3164,0.8355,1.7777,2.7914,15.0745,0.0,3.2811,6.6507,39.2121,0.0,26.5524,15.1196,72.077,3.0512,92.186,6.0431,97.9364,74.7336,23.203,10.757,0,0,0,0.035,-0.005,1120.0,470.4,0.938,0.05,53.105,0.000679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,,0.1360860622121423,0.2012053439061942,0.10930106517968045,0.9504864555106559,0.19906927546918937,0.35554083519250484,0.82,0.5413245011155029,0.7789999999999999,0.7789999999999999,high,1
2026-05-22T12:26:02.763576+07:00,2026-05-22T12:26:04.713576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,1.0128,0.0124,1.0389,0.978,0.8917,0.7678,3.9294,0.0,1.4367,1.1125,5.519,0.0,32.6775,23.6968,83.7221,3.0512,95.5415,2.3673,97.9625,88.2422,9.72,1.37,0,0,0,0.0144,0.004,1603.0,565.9,1.0004,0.05,65.355,0.000186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,,0.06408411677277669,0.25323503647071877,0.028012872297383463,1.0,0.19906927546918937,0.3462270932546259,0.82,0.5357362559527755,0.7789999999999999,0.7789999999999999,high,1
