,backward_fall,corrected_walking,elderly_pick_up_object,gradual_fall,limping_walk,lying_down,normal_walk,sideways_fall,slow_collapse_fall,stand_sit_alternating,standing
backward_fall,160,0,0,0,0,0,0,1,0,0,0
corrected_walking,0,11,1,0,0,0,0,0,0,0,0
elderly_pick_up_object,0,0,12,0,1,0,0,0,0,0,0
gradual_fall,0,0,1,3,0,0,0,0,0,1,0
limping_walk,0,3,1,0,12,0,0,0,0,0,0
lying_down,0,0,0,0,0,3,0,0,0,0,0
normal_walk,0,0,2,0,1,0,3,0,0,0,0
sideways_fall,1,0,0,0,0,0,0,160,0,0,0
slow_collapse_fall,0,0,0,0,0,0,0,0,38,0,0
stand_sit_alternating,0,0,0,0,0,0,0,0,0,11,0
standing,0,0,0,0,0,0,0,0,0,0,2
