,backward_fall,corrected_walking,elderly_pick_up_object,gradual_fall,limping_walk,lying_down,normal_walk,sideways_fall,slow_collapse_fall,stand_sit_alternating,standing
backward_fall,111,0,0,0,0,0,0,50,0,0,0
corrected_walking,0,6,5,0,0,0,1,0,0,0,0
elderly_pick_up_object,0,2,8,0,3,0,0,0,0,0,0
gradual_fall,0,1,0,4,0,0,0,0,0,0,0
limping_walk,0,6,1,0,8,0,1,0,0,0,0
lying_down,0,0,0,0,0,3,0,0,0,0,0
normal_walk,0,0,2,0,2,0,2,0,0,0,0
sideways_fall,25,0,0,0,0,0,0,136,0,0,0
slow_collapse_fall,0,0,0,0,0,0,0,0,38,0,0
stand_sit_alternating,0,0,0,0,0,0,0,0,0,11,0
standing,0,0,0,1,0,0,0,0,0,0,1
