,backward_fall,corrected_walking,elderly_pick_up_object,gradual_fall,limping_walk,lying_down,normal_walk,sideways_fall,slow_collapse_fall,stand_sit_alternating,standing
backward_fall,159,0,0,0,0,0,0,2,0,0,0
corrected_walking,0,9,3,0,0,0,0,0,0,0,0
elderly_pick_up_object,0,0,11,0,2,0,0,0,0,0,0
gradual_fall,0,0,1,2,0,0,1,0,0,1,0
limping_walk,0,2,1,0,13,0,0,0,0,0,0
lying_down,0,0,0,0,0,3,0,0,0,0,0
normal_walk,0,1,1,0,1,0,3,0,0,0,0
sideways_fall,0,0,0,0,0,0,0,161,0,0,0
slow_collapse_fall,0,0,0,0,0,0,0,0,38,0,0
stand_sit_alternating,0,0,0,0,0,0,0,0,0,11,0
standing,0,0,0,0,0,0,0,0,0,0,2
