feature,importance
theta_mean,0.09178745702709219
theta_max,0.07643054694966901
theta_min,0.0634004724325728
GSI,0.05604407426541665
theta_std,0.04652377836549294
theta_range,0.037519804177519
jerk_energy,0.031041015731588583
omega_std,0.030773903594685004
angular_impulse,0.028919778738731746
mic_p2p_max,0.02806827705038243
jerk_max,0.02536277738241883
KII_min,0.024650305919464564
KII_std,0.02434829711461334
mic_p2p_mean,0.023685513134814137
KII_mean,0.022844185417549696
svm_mean,0.022636695734941377
KII_max,0.022569353374855317
omega_max,0.022379893897983106
jerk_std,0.022222612496062496
svm_dev_mean,0.020914970831831876
jerk_mean,0.020525080267960176
omega_mean,0.020467290641908283
svm_max,0.020198212902034687
svm_min,0.019665934388990617
svm_std,0.019560808315867567
omega_min,0.015142523621994662
jerk_min,0.01234763927761383
hr_max,0.011793519658192203
css_max,0.010640565887172198
hr_delta,0.010619501405856782
impact_n,0.010459152639509701
osi,0.010351830580514776
press_slope,0.01012151003576764
hr_spike,0.009788894119782237
sdnn,0.009627512979531284
spo2_min,0.009278904135910804
hr_mean,0.009268755375536914
fcri,0.009217280306491977
css_mean,0.009074020968636165
rmssd,0.008362008903631436
press_delta,0.00666991688110938
spo2_mean,0.0066507350707045235
jerk_sparsity,0.0037194823270106214
high_rot_n,0.002392110298760954
free_fall_n,0.0010445695020197677
hr_accel,0.0008885258698058581
