feature,importance
hr_delta,0.14071151614189148
GSI,0.08817213028669357
jerk_energy,0.0811908021569252
theta_mean,0.08022155612707138
hr_spike,0.07080703228712082
rmssd,0.06912937015295029
css_max,0.0581701286137104
theta_max,0.049239031970500946
hr_max,0.04919568449258804
angular_impulse,0.04210509732365608
omega_min,0.01872265338897705
css_mean,0.017300011590123177
svm_dev_mean,0.01658705063164234
hr_mean,0.014639963395893574
theta_range,0.013344983570277691
KII_min,0.0127258887514472
osi,0.012189102359116077
jerk_std,0.011562387458980083
svm_mean,0.010698518715798855
free_fall_n,0.010544526390731335
theta_min,0.009746368043124676
KII_mean,0.009746314026415348
theta_std,0.009727679193019867
mic_p2p_max,0.00837944820523262
omega_std,0.0071512432768940926
spo2_mean,0.00701776472851634
jerk_max,0.006741937715560198
svm_std,0.006606689188629389
KII_std,0.0057450816966593266
KII_max,0.005523922853171825
jerk_min,0.004954371135681868
svm_max,0.004849500488489866
svm_min,0.004638876765966415
omega_max,0.004505195654928684
jerk_mean,0.004445309285074472
press_slope,0.004359601531177759
hr_accel,0.004265681840479374
omega_mean,0.0038486772682517767
impact_n,0.0037539461627602577
mic_p2p_mean,0.0034653625916689634
sdnn,0.002531563164666295
press_delta,0.0024945102632045746
high_rot_n,0.0022419304586946964
jerk_sparsity,0.0021755346097052097
fcri,0.0019593620672822
spo2_min,0.0018666289979591966
