window_start_ts,window_end_ts,session_id,class_th,label,source,svm_mean,svm_std,svm_max,svm_min,jerk_mean,jerk_std,jerk_max,jerk_min,KII_mean,KII_std,KII_max,KII_min,omega_mean,omega_std,omega_max,omega_min,theta_mean,theta_std,theta_max,theta_min,theta_range,jerk_energy,free_fall_n,impact_n,high_rot_n,svm_dev_mean,press_delta,mic_p2p_max,mic_p2p_mean,GSI,jerk_sparsity,angular_impulse,press_slope,hr_mean,hr_max,hr_delta,hr_spike,spo2_min,spo2_mean,rmssd,sdnn,hr_accel,osi,css_max,css_mean,fcri,class_en,category,class
2026-05-22T12:25:58.263576+07:00,2026-05-22T12:26:00.213576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,0.9978,0.1392,1.2417,0.6953,5.0087,3.5234,21.1111,0.8718,12.252,13.2532,79.4879,1.5857,45.7947,31.205,150.5822,5.1098,23.8921,14.0458,70.6888,1.1017,69.587,37.1911,0,0,2,0.1157,-0.004,2074.0,668.8,0.8759,0.025,91.589,-0.002957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,
2026-05-22T12:25:58.763576+07:00,2026-05-22T12:26:00.713576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,1.0115,0.1447,1.2417,0.6953,5.6207,3.4175,21.1111,0.8718,15.3517,13.3956,79.4879,2.0409,63.9246,30.5087,150.5822,11.1454,29.8844,15.0425,70.6888,3.8555,66.833,42.979,0,0,5,0.1212,-0.001,1660.0,713.6,0.8836,0.025,127.849,-0.002951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,
2026-05-22T12:25:59.263576+07:00,2026-05-22T12:26:01.213576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,0.9757,0.1351,1.2384,0.6953,5.8238,3.77,21.1111,0.8718,16.7945,14.5775,79.4879,2.0409,71.1469,28.875,150.5822,24.4906,39.5128,16.668,70.9133,3.8555,67.058,47.774,0,0,7,0.1129,-0.005,1660.0,731.3,0.8595,0.025,142.294,-0.000775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,
2026-05-22T12:25:59.763576+07:00,2026-05-22T12:26:01.713576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,1.066,0.2164,1.7847,0.6953,5.813,3.7,21.1111,1.4283,17.6065,14.6177,79.4879,3.5604,73.3842,28.4137,150.5822,32.6431,50.5347,20.4622,79.3642,3.8555,75.509,47.1389,0,0,8,0.1461,-0.001,1660.0,651.5,0.8763,0.025,146.768,0.000296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,
2026-05-22T12:26:00.263576+07:00,2026-05-22T12:26:02.213576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,1.0297,0.2198,1.7847,0.7726,4.4843,2.9899,13.0874,0.6,12.8916,11.5333,44.6328,0.755,60.3067,32.4994,141.5348,5.4268,57.4412,18.4397,79.3642,3.8555,75.509,28.8249,0,0,6,0.141,-0.004,1660.0,615.1,0.8442,0.0,120.613,-0.002006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,
2026-05-22T12:26:00.763576+07:00,2026-05-22T12:26:02.713576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,1.0094,0.2236,1.7847,0.7726,4.2574,3.534,15.0745,0.6,11.1594,11.5208,41.1971,0.755,49.7722,26.4925,107.4926,5.4268,69.8586,11.0126,90.5906,44.7795,45.811,30.302,0,0,3,0.1436,-0.01,1612.0,503.2,0.8249,0.05,99.544,-0.004081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,
2026-05-22T12:26:01.263576+07:00,2026-05-22T12:26:03.213576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,1.0242,0.2144,1.7847,0.7842,3.2749,3.0343,15.0745,0.3464,7.4792,8.9384,39.2121,0.4348,33.6165,23.1343,102.1031,3.0512,78.8136,10.7542,95.1111,63.3167,31.794,19.702,0,0,1,0.123,-0.008,1046.0,427.3,0.8434,0.075,67.233,-0.00406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,
2026-05-22T12:26:01.763576+07:00,2026-05-22T12:26:03.713576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,0.9656,0.0908,1.3164,0.7842,2.1463,2.7474,15.0745,0.2,3.8749,6.5892,39.2121,0.2316,24.0371,14.848,72.077,3.0512,84.4107,12.0979,97.4408,63.3167,34.124,11.966,0,0,0,0.0607,-0.002,1120.0,463.7,0.8852,0.05,48.074,-0.001101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,
2026-05-22T12:26:02.263576+07:00,2026-05-22T12:26:04.213576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,1.0,0.0661,1.3164,0.8355,1.7777,2.7914,15.0745,0.0,3.2811,6.6507,39.2121,0.0,26.5524,15.1196,72.077,3.0512,92.186,6.0431,97.9364,74.7336,23.203,10.757,0,0,0,0.035,-0.005,1120.0,470.4,0.938,0.05,53.105,0.000679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,
2026-05-22T12:26:02.763576+07:00,2026-05-22T12:26:04.713576+07:00,ล้มแ_00_aug_axisperm,ล้มแบบค่อยๆทรุด,1,aug_axisperm,1.0128,0.0124,1.0389,0.978,0.8917,0.7678,3.9294,0.0,1.4367,1.1125,5.519,0.0,32.6775,23.6968,83.7221,3.0512,95.5415,2.3673,97.9625,88.2422,9.72,1.37,0,0,0,0.0144,0.004,1603.0,565.9,1.0004,0.05,65.355,0.000186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,
2026-05-28T00:02:52.234,2026-05-28T00:02:54.174,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0112,0.004,1.0172,1.0028,0.2211,0.1202,0.4899,0.0,0.249,0.1352,0.5447,0.0,5.6189,1.3082,8.3126,3.4424,91.9832,0.4235,92.8556,91.1331,1.722,0.063,0,0,0,0.0112,0.004,702.0,278.2,1.0071,0.0,11.238,0.000827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,
2026-05-28T00:02:52.726,2026-05-28T00:02:54.671,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0105,0.0044,1.0172,1.002,0.2426,0.1287,0.4899,0.0,0.2688,0.1413,0.5447,0.0,4.9374,1.6015,8.3126,2.184,91.8139,0.4805,92.8556,91.1285,1.727,0.075,0,0,0,0.0105,0.001,702.0,221.3,1.0061,0.0,9.875,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,
2026-05-28T00:02:53.224,2026-05-28T00:02:55.173,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0099,0.0146,1.074,0.9884,0.3766,0.4078,1.9391,0.0,0.4383,0.5309,2.5275,0.0,4.9749,2.5694,14.425,2.184,91.4897,0.5088,92.2653,89.4206,2.845,0.304,0,0,0,0.0118,0.006,241.0,161.1,0.9953,0.075,9.95,-0.000171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,
2026-05-28T00:02:53.721,2026-05-28T00:02:55.673,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0092,0.0263,1.074,0.9131,0.7965,1.1092,5.0675,0.0,1.1092,1.7471,8.2073,0.0,9.4069,8.205,26.985,2.184,90.5232,2.7872,92.759,79.0484,13.711,1.834,0,0,0,0.0184,-0.001,544.0,203.4,0.9833,0.1,18.814,-0.000522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,
2026-05-28T00:02:54.224,2026-05-28T00:02:56.176,ล้มแ_01_orig,ล้มแบบค่อยๆทรุด,1,original,1.0076,0.0336,1.1009,0.9131,1.1198,1.1507,5.0675,0.0,1.5701,1.828,8.2073,0.0,11.8268,9.03,29.7908,2.184,86.6126,6.7845,92.759,75.0466,17.712,2.545,0,0,0,0.0238,-0.003,544.0,241.8,0.9748,0.05,23.654,-0.00037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slow_collapse_fall,fall,
