sample_index,time_ms,subject_group,subject_group_name,activity_group,activity_code,activity_name,activity_name_th,trial_id,ax_mps2,ay_mps2,az_mps2,gx_rad_s,gy_rad_s,gz_rad_s,paper_ax_mg,paper_ay_mg,paper_az_mg,paper_gx_deg_s,paper_gy_deg_s,paper_gz_deg_s
0,0,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.007680,0.015340,9.803220,-0.001260,-0.003720,0.005150,-1,2,1000,0,0,0
1,100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.033360,0.012720,9.841110,0.001000,0.001580,0.006740,3,1,1004,0,0,0
2,200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.049980,0.025660,9.825190,0.002000,-0.006770,-0.000980,-5,3,1002,0,0,0
3,300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.026690,-0.014050,9.819160,-0.000180,0.002080,0.003430,-3,-1,1001,0,0,0
4,400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.009260,0.011820,9.790170,0.006870,0.002230,0.010790,1,1,998,0,0,1
5,500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.018610,-0.022190,9.799680,-0.000430,0.002530,0.006990,-2,-2,999,0,0,0
6,600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.013420,-0.028710,9.794380,0.004880,-0.003230,0.006980,-1,-3,999,0,0,0
7,700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.012800,-0.044690,9.811450,0.005220,-0.008060,0.004710,1,-5,1000,0,0,0
8,800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.003180,-0.024520,9.824920,-0.000250,-0.005860,0.009310,0,-3,1002,0,0,1
9,900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.020080,0.028380,9.853220,0.001450,0.000480,0.000800,2,3,1005,0,0,0
10,1000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.018460,-0.018350,9.796420,-0.005060,-0.003870,0.003880,2,-2,999,0,0,0
11,1100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.038670,-0.060950,9.766270,0.000960,0.005770,0.008310,4,-6,996,0,0,0
12,1200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.057000,-0.075550,9.820720,-0.002950,-0.004480,0.009910,-6,-8,1001,0,0,1
13,1300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.033050,0.004720,9.817370,0.001740,0.006380,0.008480,3,0,1001,0,0,0
14,1400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.015560,0.016430,9.762950,0.005130,0.003820,0.008120,2,2,996,0,0,0
15,1500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.059220,-0.019010,9.835270,-0.007240,-0.000740,0.010080,-6,-2,1003,0,0,1
16,1600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.039340,0.048300,9.826560,-0.000600,0.001300,0.008600,-4,5,1002,0,0,0
17,1700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.003610,0.034370,9.790150,-0.001660,0.004170,0.006110,0,4,998,0,0,0
18,1800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.026410,0.028390,9.853960,-0.001780,-0.005520,0.005460,-3,3,1005,0,0,0
19,1900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.004470,-0.008940,9.852140,-0.004110,0.005040,0.000930,0,-1,1005,0,0,0
20,2000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.149040,0.025260,10.189720,0.003440,0.001380,0.006570,-15,3,1039,0,0,0
21,2100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.190360,0.023010,10.341450,0.001110,0.002290,0.006000,-19,2,1055,0,0,0
22,2200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.019180,0.022640,10.047310,0.001300,-0.001710,0.004510,-2,2,1025,0,0,0
23,2300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.153580,0.036950,10.216950,0.001540,0.007350,-0.004260,16,4,1042,0,0,0
24,2400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.136010,0.009760,10.327570,0.000950,-0.001720,0.008620,14,1,1053,0,0,0
25,2500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.011290,-0.020880,9.931500,0.001420,-0.002220,0.005600,1,-2,1013,0,0,0
26,2600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.189990,-0.002510,10.171250,-0.001950,0.004030,0.001330,-19,0,1037,0,0,0
27,2700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.156770,0.038140,10.276590,0.005960,-0.006810,0.004590,-16,4,1048,0,0,0
28,2800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.036100,0.024930,10.001370,-0.010730,0.004350,0.000210,4,3,1020,-1,0,0
29,2900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.223780,-0.059690,10.359050,0.004780,-0.000600,0.006760,23,-6,1056,0,0,0
30,3000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.149440,0.005660,10.128860,0.006130,0.004190,0.004820,15,1,1033,0,0,0
31,3100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.013460,-0.045870,10.120690,-0.001060,0.000530,0.008820,1,-5,1032,0,0,1
