time_ms,x_m,y_m,heading_rad,heading_name,confidence,motion_state,distance_mm,distance_valid,tof_used,best_tof_error_m
0,0.5000,0.5000,0.00000,east,1.0000,initializing,1200,0,0,
100,0.5000,0.5000,0.00067,east,0.9910,calibrating,1200,0,0,
200,0.5000,0.5000,0.00058,east,0.9821,calibrating,1200,0,0,
300,0.5000,0.5000,0.00092,east,0.9733,calibrating,1200,0,0,
400,0.5000,0.5000,0.00200,east,0.9645,calibrating,1200,0,0,
500,0.5000,0.5000,0.00270,east,0.9558,calibrating,1200,0,0,
600,0.5000,0.5000,0.00340,east,0.9472,calibrating,1200,0,0,
700,0.5000,0.5000,0.00387,east,0.9387,calibrating,1200,0,0,
800,0.5000,0.5000,0.00480,east,0.9303,calibrating,1200,0,0,
900,0.5000,0.5000,0.00488,east,0.9219,calibrating,1200,0,0,
1000,0.5000,0.5000,0.00527,east,0.9136,calibrating,1200,0,0,
1100,0.5000,0.5000,0.00610,east,0.9054,calibrating,1200,0,0,
1200,0.5000,0.5000,0.00709,east,0.8973,calibrating,1200,0,0,
1300,0.5000,0.5000,0.00794,east,0.8892,calibrating,1200,0,0,
1400,0.5000,0.5000,0.00875,east,0.8812,calibrating,1200,0,0,
1500,0.5000,0.5000,0.00976,east,0.8733,calibrating,1200,0,0,
1600,0.5000,0.5000,0.01062,east,0.8654,calibrating,1200,0,0,
1700,0.5000,0.5000,0.01123,east,0.8577,calibrating,1200,0,0,
1800,0.5000,0.5000,0.01177,east,0.8499,calibrating,1200,0,0,
1900,0.5000,0.5000,0.01125,east,0.8423,calibrating,1200,0,0,
2000,0.5500,0.5006,0.01128,east,0.8314,moving,1200,0,0,
2100,0.6000,0.5011,0.01127,east,0.8206,moving,1200,0,0,
2200,0.6500,0.5017,0.01110,east,0.8100,moving,1200,0,0,
2300,0.7000,0.5022,0.01005,east,0.7995,moving,1200,0,0,
2400,0.7500,0.5027,0.01030,east,0.7891,moving,1200,0,0,
2500,0.8000,0.5032,0.01024,east,0.7789,moving,1200,0,0,
2600,0.8500,0.5037,0.00975,east,0.7688,moving,1200,0,0,
2700,0.9000,0.5042,0.00959,east,0.7588,moving,1200,0,0,
2800,0.9500,0.5046,0.00899,east,0.7490,moving,1200,0,0,
2900,1.0000,0.5051,0.00905,east,0.7393,moving,1200,0,0,
3000,1.0500,0.5055,0.00891,east,0.7297,moving,1200,0,0,
3100,1.1000,0.5060,0.00918,east,0.7202,moving,1200,0,0,
3200,1.1500,0.5064,0.00877,east,0.7109,moving,1200,0,0,
3300,1.2000,0.5068,0.00838,east,0.7017,moving,1200,0,0,
3400,1.2500,0.5073,0.00898,east,0.6926,moving,1200,0,0,
3500,1.3000,0.5077,0.00872,east,0.6836,moving,1200,0,0,
3600,1.3500,0.5082,0.00930,east,0.6748,moving,1200,0,0,
3700,1.4000,0.5087,0.00933,east,0.6660,moving,1200,0,0,
3800,1.4500,0.5091,0.00964,east,0.6574,moving,1200,0,0,
3900,1.5000,0.5096,0.01015,east,0.6489,moving,1200,0,0,
4000,1.5500,0.5102,0.01048,east,0.6405,moving,1200,0,0,
4100,1.5999,0.5107,0.01046,east,0.6322,moving,1200,0,0,
4200,1.6499,0.5112,0.01046,east,0.6240,moving,1200,0,0,
4300,1.6999,0.5118,0.01087,east,0.6159,moving,1200,0,0,
4400,1.7499,0.5123,0.01117,east,0.6079,moving,1200,0,0,
4500,1.7999,0.5129,0.01093,east,0.6000,moving,1200,0,0,
4600,1.8499,0.5134,0.01105,east,0.5922,moving,1200,0,0,
4700,1.8999,0.5140,0.01092,east,0.5846,moving,1200,0,0,
4800,1.9499,0.5145,0.01120,east,0.5770,moving,1200,0,0,
4900,1.9999,0.5150,0.01035,east,0.5695,moving,1200,0,0,
5000,2.0499,0.5155,0.00963,east,0.5621,moving,1200,0,0,
5100,2.0999,0.5160,0.00956,east,0.5549,moving,1200,0,0,
5200,2.1499,0.5165,0.00987,east,0.5477,moving,1200,0,0,
5300,2.1999,0.5170,0.00989,east,0.5406,moving,1200,0,0,
5400,2.2499,0.5174,0.00884,east,0.5336,moving,1200,0,0,
5500,2.2999,0.5179,0.00903,east,0.5266,moving,1200,0,0,
5600,2.3499,0.5184,0.00973,east,0.5198,moving,1200,0,0,
5700,2.3999,0.5188,0.00932,east,0.5131,moving,1200,0,0,
5800,2.4499,0.5193,0.00970,east,0.5064,moving,1200,0,0,
5900,2.4999,0.5198,0.00938,east,0.4999,moving,1200,0,0,
6000,2.5499,0.5203,0.00951,east,0.4934,moving,1200,0,0,
6100,2.5999,0.5207,0.00916,east,0.4870,moving,1200,0,0,
6200,2.6499,0.5212,0.00922,east,0.4807,moving,1200,0,0,
6300,2.6999,0.5216,0.00912,east,0.4745,moving,1200,0,0,
6400,2.7499,0.5221,0.00940,east,0.4683,moving,1200,0,0,
6500,2.7999,0.5226,0.00883,east,0.4622,moving,1200,0,0,
6600,2.8724,0.5196,0.00909,east,0.4733,moving,1150,1,1,0.1500
6700,2.9444,0.5143,0.00909,east,0.5012,moving,1112,1,1,0.1120
6800,2.9974,0.5068,0.00899,east,0.5560,moving,1051,1,1,0.0510
6900,3.0119,0.5018,0.00870,east,0.6332,moving,1000,1,1,0.0000
7000,3.0294,0.5011,0.00870,east,0.6860,moving,946,1,1,0.0540
7100,3.0562,0.5011,0.00897,east,0.7137,moving,890,1,1,0.1100
7200,3.1446,0.5011,0.00916,east,0.7386,moving,866,1,1,0.1160
7300,3.2299,0.5006,0.00951,east,0.8029,moving,777,1,1,0.0270
