time_ms,ax,ay,az,gx,gy,gz,distance_mm,distance_valid
0,-0.00768,0.01534,9.80322,-0.00126,-0.00372,0.00515,1200,0
100,0.03336,0.01272,9.84111,0.00100,0.00158,0.00674,1200,0
200,-0.04998,0.02566,9.82519,0.00200,-0.00677,-0.00098,1200,0
300,-0.02669,-0.01405,9.81916,-0.00018,0.00208,0.00343,1200,0
400,0.00926,0.01182,9.79017,0.00687,0.00223,0.01079,1200,0
500,-0.01861,-0.02219,9.79968,-0.00043,0.00253,0.00699,1200,0
600,-0.01342,-0.02871,9.79438,0.00488,-0.00323,0.00698,1200,0
700,0.01280,-0.04469,9.81145,0.00522,-0.00806,0.00471,1200,0
800,-0.00318,-0.02452,9.82492,-0.00025,-0.00586,0.00931,1200,0
900,0.02008,0.02838,9.85322,0.00145,0.00048,0.00080,1200,0
1000,0.01846,-0.01835,9.79642,-0.00506,-0.00387,0.00388,1200,0
1100,0.03867,-0.06095,9.76627,0.00096,0.00577,0.00831,1200,0
1200,-0.05700,-0.07555,9.82072,-0.00295,-0.00448,0.00991,1200,0
1300,0.03305,0.00472,9.81737,0.00174,0.00638,0.00848,1200,0
1400,0.01556,0.01643,9.76295,0.00513,0.00382,0.00812,1200,0
1500,-0.05922,-0.01901,9.83527,-0.00724,-0.00074,0.01008,1200,0
1600,-0.03934,0.04830,9.82656,-0.00060,0.00130,0.00860,1200,0
1700,0.00361,0.03437,9.79015,-0.00166,0.00417,0.00611,1200,0
1800,-0.02641,0.02839,9.85396,-0.00178,-0.00552,0.00546,1200,0
1900,-0.00447,-0.00894,9.85214,-0.00411,0.00504,0.00093,1200,0
2000,-0.14904,0.02526,10.18972,0.00344,0.00138,0.00657,1200,0
2100,-0.19036,0.02301,10.34145,0.00111,0.00229,0.00600,1200,0
2200,-0.01918,0.02264,10.04731,0.00130,-0.00171,0.00451,1200,0
2300,0.15358,0.03695,10.21695,0.00154,0.00735,-0.00426,1200,0
2400,0.13601,0.00976,10.32757,0.00095,-0.00172,0.00862,1200,0
2500,0.01129,-0.02088,9.93150,0.00142,-0.00222,0.00560,1200,0
2600,-0.18999,-0.00251,10.17125,-0.00195,0.00403,0.00133,1200,0
2700,-0.15677,0.03814,10.27659,0.00596,-0.00681,0.00459,1200,0
2800,0.03610,0.02493,10.00137,-0.01073,0.00435,0.00021,1200,0
2900,0.22378,-0.05969,10.35905,0.00478,-0.00060,0.00676,1200,0
3000,0.14944,0.00566,10.12886,0.00613,0.00419,0.00482,1200,0
