start_time_ms,end_time_ms,center_x_m,center_y_m,step_count,cadence_spm,dynamic_accel_rms_mps2,lateral_sway_rms_mps2,turn_rate_rms_rad_s,mean_speed_mps,stop_ratio,mean_confidence,risk_score,risk_level
0,5000,0.9650,0.5046,5,60.00,0.2995,0.1168,0.0070,0.3000,0.4000,0.7831,0.1678,low
2500,7500,2.0268,0.5115,9,108.00,0.3827,0.1484,0.0071,0.4921,0.0000,0.6175,0.1268,low
5000,10000,2.9856,0.5504,5,60.00,0.2761,0.1102,0.4883,0.3570,0.0000,0.7661,0.1865,low
7500,12500,3.3689,1.0763,5,60.00,0.2868,0.1160,0.5010,0.3549,0.0000,0.8604,0.1906,low
10000,15000,3.4137,2.1908,9,108.00,0.3962,0.1503,0.1122,0.4900,0.0000,0.6495,0.1310,low
12500,17500,3.3431,3.1465,7,84.00,0.3343,0.1264,0.3363,0.4304,0.0000,0.6870,0.1208,low
15000,20000,3.0519,3.5806,4,48.00,0.2861,0.1148,0.5018,0.4304,0.0000,0.8386,0.2352,low
17500,22500,2.2020,3.6869,7,84.00,0.3435,0.1418,0.3725,0.4900,0.0000,0.7298,0.1376,low
20000,25000,1.2883,3.7057,6,72.00,0.2990,0.1316,1.2435,0.5028,0.0000,0.7186,0.2491,low
22500,27500,1.2278,3.4365,4,48.00,0.2707,0.1188,1.4857,0.5028,0.0000,0.7996,0.3141,low
25000,30000,1.4730,2.5279,8,96.00,0.3637,0.1510,0.8131,0.4900,0.0000,0.6661,0.2366,low
