ix,iy,x_center_m,y_center_m,visit_count,dwell_s,gait_window_count,mean_gait_risk,max_gait_risk,mean_confidence,environment_risk,heatmap_score,danger_level
0,0,0.250,0.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
1,0,0.750,0.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
2,0,1.250,0.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
3,0,1.750,0.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
4,0,2.250,0.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
5,0,2.750,0.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
6,0,3.250,0.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
7,0,3.750,0.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
0,1,0.250,0.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
1,1,0.750,0.750,30,3.000,1,0.1678,0.1678,0.8742,0.0000,0.3631,medium
2,1,1.250,0.750,10,1.000,0,0.0000,0.0000,0.6886,0.0000,0.1093,low
3,1,1.750,0.750,19,1.800,0,0.0000,0.0000,0.6438,0.0000,0.1898,low
4,1,2.250,0.750,10,1.000,1,0.1268,0.1268,0.5305,0.0000,0.1743,low
5,1,2.750,0.750,9,0.900,1,0.1865,0.1865,0.4885,0.0000,0.1939,low
6,1,3.250,0.750,32,3.200,0,0.0000,0.0000,0.9213,0.0000,0.3039,low
7,1,3.750,0.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
0,2,0.250,1.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
1,2,0.750,1.250,0,0.000,0,0.0000,0.0000,1.0000,0.3333,0.0167,low
2,2,1.250,1.250,6,0.600,0,0.0000,0.0000,0.4787,0.1667,0.1157,low
3,2,1.750,1.250,3,0.300,0,0.0000,0.0000,0.4980,0.0000,0.0532,low
4,2,2.250,1.250,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
5,2,2.750,1.250,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
6,2,3.250,1.250,10,1.000,1,0.1906,0.1906,0.8182,0.0000,0.1886,low
7,2,3.750,1.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
0,3,0.250,1.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
2,3,1.250,1.750,10,1.000,0,0.0000,0.0000,0.5315,0.5000,0.2172,low
3,3,1.750,1.750,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
4,3,2.250,1.750,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
5,3,2.750,1.750,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
6,3,3.250,1.750,10,1.000,0,0.0000,0.0000,0.7182,0.0000,0.1078,low
7,3,3.750,1.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
0,4,0.250,2.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
1,4,0.750,2.250,0,0.000,0,0.0000,0.0000,1.0000,0.5000,0.0250,low
2,4,1.250,2.250,10,1.000,0,0.0000,0.0000,0.6056,0.2929,0.1720,low
3,4,1.750,2.250,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
4,4,2.250,2.250,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
5,4,2.750,2.250,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
6,4,3.250,2.250,10,1.000,1,0.1310,0.1310,0.6303,0.0000,0.1712,low
7,4,3.750,2.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
0,5,0.250,2.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
1,5,0.750,2.750,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
