account_id,bank,account_number,associated_branch_code,months,transaction_pages,fact_transactions,min_pages_per_month,median_pages_per_month,max_pages_per_month,median_fact_rows_per_page,min_fact_rows_per_page,max_fact_rows_per_page
KBANK-OPER,KBank,001-1-00001-1,,24,818,37007,22,35.0,38,45.18571428571428,44.464285714285715,45.91428571428571
OPER-BKK-SIAM,SCB,104-2-10004-5,BKK-SIAM,24,189,2838,7,8.0,8,15.1875,14.125,15.571428571428571
OPER-BKK-EMSP,SCB,101-2-10001-2,BKK-EMSP,24,188,2714,7,8.0,8,14.401785714285715,13.714285714285714,15.142857142857142
OPER-PTY-CTRL,BBL,108-3-10008-9,PTY-CTRL,24,184,2671,6,8.0,8,14.375,13.571428571428571,15.714285714285714
OPER-BKK-PKT,BBL,102-3-10002-3,BKK-PKT,24,183,2666,3,8.0,8,14.5625,13.875,15.714285714285714
OPER-CNX-MAYA,BBL,105-3-10005-6,CNX-MAYA,24,183,2668,6,8.0,8,14.625,13.714285714285714,15.714285714285714
OPER-KKC-CTRL,SCB,107-2-10007-8,KKC-CTRL,24,164,2416,6,7.0,8,14.714285714285714,13.666666666666666,15.714285714285714
OPER-UDN-CTRL,SCB,110-2-10010-2,UDN-CTRL,24,158,2271,6,7.0,7,14.25,13.5,15.666666666666666
OPER-BKK-CTW,KBank,100-1-10000-1,BKK-CTW,24,72,2774,3,3.0,3,39.333333333333336,31.666666666666668,40.333333333333336
OPER-BKK-R9,KBank,103-1-10003-4,BKK-R9,24,71,2625,2,3.0,3,37.16666666666667,30.666666666666668,43.5
OPER-HKT-FEST,KBank,106-1-10006-7,HKT-FEST,24,71,2565,2,3.0,3,36.5,30.666666666666668,44.0
OPER-REMOTE,KBank,109-1-10009-1,REMOTE,24,49,2071,2,2.0,3,43.75,30.333333333333332,44.5
BBL-OPER,BBL,003-1-00001-3,,24,24,24,1,1.0,1,1.0,1.0,1.0
SCB-OPER,SCB,002-1-00001-2,,24,24,24,1,1.0,1,1.0,1.0,1.0
