account_id,statements,total_pages,header_pages,transaction_pages,min_month,max_month
KBANK-OPER,24,842,24,818,2024-01,2025-12
OPER-BKK-SIAM,24,213,24,189,2024-01,2025-12
OPER-BKK-EMSP,24,212,24,188,2024-01,2025-12
OPER-PTY-CTRL,24,208,24,184,2024-01,2025-12
OPER-BKK-PKT,24,207,24,183,2024-01,2025-12
OPER-CNX-MAYA,24,207,24,183,2024-01,2025-12
OPER-KKC-CTRL,24,188,24,164,2024-01,2025-12
OPER-UDN-CTRL,24,182,24,158,2024-01,2025-12
OPER-BKK-CTW,24,96,24,72,2024-01,2025-12
OPER-BKK-R9,24,95,24,71,2024-01,2025-12
OPER-HKT-FEST,24,95,24,71,2024-01,2025-12
OPER-REMOTE,24,73,24,49,2024-01,2025-12
BBL-OPER,24,48,24,24,2024-01,2025-12
SCB-OPER,24,48,24,24,2024-01,2025-12
