statement_id,account_id,render_month,transaction_pages,transaction_width,transaction_height,transaction_megapixels,fact_transactions,net_amount_thb,deposit_rows,withdrawal_rows,transfer_rows,fee_rows,min_balance_after_thb,max_balance_after_thb,bank,account_number,account_role,associated_branch_code,currency,opening_balance_thb,statement_cadence,fact_rows_per_transaction_page
BS-BBL-OPER-2567-01,BBL-OPER,2024-01,1,1240,1234,1.53016,1,500000.0,0,0,1,0,3500000.0,3500000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2567-02,BBL-OPER,2024-02,1,1240,1234,1.53016,1,500000.0,0,0,1,0,4000000.0,4000000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2567-03,BBL-OPER,2024-03,1,1240,1234,1.53016,1,500000.0,0,0,1,0,4500000.0,4500000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2567-04,BBL-OPER,2024-04,1,1240,1234,1.53016,1,500000.0,0,0,1,0,5000000.0,5000000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2567-05,BBL-OPER,2024-05,1,1240,1234,1.53016,1,500000.0,0,0,1,0,5500000.0,5500000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2567-06,BBL-OPER,2024-06,1,1240,1234,1.53016,1,500000.0,0,0,1,0,6000000.0,6000000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2567-07,BBL-OPER,2024-07,1,1240,1234,1.53016,1,500000.0,0,0,1,0,6500000.0,6500000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2567-08,BBL-OPER,2024-08,1,1240,1234,1.53016,1,500000.0,0,0,1,0,7000000.0,7000000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2567-09,BBL-OPER,2024-09,1,1240,1234,1.53016,1,500000.0,0,0,1,0,7500000.0,7500000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2567-10,BBL-OPER,2024-10,1,1240,1234,1.53016,1,500000.0,0,0,1,0,8000000.0,8000000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2567-11,BBL-OPER,2024-11,1,1240,1234,1.53016,1,500000.0,0,0,1,0,8500000.0,8500000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2567-12,BBL-OPER,2024-12,1,1240,1234,1.53016,1,500000.0,0,0,1,0,9000000.0,9000000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2568-01,BBL-OPER,2025-01,1,1240,1234,1.53016,1,500000.0,0,0,1,0,9500000.0,9500000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2568-02,BBL-OPER,2025-02,1,1240,1234,1.53016,1,500000.0,0,0,1,0,10000000.0,10000000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2568-03,BBL-OPER,2025-03,1,1240,1234,1.53016,1,500000.0,0,0,1,0,10500000.0,10500000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2568-04,BBL-OPER,2025-04,1,1240,1234,1.53016,1,500000.0,0,0,1,0,11000000.0,11000000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2568-05,BBL-OPER,2025-05,1,1240,1234,1.53016,1,500000.0,0,0,1,0,11500000.0,11500000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2568-06,BBL-OPER,2025-06,1,1240,1234,1.53016,1,500000.0,0,0,1,0,12000000.0,12000000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2568-07,BBL-OPER,2025-07,1,1240,1234,1.53016,1,500000.0,0,0,1,0,12500000.0,12500000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2568-08,BBL-OPER,2025-08,1,1240,1234,1.53016,1,500000.0,0,0,1,0,13000000.0,13000000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2568-09,BBL-OPER,2025-09,1,1240,1234,1.53016,1,500000.0,0,0,1,0,13500000.0,13500000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2568-10,BBL-OPER,2025-10,1,1240,1234,1.53016,1,500000.0,0,0,1,0,14000000.0,14000000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
