table,column,unique_values,null_rows,top_values
DIM_BANK_ACCOUNT,account_id,14,0,KBANK-OPER: 1 | SCB-OPER: 1 | BBL-OPER: 1 | OPER-BKK-CTW: 1 | OPER-BKK-EMSP: 1 | OPER-BKK-PKT: 1 | OPER-BKK-R9: 1 | OPER-BKK-SIAM: 1 | OPER-CNX-MAYA: 1 | OPER-HKT-FEST: 1 | OPER-KKC-CTRL: 1 | OPER-PTY-CTRL: 1 | OPER-REMOTE: 1 | OPER-UDN-CTRL: 1
DIM_BANK_ACCOUNT,account_number,14,0,001-1-00001-1: 1 | 002-1-00001-2: 1 | 003-1-00001-3: 1 | 100-1-10000-1: 1 | 101-2-10001-2: 1 | 102-3-10002-3: 1 | 103-1-10003-4: 1 | 104-2-10004-5: 1 | 105-3-10005-6: 1 | 106-1-10006-7: 1 | 107-2-10007-8: 1 | 108-3-10008-9: 1 | 109-1-10009-1: 1 | 110-2-10010-2: 1
DIM_BANK_ACCOUNT,account_role,1,0,operating: 14
DIM_BANK_ACCOUNT,associated_branch_code,11,3,<NULL>: 3 | BKK-CTW: 1 | BKK-EMSP: 1 | BKK-PKT: 1 | BKK-R9: 1 | BKK-SIAM: 1 | CNX-MAYA: 1 | HKT-FEST: 1 | KKC-CTRL: 1 | PTY-CTRL: 1 | REMOTE: 1 | UDN-CTRL: 1
DIM_BANK_ACCOUNT,bank,3,0,KBank: 5 | SCB: 5 | BBL: 4
DIM_BANK_ACCOUNT,currency,1,0,THB: 14
DIM_BANK_ACCOUNT,opening_balance_thb,4,0,1000000.0: 11 | 10000000.0: 1 | 5000000.0: 1 | 3000000.0: 1
DIM_BANK_ACCOUNT,statement_cadence,1,0,monthly: 14
DIM_BRANCH,branch_code,11,0,BKK-R9: 1 | BKK-SIAM: 1 | BKK-PKT: 1 | BKK-CTW: 1 | CNX-MAYA: 1 | HKT-FEST: 1 | KKC-CTRL: 1 | UDN-CTRL: 1 | BKK-EMSP: 1 | PTY-CTRL: 1 | REMOTE: 1
DIM_BRANCH,branch_type,3,0,branch: 9 | hq: 1 | remote: 1
