folder,depth,parent_folder,direct_files,recursive_files,recursive_size_mb
docs,1,<root>,0,53428,123.66914463043213
logs,1,<root>,7935,7935,30.238813400268555
renders,1,<root>,0,6128,4112.009162902832
reports,1,<root>,0,32,0.043715476989746094
tables,1,<root>,31,31,123.1606092453003
docs/chat_line_oa,2,docs,37441,37441,95.86678218841553
docs/chat_line_works,2,docs,15802,15802,26.619388580322266
docs/email,2,docs,25,25,0.09653663635253906
docs/l1_kb,2,docs,0,118,0.8141899108886719
docs/memo,2,docs,16,16,0.08186054229736328
docs/minutes,2,docs,26,26,0.19038677215576172
renders/bank_statement,2,renders,0,2714,1216.7417469024658
renders/e7_banner,2,renders,0,4,1.650106430053711
renders/receipt,2,renders,0,563,267.10449504852295
renders/t2_doc,2,renders,0,81,1.4712028503417969
renders/t3_doc,2,renders,0,11,19.155057907104492
renders/vendor_invoice,2,renders,0,792,708.7763452529907
renders/warranty_form,2,renders,0,1963,1897.1102085113525
reports/2024-01,2,reports,1,1,0.0013885498046875
reports/2024-02,2,reports,1,1,0.0015392303466796875
reports/2024-03,2,reports,1,1,0.0015401840209960938
reports/2024-04,2,reports,1,1,0.0015382766723632812
reports/2024-05,2,reports,1,1,0.0015411376953125
reports/2024-06,2,reports,1,1,0.0015411376953125
reports/2024-07,2,reports,1,1,0.0015401840209960938
reports/2024-08,2,reports,1,1,0.0015401840209960938
reports/2024-09,2,reports,1,1,0.0015401840209960938
reports/2024-10,2,reports,1,1,0.0015392303466796875
reports/2024-11,2,reports,1,1,0.0015392303466796875
reports/2024-12,2,reports,1,1,0.0015401840209960938
reports/2024-Q1,2,reports,1,1,0.0008172988891601562
reports/2024-Q2,2,reports,1,1,0.0008153915405273438
reports/2024-Q3,2,reports,1,1,0.0008153915405273438
reports/2024-Q4,2,reports,1,1,0.00081634521484375
reports/2025-01,2,reports,1,1,0.0015420913696289062
reports/2025-02,2,reports,1,1,0.0015411376953125
reports/2025-03,2,reports,1,1,0.0015420913696289062
reports/2025-04,2,reports,1,1,0.0016489028930664062
reports/2025-05,2,reports,1,1,0.0016498565673828125
reports/2025-06,2,reports,1,1,0.0015411376953125
reports/2025-07,2,reports,1,1,0.0015535354614257812
reports/2025-08,2,reports,1,1,0.0015420913696289062
reports/2025-09,2,reports,1,1,0.0015974044799804688
reports/2025-10,2,reports,1,1,0.0015974044799804688
reports/2025-11,2,reports,1,1,0.0015411376953125
reports/2025-12,2,reports,1,1,0.0015401840209960938
reports/2025-Q1,2,reports,1,1,0.00081634521484375
reports/2025-Q2,2,reports,1,1,0.00081634521484375
reports/2025-Q3,2,reports,1,1,0.00081634521484375
reports/2025-Q4,2,reports,1,1,0.0008373260498046875
docs/l1_kb/policies,3,docs/l1_kb,5,5,0.07297706604003906
docs/l1_kb/products,3,docs/l1_kb,110,110,0.6792488098144531
docs/l1_kb/store_info,3,docs/l1_kb,3,3,0.06196403503417969
renders/bank_statement/2024-01,3,renders/bank_statement,102,102,39.46629619598389
renders/bank_statement/2024-02,3,renders/bank_statement,104,104,43.171000480651855
renders/bank_statement/2024-03,3,renders/bank_statement,114,114,50.29689407348633
renders/bank_statement/2024-04,3,renders/bank_statement,104,104,46.7786226272583
renders/bank_statement/2024-05,3,renders/bank_statement,115,115,51.02765464782715
renders/bank_statement/2024-06,3,renders/bank_statement,112,112,50.4003324508667
renders/bank_statement/2024-07,3,renders/bank_statement,117,117,52.533318519592285
renders/bank_statement/2024-08,3,renders/bank_statement,116,116,52.90550994873047
renders/bank_statement/2024-09,3,renders/bank_statement,115,115,51.816545486450195
renders/bank_statement/2024-10,3,renders/bank_statement,118,118,52.46480941772461
renders/bank_statement/2024-11,3,renders/bank_statement,114,114,50.78593635559082
renders/bank_statement/2024-12,3,renders/bank_statement,117,117,52.24706172943115
renders/bank_statement/2025-01,3,renders/bank_statement,114,114,51.22261714935303
renders/bank_statement/2025-02,3,renders/bank_statement,107,107,48.001919746398926
renders/bank_statement/2025-03,3,renders/bank_statement,116,116,52.7382926940918
renders/bank_statement/2025-04,3,renders/bank_statement,102,102,48.45849323272705
renders/bank_statement/2025-05,3,renders/bank_statement,116,116,52.949965476989746
renders/bank_statement/2025-06,3,renders/bank_statement,114,114,50.70191669464111
renders/bank_statement/2025-07,3,renders/bank_statement,118,118,54.77797603607178
renders/bank_statement/2025-08,3,renders/bank_statement,114,114,52.04982852935791
renders/bank_statement/2025-09,3,renders/bank_statement,116,116,52.56518840789795
renders/bank_statement/2025-10,3,renders/bank_statement,119,119,55.018898010253906
renders/bank_statement/2025-11,3,renders/bank_statement,112,112,51.03882312774658
renders/bank_statement/2025-12,3,renders/bank_statement,118,118,53.323845863342285
renders/e7_banner/2024-11,3,renders/e7_banner,1,1,0.41408538818359375
renders/e7_banner/2024-12,3,renders/e7_banner,1,1,0.4104776382446289
renders/e7_banner/2025-11,3,renders/e7_banner,1,1,0.41466236114501953
renders/e7_banner/2025-12,3,renders/e7_banner,1,1,0.41088104248046875
renders/receipt/2024-01,3,renders/receipt,30,30,13.746798515319824
renders/receipt/2024-02,3,renders/receipt,26,26,12.24681568145752
renders/receipt/2024-03,3,renders/receipt,26,26,11.721789360046387
renders/receipt/2024-04,3,renders/receipt,15,15,6.943979263305664
renders/receipt/2024-05,3,renders/receipt,27,27,12.804116249084473
renders/receipt/2024-06,3,renders/receipt,16,16,7.765472412109375
renders/receipt/2024-07,3,renders/receipt,20,20,9.79397964477539
renders/receipt/2024-08,3,renders/receipt,27,27,12.83475112915039
renders/receipt/2024-09,3,renders/receipt,30,30,14.383138656616211
renders/receipt/2024-10,3,renders/receipt,19,19,9.322450637817383
renders/receipt/2024-11,3,renders/receipt,16,16,7.758339881896973
renders/receipt/2024-12,3,renders/receipt,29,29,13.870430946350098
renders/receipt/2025-01,3,renders/receipt,23,23,10.811078071594238
renders/receipt/2025-02,3,renders/receipt,18,18,8.0798978805542
renders/receipt/2025-03,3,renders/receipt,23,23,10.653580665588379
renders/receipt/2025-04,3,renders/receipt,17,17,9.285429954528809
renders/receipt/2025-05,3,renders/receipt,28,28,12.994412422180176
renders/receipt/2025-06,3,renders/receipt,22,22,11.098243713378906
renders/receipt/2025-07,3,renders/receipt,27,27,12.600144386291504
renders/receipt/2025-08,3,renders/receipt,21,21,10.302287101745605
renders/receipt/2025-09,3,renders/receipt,31,31,14.292887687683105
renders/receipt/2025-10,3,renders/receipt,26,26,12.284521102905273
renders/receipt/2025-11,3,renders/receipt,27,27,12.509510040283203
renders/receipt/2025-12,3,renders/receipt,19,19,9.000439643859863
renders/t2_doc/2024-01,3,renders/t2_doc,13,13,0.2312755584716797
renders/t2_doc/2024-02,3,renders/t2_doc,2,2,0.037072181701660156
renders/t2_doc/2024-04,3,renders/t2_doc,2,2,0.03590106964111328
renders/t2_doc/2024-05,3,renders/t2_doc,1,1,0.021650314331054688
renders/t2_doc/2024-06,3,renders/t2_doc,1,1,0.01473236083984375
renders/t2_doc/2024-07,3,renders/t2_doc,2,2,0.0404815673828125
renders/t2_doc/2024-08,3,renders/t2_doc,1,1,0.01523590087890625
renders/t2_doc/2024-09,3,renders/t2_doc,4,4,0.07532501220703125
renders/t2_doc/2024-10,3,renders/t2_doc,2,2,0.03628730773925781
renders/t2_doc/2024-11,3,renders/t2_doc,2,2,0.03715229034423828
renders/t2_doc/2024-12,3,renders/t2_doc,2,2,0.03516674041748047
renders/t2_doc/2025-01,3,renders/t2_doc,2,2,0.036978721618652344
renders/t2_doc/2025-02,3,renders/t2_doc,3,3,0.05217933654785156
renders/t2_doc/2025-03,3,renders/t2_doc,6,6,0.10654258728027344
renders/t2_doc/2025-04,3,renders/t2_doc,9,9,0.16177749633789062
renders/t2_doc/2025-05,3,renders/t2_doc,4,4,0.07578182220458984
renders/t2_doc/2025-06,3,renders/t2_doc,3,3,0.05335044860839844
renders/t2_doc/2025-07,3,renders/t2_doc,3,3,0.05655670166015625
renders/t2_doc/2025-08,3,renders/t2_doc,2,2,0.034354209899902344
renders/t2_doc/2025-09,3,renders/t2_doc,5,5,0.09318161010742188
renders/t2_doc/2025-10,3,renders/t2_doc,5,5,0.09463787078857422
renders/t2_doc/2025-11,3,renders/t2_doc,2,2,0.034468650817871094
renders/t2_doc/2025-12,3,renders/t2_doc,5,5,0.09111309051513672
renders/t3_doc/2024-01,3,renders/t3_doc,10,10,17.821496963500977
renders/t3_doc/2025-03,3,renders/t3_doc,1,1,1.3335609436035156
