render_type,width,height,mode,files
bank_statement,1240,1234,RGB,1297
bank_statement,2968,2850,RGB,1081
bank_statement,1240,520,RGB,216
bank_statement,2966,839,RGB,120
e7_banner,2304,1536,RGB,4
receipt,606,1362,RGB,413
receipt,606,1416,RGB,28
receipt,606,1582,RGB,24
receipt,606,1470,RGB,16
receipt,606,1638,RGB,13
receipt,606,1526,RGB,10
receipt,606,1692,RGB,9
receipt,606,1860,RGB,8
receipt,606,1414,RGB,7
receipt,606,1468,RGB,7
receipt,606,2082,RGB,7
receipt,606,1748,RGB,4
receipt,606,1914,RGB,4
receipt,606,1970,RGB,4
receipt,606,2026,RGB,4
receipt,606,1580,RGB,2
receipt,606,1804,RGB,2
receipt,606,1636,RGB,1
t3_doc,1588,3062,RGB,10
t3_doc,1588,2450,RGB,1
vendor_invoice,1588,2246,RGB,792
warranty_form,1588,2524,RGB,1963
