table,month,rows
FACT_SALES,2024-01,4650
FACT_SALES,2024-02,4388
FACT_SALES,2024-03,4666
FACT_SALES,2024-04,4041
FACT_SALES,2024-05,4870
FACT_SALES,2024-06,4601
FACT_SALES,2024-07,4897
FACT_SALES,2024-08,5046
FACT_SALES,2024-09,4820
FACT_SALES,2024-10,4961
FACT_SALES,2024-11,4845
FACT_SALES,2024-12,5067
FACT_SALES,2025-01,4677
FACT_SALES,2025-02,4172
FACT_SALES,2025-03,4794
FACT_SALES,2025-04,3917
FACT_SALES,2025-05,4891
FACT_SALES,2025-06,4691
FACT_SALES,2025-07,8610
FACT_SALES,2025-08,4877
FACT_SALES,2025-09,4809
FACT_SALES,2025-10,5027
FACT_SALES,2025-11,4784
FACT_SALES,2025-12,5004
FACT_SALES_LINE_ITEM,2024-01,12281
FACT_SALES_LINE_ITEM,2024-02,11897
FACT_SALES_LINE_ITEM,2024-03,12482
FACT_SALES_LINE_ITEM,2024-04,10759
FACT_SALES_LINE_ITEM,2024-05,13355
FACT_SALES_LINE_ITEM,2024-06,12566
FACT_SALES_LINE_ITEM,2024-07,13025
FACT_SALES_LINE_ITEM,2024-08,13595
FACT_SALES_LINE_ITEM,2024-09,12855
FACT_SALES_LINE_ITEM,2024-10,13093
FACT_SALES_LINE_ITEM,2024-11,12948
FACT_SALES_LINE_ITEM,2024-12,13707
FACT_SALES_LINE_ITEM,2025-01,12794
FACT_SALES_LINE_ITEM,2025-02,11607
FACT_SALES_LINE_ITEM,2025-03,13421
FACT_SALES_LINE_ITEM,2025-04,10837
FACT_SALES_LINE_ITEM,2025-05,12906
FACT_SALES_LINE_ITEM,2025-06,12594
FACT_SALES_LINE_ITEM,2025-07,16661
FACT_SALES_LINE_ITEM,2025-08,13269
FACT_SALES_LINE_ITEM,2025-09,12732
FACT_SALES_LINE_ITEM,2025-10,13315
FACT_SALES_LINE_ITEM,2025-11,12651
FACT_SALES_LINE_ITEM,2025-12,13779
FACT_RETURN,2024-01,319
FACT_RETURN,2024-02,290
FACT_RETURN,2024-03,296
FACT_RETURN,2024-04,249
FACT_RETURN,2024-05,320
FACT_RETURN,2024-06,299
FACT_RETURN,2024-07,305
FACT_RETURN,2024-08,316
FACT_RETURN,2024-09,297
FACT_RETURN,2024-10,299
FACT_RETURN,2024-11,314
FACT_RETURN,2024-12,316
FACT_RETURN,2025-01,283
FACT_RETURN,2025-02,213
FACT_RETURN,2025-03,271
FACT_RETURN,2025-04,259
FACT_RETURN,2025-05,333
FACT_RETURN,2025-06,285
FACT_RETURN,2025-07,339
FACT_RETURN,2025-08,304
FACT_RETURN,2025-09,318
FACT_RETURN,2025-10,342
FACT_RETURN,2025-11,273
FACT_RETURN,2025-12,304
FACT_REFUND_PAID,2024-01,319
FACT_REFUND_PAID,2024-02,290
FACT_REFUND_PAID,2024-03,296
FACT_REFUND_PAID,2024-04,250
FACT_REFUND_PAID,2024-05,320
FACT_REFUND_PAID,2024-06,300
FACT_REFUND_PAID,2024-07,306
FACT_REFUND_PAID,2024-08,316
FACT_REFUND_PAID,2024-09,298
FACT_REFUND_PAID,2024-10,299
FACT_REFUND_PAID,2024-11,316
FACT_REFUND_PAID,2024-12,316
FACT_REFUND_PAID,2025-01,284
FACT_REFUND_PAID,2025-02,214
FACT_REFUND_PAID,2025-03,272
FACT_REFUND_PAID,2025-04,247
FACT_REFUND_PAID,2025-05,319
FACT_REFUND_PAID,2025-06,287
FACT_REFUND_PAID,2025-07,340
FACT_REFUND_PAID,2025-08,305
FACT_REFUND_PAID,2025-09,318
FACT_REFUND_PAID,2025-10,343
FACT_REFUND_PAID,2025-11,274
FACT_REFUND_PAID,2025-12,305
FACT_WARRANTY_CLAIM,2024-01,157
FACT_WARRANTY_CLAIM,2024-02,159
FACT_WARRANTY_CLAIM,2024-03,147
FACT_WARRANTY_CLAIM,2024-04,135
FACT_WARRANTY_CLAIM,2024-05,154
FACT_WARRANTY_CLAIM,2024-06,160
FACT_WARRANTY_CLAIM,2024-07,174
FACT_WARRANTY_CLAIM,2024-08,198
FACT_WARRANTY_CLAIM,2024-09,150
FACT_WARRANTY_CLAIM,2024-10,179
FACT_WARRANTY_CLAIM,2024-11,165
FACT_WARRANTY_CLAIM,2024-12,151
FACT_WARRANTY_CLAIM,2025-01,154
FACT_WARRANTY_CLAIM,2025-02,153
FACT_WARRANTY_CLAIM,2025-03,182
FACT_WARRANTY_CLAIM,2025-04,152
FACT_WARRANTY_CLAIM,2025-05,163
FACT_WARRANTY_CLAIM,2025-06,170
FACT_WARRANTY_CLAIM,2025-07,183
FACT_WARRANTY_CLAIM,2025-08,168
