table,column,non_null_rows,mean,std,min,p25,median,p75,max,sum
DIM_BANK_ACCOUNT,opening_balance_thb,14,2071428.5714285714,2555966.9467673157,1000000.0,1000000.0,1000000.0,1000000.0,10000000.0,29000000.0
DIM_BRANCH,employee_headcount_share_pct,11,0.08363636363636365,0.05390226846297422,0.04,0.055,0.06,0.07500000000000001,0.2,0.9200000000000002
DIM_BRANCH,retail_floor_coefficient,11,0.8727272727272729,0.40022720819781626,0.0,0.95,1.0,1.0,1.3,9.600000000000001
DIM_BRANCH,traffic_share_pct,11,0.0909090909090909,0.03015113445777636,0.05,0.07500000000000001,0.09,0.1,0.16,0.9999999999999999
DIM_CUSTOMER,age,29700,49.74747474747475,14.291117413414748,25.0,37.0,50.0,62.0,74.0,1477500.0
DIM_CUSTOMER,phone,30000,792215000.5,77610309.11850166,20000100.0,800007272.75,800014848.5,800022424.25,800029999.0,23766450015000.0
DIM_DATE,day_of_week,731,3.991792065663475,2.002036891670129,1.0,2.0,4.0,6.0,7.0,2918.0
DIM_DATE,fiscal_quarter,731,2.5075239398084817,1.1181617854924615,1.0,2.0,3.0,4.0,4.0,1833.0
DIM_DATE,fiscal_year,731,2567.499316005472,0.5003418803818265,2567.0,2567.0,2567.0,2568.0,2568.0,1876842.0
DIM_DATE,holiday_name,0,,,,,,,,0.0
DIM_EMPLOYEE,phone,0,,,,,,,,0.0
DIM_EMPLOYEE,section,0,,,,,,,,0.0
DIM_EMPLOYEE,termination_date,0,,,,,,,,0.0
DIM_EMPLOYEE,termination_reason,0,,,,,,,,0.0
DIM_EMPLOYEE,unit,0,,,,,,,,0.0
DIM_POLICY_VERSION,policy_doc_filename,0,,,,,,,,0.0
DIM_POLICY_VERSION,policy_version_id,12,6.5,3.605551275463989,1.0,3.75,6.5,9.25,12.0,78.0
DIM_POLICY_VERSION,value_numeric,8,966.7528125,1765.2741590570881,0.01,10.503125,110.0,875.0,5000.0,7734.0225
DIM_POSITION_LEVEL,default_signing_authority_thb,6,1104166.6666666667,1946562.1404585743,0.0,43750.0,300000.0,875000.0,5000000.0,6625000.0
DIM_POSITION_LEVEL,rank,6,3.5,1.8708286933869707,1.0,2.25,3.5,4.75,6.0,21.0
DIM_PRODUCT,end_of_life_date,0,,,,,,,,0.0
DIM_PRODUCT,msrp_thb,110,21080.0,16905.10915659317,4900.0,8500.0,17900.0,29900.0,84900.0,2318800.0
DIM_PRODUCT,warranty_months,110,24.0,1.6254851075486314,12.0,24.0,24.0,24.0,36.0,2640.0
DIM_VENDOR_CONTRACT_VERSION,contract_version_id,22,11.5,6.493586579592718,1.0,6.25,11.5,16.75,22.0,253.0
DIM_VENDOR_CONTRACT_VERSION,version_number,22,2.3636363636363638,1.093071450000042,1.0,1.25,2.0,3.0,4.0,52.0
FACT_BANK_TRANSACTION,amount_thb,65334,85617.11430495608,190171.38656509205,-500000.0,-29900.0,56700.0,161800.0,18906765.0,5593708546.0
FACT_BANK_TRANSACTION,balance_after_thb,65334,557158430.9661126,533655205.12730324,-20658100.0,132484559.75,308800650.0,960782175.0,1779270400.0,36401388928740.0
FACT_BANK_TRANSACTION,effective_date,0,,,,,,,,0.0
FACT_CS_INTERACTION,effective_date,0,,,,,,,,0.0
FACT_INVENTORY_MONTHLY_SNAPSHOT,closing_units,26220,163.86495041952708,169.16486273271948,0.0,61.0,125.0,206.0,1217.0,4296539.0
FACT_INVENTORY_MONTHLY_SNAPSHOT,effective_date,0,,,,,,,,0.0
FACT_INVENTORY_MONTHLY_SNAPSHOT,snapshot_id,26220,549287804563.1461,317422654146.6151,11169640.0,273685809189.75,547044071282.5,826207283652.5,1099473229277.0,1.4402326235645692e+16
FACT_INVENTORY_MOVEMENT,effective_date,0,,,,,,,,0.0
