domain,child_table,child_column,parent_table,parent_column,child_rows,non_null_child_rows,matched_rows,unmatched_rows,coverage_pct,parent_key_unique,status
returns,FACT_REFUND_PAID,cosig_employee_id,DIM_EMPLOYEE,employee_id,7134,0,0,0,,True,empty_optional
returns,FACT_REFUND_PAID,cs_interaction_id,FACT_CS_INTERACTION,cs_interaction_id,7134,0,0,0,,True,empty_optional
customer_service,FACT_CS_INTERACTION,branch_code,DIM_BRANCH,branch_code,14368,14368,14368,0,100.0,True,full_match
customer_service,FACT_CS_INTERACTION,customer_id,DIM_CUSTOMER,customer_id,14368,14368,14368,0,100.0,True,full_match
customer_service,FACT_CS_INTERACTION,employee_id,DIM_EMPLOYEE,employee_id,14368,14368,14368,0,100.0,True,full_match
customer_service,FACT_CS_INTERACTION,related_refund_id,FACT_REFUND_PAID,refund_id,14368,7080,7080,0,100.0,True,full_match
customer_service,FACT_CS_INTERACTION,related_warranty_claim_id,FACT_WARRANTY_CLAIM,claim_id,14368,3913,3913,0,100.0,True,full_match
finance,FACT_BANK_TRANSACTION,account_id,DIM_BANK_ACCOUNT,account_id,65334,65334,65334,0,100.0,True,full_match
finance,FACT_PAYROLL,bank_txn_id,FACT_BANK_TRANSACTION,bank_txn_id,14400,14400,14400,0,100.0,True,full_match
finance,FACT_PAYROLL,employee_id,DIM_EMPLOYEE,employee_id,14400,14400,14400,0,100.0,True,full_match
finance,FACT_VENDOR_PAYMENT,bank_txn_id,FACT_BANK_TRANSACTION,bank_txn_id,809,809,809,0,100.0,True,full_match
finance,FACT_VENDOR_PAYMENT,cosig_employee_id,DIM_EMPLOYEE,employee_id,809,1,1,0,100.0,True,full_match
finance,FACT_VENDOR_PAYMENT,signing_employee_id,DIM_EMPLOYEE,employee_id,809,809,809,0,100.0,True,full_match
finance,FACT_VENDOR_PAYMENT,vendor_contract_version_id,DIM_VENDOR_CONTRACT_VERSION,contract_version_id,809,809,809,0,100.0,True,full_match
finance,FACT_VENDOR_PAYMENT,vendor_id,DIM_VENDOR,vendor_id,809,809,809,0,100.0,True,full_match
inventory,FACT_INVENTORY_MONTHLY_SNAPSHOT,branch_code,DIM_BRANCH,branch_code,26220,26220,26220,0,100.0,True,full_match
inventory,FACT_INVENTORY_MONTHLY_SNAPSHOT,sku_id,DIM_PRODUCT,sku_id,26220,26220,26220,0,100.0,True,full_match
inventory,FACT_INVENTORY_MOVEMENT,branch_code,DIM_BRANCH,branch_code,310827,310827,310827,0,100.0,True,full_match
inventory,FACT_INVENTORY_MOVEMENT,sku_id,DIM_PRODUCT,sku_id,310827,310827,310827,0,100.0,True,full_match
loyalty,FACT_LOYALTY_LEDGER,customer_id,DIM_CUSTOMER,customer_id,118857,118857,118857,0,100.0,True,full_match
loyalty,FACT_LOYALTY_LEDGER,txn_id,FACT_SALES,txn_id,118857,75357,75357,0,100.0,True,full_match
organization,DIM_EMPLOYEE,branch_code,DIM_BRANCH,branch_code,600,600,600,0,100.0,True,full_match
organization,DIM_EMPLOYEE,dept_code,DIM_DEPARTMENT,dept_code,600,600,600,0,100.0,True,full_match
organization,DIM_EMPLOYEE,position_level,DIM_POSITION_LEVEL,position_level_code,600,600,600,0,100.0,True,full_match
organization,DIM_EMPLOYEE,reports_to_employee_id,DIM_EMPLOYEE,employee_id,600,598,598,0,100.0,True,full_match
policy,dim_care_plus_sku_tier,policy_version_id,DIM_POLICY_VERSION,policy_version_id,2,2,2,0,100.0,True,full_match
policy,dim_care_plus_sku_tier,sku_id,DIM_PRODUCT,sku_id,2,2,2,0,100.0,True,full_match
policy,dim_signing_authority_ladder,co_signer_min_position_level_code,DIM_POSITION_LEVEL,position_level_code,7,2,2,0,100.0,True,full_match
policy,dim_signing_authority_ladder,dept_code,DIM_DEPARTMENT,dept_code,7,1,1,0,100.0,True,full_match
policy,dim_signing_authority_ladder,policy_version_id,DIM_POLICY_VERSION,policy_version_id,7,7,7,0,100.0,True,full_match
policy,dim_signing_authority_ladder,position_level_code,DIM_POSITION_LEVEL,position_level_code,7,7,7,0,100.0,True,full_match
product,DIM_PRODUCT,dept_code,DIM_DEPARTMENT,dept_code,110,1,1,0,100.0,True,full_match
product,DIM_PRODUCT,vendor_id,DIM_VENDOR,vendor_id,110,50,50,0,100.0,True,full_match
product,dim_product_recall_history,sku_id,DIM_PRODUCT,sku_id,3,3,3,0,100.0,True,full_match
promotion,FACT_PROMO_REDEMPTION,campaign_id,DIM_PROMO_CAMPAIGN,campaign_id,1583,1583,1583,0,100.0,True,full_match
promotion,FACT_PROMO_REDEMPTION,customer_id,DIM_CUSTOMER,customer_id,1583,1583,1583,0,100.0,True,full_match
promotion,FACT_PROMO_REDEMPTION,txn_id,FACT_SALES,txn_id,1583,1583,1583,0,100.0,True,full_match
promotion,dim_promo_mechanic,campaign_id,DIM_PROMO_CAMPAIGN,campaign_id,8,8,8,0,100.0,True,full_match
returns,FACT_REFUND_PAID,approver_employee_id,DIM_EMPLOYEE,employee_id,7134,7134,7134,0,100.0,True,full_match
returns,FACT_REFUND_PAID,bank_txn_id,FACT_BANK_TRANSACTION,bank_txn_id,7134,7134,7134,0,100.0,True,full_match
returns,FACT_REFUND_PAID,customer_id,DIM_CUSTOMER,customer_id,7134,7134,7134,0,100.0,True,full_match
returns,FACT_REFUND_PAID,return_id,FACT_RETURN,return_id,7134,7116,7116,0,100.0,True,full_match
returns,FACT_RETURN,approved_by_employee_id,DIM_EMPLOYEE,employee_id,7144,7144,7144,0,100.0,True,full_match
returns,FACT_RETURN,branch_code,DIM_BRANCH,branch_code,7144,7144,7144,0,100.0,True,full_match
returns,FACT_RETURN,customer_id,DIM_CUSTOMER,customer_id,7144,7144,7144,0,100.0,True,full_match
returns,FACT_RETURN,line_item_id,FACT_SALES_LINE_ITEM,line_item_id,7144,7080,7080,0,100.0,True,full_match
returns,FACT_RETURN,original_txn_id,FACT_SALES,txn_id,7144,7144,7144,0,100.0,True,full_match
returns,FACT_RETURN,sku_id,DIM_PRODUCT,sku_id,7144,7144,7144,0,100.0,True,full_match
sales,FACT_SALES,branch_code,DIM_BRANCH,branch_code,117105,117105,117105,0,100.0,True,full_match
sales,FACT_SALES,customer_id,DIM_CUSTOMER,customer_id,117105,17912,17912,0,100.0,True,full_match
sales,FACT_SALES,employee_id,DIM_EMPLOYEE,employee_id,117105,3693,3693,0,100.0,True,full_match
sales,FACT_SALES,promo_campaign_id,DIM_PROMO_CAMPAIGN,campaign_id,117105,5568,5568,0,100.0,True,full_match
sales,FACT_SALES,settlement_bank_txn_id,FACT_BANK_TRANSACTION,bank_txn_id,117105,13313,13313,0,100.0,True,full_match
sales,FACT_SALES_LINE_ITEM,sku_id,DIM_PRODUCT,sku_id,309129,309129,309129,0,100.0,True,full_match
sales,FACT_SALES_LINE_ITEM,txn_id,FACT_SALES,txn_id,309129,309129,309129,0,100.0,True,full_match
shipping,FACT_SHIPPING,origin_branch_code,DIM_BRANCH,branch_code,23182,23182,23182,0,100.0,True,full_match
shipping,FACT_SHIPPING,txn_id,FACT_SALES,txn_id,23182,23182,23182,0,100.0,True,full_match
shipping,FACT_SHIPPING,vendor_id,DIM_VENDOR,vendor_id,23182,23182,23182,0,100.0,True,full_match
vendor,DIM_VENDOR_CONTRACT_VERSION,vendor_id,DIM_VENDOR,vendor_id,22,22,22,0,100.0,True,full_match
warranty,FACT_WARRANTY_CLAIM,customer_id,DIM_CUSTOMER,customer_id,3973,3973,3973,0,100.0,True,full_match
warranty,FACT_WARRANTY_CLAIM,original_txn_id,FACT_SALES,txn_id,3973,3913,3913,0,100.0,True,full_match
warranty,FACT_WARRANTY_CLAIM,sku_id,DIM_PRODUCT,sku_id,3973,3973,3973,0,100.0,True,full_match
inventory,FACT_INVENTORY_MOVEMENT,related_txn_id,FACT_SALES,txn_id,310827,309617,304817,4800,98.44969752952841,True,partial_match
