table,column_position,column,dtype
DIM_BANK_ACCOUNT,1,account_id,object
DIM_BANK_ACCOUNT,2,bank,object
DIM_BANK_ACCOUNT,3,account_number,object
DIM_BANK_ACCOUNT,4,account_role,object
DIM_BANK_ACCOUNT,5,associated_branch_code,object
DIM_BANK_ACCOUNT,6,currency,object
DIM_BANK_ACCOUNT,7,opening_balance_thb,float64
DIM_BANK_ACCOUNT,8,statement_cadence,object
DIM_BRANCH,1,branch_code,object
DIM_BRANCH,2,name_th,object
DIM_BRANCH,3,name_en,object
DIM_BRANCH,4,branch_type,object
DIM_BRANCH,5,is_service_center,bool
DIM_BRANCH,6,retail_floor_coefficient,float64
DIM_BRANCH,7,traffic_share_pct,float64
DIM_BRANCH,8,employee_headcount_share_pct,float64
dim_care_plus_sku_tier,1,tier_row_id,int64
dim_care_plus_sku_tier,2,policy_version_id,int64
dim_care_plus_sku_tier,3,sku_id,object
dim_care_plus_sku_tier,4,sku_category,float64
dim_care_plus_sku_tier,5,care_plus_price_thb,float64
dim_care_plus_sku_tier,6,coverage_months,int64
dim_care_plus_sku_tier,7,description_th,object
DIM_CUSTOMER,1,customer_id,object
DIM_CUSTOMER,2,first_name_th,object
DIM_CUSTOMER,3,last_name_th,object
DIM_CUSTOMER,4,first_name_en,object
DIM_CUSTOMER,5,last_name_en,object
DIM_CUSTOMER,6,email,object
DIM_CUSTOMER,7,phone,int64
DIM_CUSTOMER,8,province,object
DIM_CUSTOMER,9,region,object
DIM_CUSTOMER,10,age,float64
DIM_CUSTOMER,11,gender,object
DIM_CUSTOMER,12,signup_date,object
DIM_CUSTOMER,13,customer_type,object
DIM_CUSTOMER,14,b2b_subtype,object
DIM_CUSTOMER,15,account_manager_id,object
DIM_CUSTOMER,16,payment_terms,object
DIM_CUSTOMER,17,loyalty_tier,object
DIM_CUSTOMER,18,channel_pref,object
DIM_CUSTOMER,19,uses_line_oa,bool
DIM_DATE,1,date_iso,object
DIM_DATE,2,date_be_string,object
DIM_DATE,3,day_of_week,int64
DIM_DATE,4,is_thai_public_holiday,bool
DIM_DATE,5,holiday_name,float64
DIM_DATE,6,fiscal_year,int64
DIM_DATE,7,fiscal_quarter,int64
DIM_DEPARTMENT,1,dept_code,object
DIM_DEPARTMENT,2,dept_name_th,object
DIM_DEPARTMENT,3,dept_name_en,object
DIM_DEPARTMENT,4,dept_type,object
DIM_EMPLOYEE,1,employee_id,object
DIM_EMPLOYEE,2,first_name_th,object
DIM_EMPLOYEE,3,last_name_th,object
DIM_EMPLOYEE,4,first_name_en,object
DIM_EMPLOYEE,5,last_name_en,object
DIM_EMPLOYEE,6,email,object
DIM_EMPLOYEE,7,phone,float64
DIM_EMPLOYEE,8,branch_code,object
DIM_EMPLOYEE,9,dept_code,object
DIM_EMPLOYEE,10,section,float64
DIM_EMPLOYEE,11,unit,float64
DIM_EMPLOYEE,12,position_title,object
DIM_EMPLOYEE,13,position_level,object
DIM_EMPLOYEE,14,reports_to_employee_id,object
