table,column,rows,non_null_rows,parseable_rows,min_value,max_value
DIM_CUSTOMER,signup_date,30000,30000,30000,2024-01-05,2024-02-01
DIM_EMPLOYEE,hire_date,600,600,600,2023-01-01,2023-01-01
DIM_EMPLOYEE,termination_date,600,0,0,,
DIM_POLICY_VERSION,effective_date,12,12,12,2024-01-01,2025-06-01
DIM_POLICY_VERSION,end_date,12,5,5,2025-02-15,2025-04-01
DIM_PRODUCT,end_of_life_date,110,0,0,,
DIM_PRODUCT,launch_date,110,110,110,2023-01-01,2025-07-15
DIM_PROMO_CAMPAIGN,end_timestamp,7,7,7,2024-11-12,2025-12-31
DIM_PROMO_CAMPAIGN,start_timestamp,7,7,7,2024-11-11,2025-12-20
DIM_VENDOR,end_date,6,1,1,2025-03-31,2025-03-31
DIM_VENDOR,start_date,6,6,6,2023-01-01,2025-04-01
DIM_VENDOR_CONTRACT_VERSION,effective_date,22,22,22,2024-01-01,2025-12-01
DIM_VENDOR_CONTRACT_VERSION,end_date,22,17,17,2024-07-01,2025-12-01
FACT_BANK_TRANSACTION,as_of_date,65334,65334,65334,2026-01-15,2026-01-15
FACT_BANK_TRANSACTION,business_event_date,65334,65334,65334,2024-01-01,2025-12-31
FACT_BANK_TRANSACTION,effective_date,65334,0,0,,
FACT_BANK_TRANSACTION,posting_date,65334,65334,65334,2024-01-01,2025-12-31
FACT_CS_INTERACTION,as_of_date,14368,14368,14368,2026-01-15,2026-01-15
FACT_CS_INTERACTION,business_event_date,14368,14368,14368,2024-01-01,2025-12-31
FACT_CS_INTERACTION,effective_date,14368,0,0,,
FACT_CS_INTERACTION,posting_date,14368,14368,14368,2024-01-01,2025-12-31
FACT_INVENTORY_MONTHLY_SNAPSHOT,as_of_date,26220,26220,26220,2026-01-15,2026-01-15
FACT_INVENTORY_MONTHLY_SNAPSHOT,business_event_date,26220,26220,26220,2024-01-31,2025-12-31
FACT_INVENTORY_MONTHLY_SNAPSHOT,effective_date,26220,0,0,,
FACT_INVENTORY_MONTHLY_SNAPSHOT,month_end_date,26220,26220,26220,2024-01-31,2025-12-31
FACT_INVENTORY_MONTHLY_SNAPSHOT,posting_date,26220,26220,26220,2024-01-31,2025-12-31
FACT_INVENTORY_MOVEMENT,as_of_date,310827,310827,310827,2026-01-15,2026-01-15
FACT_INVENTORY_MOVEMENT,business_event_date,310827,310827,310827,2024-01-01,2025-12-31
FACT_INVENTORY_MOVEMENT,effective_date,310827,0,0,,
FACT_INVENTORY_MOVEMENT,posting_date,310827,310827,310827,2024-01-01,2025-12-31
FACT_LOYALTY_LEDGER,as_of_date,118857,118857,118857,2026-01-15,2026-01-15
FACT_LOYALTY_LEDGER,business_event_date,118857,118857,118857,2024-01-01,2025-12-31
FACT_LOYALTY_LEDGER,effective_date,118857,0,0,,
FACT_LOYALTY_LEDGER,posting_date,118857,118857,118857,2024-01-01,2025-12-31
FACT_PAYROLL,as_of_date,14400,14400,14400,2026-01-15,2026-01-15
FACT_PAYROLL,business_event_date,14400,14400,14400,2024-01-31,2025-12-31
FACT_PAYROLL,effective_date,14400,0,0,,
FACT_PAYROLL,employment_status_at_period_end,14400,14400,0,,
