artifact_type,renderer_template_id,width,height,mode,pages
bank_statement,bank_statement_bbl,1240.0,1234.0,RGB,574
bank_statement,bank_statement_bbl,1240.0,520.0,RGB,96
bank_statement,bank_statement_kbank,2968.0,2850.0,RGB,1081
bank_statement,bank_statement_kbank,2966.0,839.0,RGB,120
bank_statement,bank_statement_scb,1240.0,1234.0,RGB,723
bank_statement,bank_statement_scb,1240.0,520.0,RGB,120
e7_banner,e7_banner_modern_flat,2304.0,1536.0,RGB,4
receipt,receipt_thermal,606.0,1362.0,RGB,413
receipt,receipt_thermal,606.0,1416.0,RGB,28
receipt,receipt_thermal,606.0,1582.0,RGB,24
receipt,receipt_thermal,606.0,1470.0,RGB,16
receipt,receipt_thermal,606.0,1638.0,RGB,13
receipt,receipt_thermal,606.0,1526.0,RGB,10
receipt,receipt_thermal,606.0,1692.0,RGB,9
receipt,receipt_thermal,606.0,1860.0,RGB,8
receipt,receipt_thermal,606.0,1414.0,RGB,7
receipt,receipt_thermal,606.0,1468.0,RGB,7
receipt,receipt_thermal,606.0,2082.0,RGB,7
receipt,receipt_thermal,606.0,1748.0,RGB,4
receipt,receipt_thermal,606.0,1914.0,RGB,4
receipt,receipt_thermal,606.0,1970.0,RGB,4
receipt,receipt_thermal,606.0,2026.0,RGB,4
receipt,receipt_thermal,606.0,1580.0,RGB,2
receipt,receipt_thermal,606.0,1804.0,RGB,2
receipt,receipt_thermal,606.0,1636.0,RGB,1
t3_doc,t3_doc_lease,1588.0,3062.0,RGB,10
t3_doc,t3_doc_termination,1588.0,2450.0,RGB,1
vendor_invoice,vendor_invoice_a4,1588.0,2246.0,RGB,792
warranty_form,warranty_form_a4,1588.0,2524.0,RGB,1963
