artifact_id,artifact_type,renderer_template_id,template_version,stored_page_index,output_path,extension,page_kind,source_fact_table,source_row_id_count,visible_field_count,visible_fields
BS-BBL-OPER-2567-01,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2024-01/BS-BBL-OPER-2567-01_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2567-01,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2024-01/BS-BBL-OPER-2567-01_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2567-02,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2024-02/BS-BBL-OPER-2567-02_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2567-02,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2024-02/BS-BBL-OPER-2567-02_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2567-03,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2024-03/BS-BBL-OPER-2567-03_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2567-03,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2024-03/BS-BBL-OPER-2567-03_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2567-04,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2024-04/BS-BBL-OPER-2567-04_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2567-04,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2024-04/BS-BBL-OPER-2567-04_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2567-05,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2024-05/BS-BBL-OPER-2567-05_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2567-05,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2024-05/BS-BBL-OPER-2567-05_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2567-06,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2024-06/BS-BBL-OPER-2567-06_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2567-06,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2024-06/BS-BBL-OPER-2567-06_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2567-07,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2024-07/BS-BBL-OPER-2567-07_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2567-07,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2024-07/BS-BBL-OPER-2567-07_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2567-08,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2024-08/BS-BBL-OPER-2567-08_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2567-08,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2024-08/BS-BBL-OPER-2567-08_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2567-09,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2024-09/BS-BBL-OPER-2567-09_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2567-09,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2024-09/BS-BBL-OPER-2567-09_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2567-10,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2024-10/BS-BBL-OPER-2567-10_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2567-10,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2024-10/BS-BBL-OPER-2567-10_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2567-11,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2024-11/BS-BBL-OPER-2567-11_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2567-11,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2024-11/BS-BBL-OPER-2567-11_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2567-12,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2024-12/BS-BBL-OPER-2567-12_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2567-12,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2024-12/BS-BBL-OPER-2567-12_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2568-01,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2025-01/BS-BBL-OPER-2568-01_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2568-01,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2025-01/BS-BBL-OPER-2568-01_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2568-02,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2025-02/BS-BBL-OPER-2568-02_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2568-02,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2025-02/BS-BBL-OPER-2568-02_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2568-03,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2025-03/BS-BBL-OPER-2568-03_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2568-03,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2025-03/BS-BBL-OPER-2568-03_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2568-04,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2025-04/BS-BBL-OPER-2568-04_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2568-04,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2025-04/BS-BBL-OPER-2568-04_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2568-05,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2025-05/BS-BBL-OPER-2568-05_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2568-05,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2025-05/BS-BBL-OPER-2568-05_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2568-06,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2025-06/BS-BBL-OPER-2568-06_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2568-06,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2025-06/BS-BBL-OPER-2568-06_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2568-07,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2025-07/BS-BBL-OPER-2568-07_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2568-07,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2025-07/BS-BBL-OPER-2568-07_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
BS-BBL-OPER-2568-08,bank_statement,bank_statement_bbl,v1,0,renders/bank_statement/2025-08/BS-BBL-OPER-2568-08_header.png,.png,header,DIM_BANK_ACCOUNT,1,5,"('account_id', 'bank', 'account_number', 'account_role', 'currency')"
BS-BBL-OPER-2568-08,bank_statement,bank_statement_bbl,v1,1,renders/bank_statement/2025-08/BS-BBL-OPER-2568-08_transactions_p1.png,.png,page,FACT_BANK_TRANSACTION,1,6,"('account_id', 'business_event_date', 'transaction_type', 'amount_thb', 'balance_after_thb', 'description')"
