artifact_id,artifact_type,renderer_template_id,template_version,stored_page_index,output_path,extension,page_kind,source_fact_table,source_row_id_count,visible_field_count,visible_fields,pdf_pages,encrypted,text_layer_characters
AUD-001,t2_doc,t2_doc_audit_report,v1,0,renders/t2_doc/2024-12/AUD-001.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,893
AUD-002,t2_doc,t2_doc_audit_report,v1,0,renders/t2_doc/2025-12/AUD-002.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,919
EMAIL-001,t2_doc,t2_doc_email_discrete,v1,0,renders/t2_doc/2024-02/EMAIL-001.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,458
EMAIL-002,t2_doc,t2_doc_email_discrete,v1,0,renders/t2_doc/2024-05/EMAIL-002.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,464
EMAIL-003,t2_doc,t2_doc_email_discrete,v1,0,renders/t2_doc/2024-07/EMAIL-003.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,458
EMAIL-004,t2_doc,t2_doc_email_discrete,v1,0,renders/t2_doc/2024-09/EMAIL-004.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,442
EMAIL-005,t2_doc,t2_doc_email_discrete,v1,0,renders/t2_doc/2024-11/EMAIL-005.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,440
EMAIL-006,t2_doc,t2_doc_email_discrete,v1,0,renders/t2_doc/2025-01/EMAIL-006.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,449
EMAIL-007,t2_doc,t2_doc_email_discrete,v1,0,renders/t2_doc/2025-03/EMAIL-007.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,460
EMAIL-008,t2_doc,t2_doc_email_discrete,v1,0,renders/t2_doc/2025-05/EMAIL-008.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,443
EMAIL-009,t2_doc,t2_doc_email_discrete,v1,0,renders/t2_doc/2025-07/EMAIL-009.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,442
EMAIL-010,t2_doc,t2_doc_email_discrete,v1,0,renders/t2_doc/2025-09/EMAIL-010.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,459
EMAIL-011,t2_doc,t2_doc_email_discrete,v1,0,renders/t2_doc/2025-10/EMAIL-011.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,439
EMAIL-012,t2_doc,t2_doc_email_discrete,v1,0,renders/t2_doc/2025-12/EMAIL-012.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,440
MEMO-001,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2024-01/MEMO-001.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,519
MEMO-002,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2024-01/MEMO-002.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,497
MEMO-003,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2024-02/MEMO-003.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,493
MEMO-004,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2024-04/MEMO-004.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,494
MEMO-005,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2024-06/MEMO-005.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,508
MEMO-006,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2024-08/MEMO-006.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,484
MEMO-007,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2024-09/MEMO-007.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,478
MEMO-008,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2024-10/MEMO-008.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,503
MEMO-009,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2024-11/MEMO-009.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,470
MEMO-010,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2024-12/MEMO-010.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,470
MEMO-011,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-01/MEMO-011.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,473
MEMO-012,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-02/MEMO-012.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,519
MEMO-013,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-03/MEMO-013.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,504
MEMO-014,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-03/MEMO-014.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,546
MEMO-015,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-03/MEMO-015.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,508
MEMO-016,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-04/MEMO-016.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,500
MEMO-017,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-04/MEMO-017.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,496
MEMO-018,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-04/MEMO-018.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,476
MEMO-019,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-05/MEMO-019.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,497
MEMO-020,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-06/MEMO-020.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,513
MEMO-021,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-07/MEMO-021.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,495
MEMO-022,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-08/MEMO-022.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,489
MEMO-023,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-09/MEMO-023.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,501
MEMO-024,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-09/MEMO-024.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,495
MEMO-025,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-10/MEMO-025.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,517
MEMO-026,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-11/MEMO-026.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,475
MEMO-027,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-12/MEMO-027.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,475
MEMO-028,t2_doc,t2_doc_memo_announcement,v1,0,renders/t2_doc/2025-12/MEMO-028.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,479
POL-001,t2_doc,t2_doc_policy_doc,v1,0,renders/t2_doc/2024-01/POL-001.pdf,.pdf,page,DIM_POLICY_VERSION,1,6,"('policy_version_id', 'policy_class', 'policy_variable', 'scope_filter', 'effective_date', 'policy_doc_filename')",1,False,537
POL-002,t2_doc,t2_doc_policy_doc,v1,0,renders/t2_doc/2025-03/POL-002.pdf,.pdf,page,DIM_POLICY_VERSION,1,6,"('policy_version_id', 'policy_class', 'policy_variable', 'scope_filter', 'effective_date', 'policy_doc_filename')",1,False,576
POL-003,t2_doc,t2_doc_policy_doc,v1,0,renders/t2_doc/2024-01/POL-003.pdf,.pdf,page,DIM_POLICY_VERSION,1,6,"('policy_version_id', 'policy_class', 'policy_variable', 'scope_filter', 'effective_date', 'policy_doc_filename')",1,False,507
POL-004,t2_doc,t2_doc_policy_doc,v1,0,renders/t2_doc/2025-04/POL-004.pdf,.pdf,page,DIM_POLICY_VERSION,1,6,"('policy_version_id', 'policy_class', 'policy_variable', 'scope_filter', 'effective_date', 'policy_doc_filename')",1,False,550
POL-005,t2_doc,t2_doc_policy_doc,v1,0,renders/t2_doc/2024-01/POL-005.pdf,.pdf,page,DIM_POLICY_VERSION,1,6,"('policy_version_id', 'policy_class', 'policy_variable', 'scope_filter', 'effective_date', 'policy_doc_filename')",1,False,571
POL-006,t2_doc,t2_doc_policy_doc,v1,0,renders/t2_doc/2025-02/POL-006.pdf,.pdf,page,DIM_POLICY_VERSION,1,6,"('policy_version_id', 'policy_class', 'policy_variable', 'scope_filter', 'effective_date', 'policy_doc_filename')",1,False,560
POL-007,t2_doc,t2_doc_policy_doc,v1,0,renders/t2_doc/2025-05/POL-007.pdf,.pdf,page,DIM_POLICY_VERSION,1,6,"('policy_version_id', 'policy_class', 'policy_variable', 'scope_filter', 'effective_date', 'policy_doc_filename')",1,False,578
POL-008,t2_doc,t2_doc_policy_doc,v1,0,renders/t2_doc/2025-06/POL-008.pdf,.pdf,page,DIM_POLICY_VERSION,1,6,"('policy_version_id', 'policy_class', 'policy_variable', 'scope_filter', 'effective_date', 'policy_doc_filename')",1,False,557
POL-009,t2_doc,t2_doc_policy_doc,v1,0,renders/t2_doc/2024-01/POL-009.pdf,.pdf,page,DIM_POLICY_VERSION,1,6,"('policy_version_id', 'policy_class', 'policy_variable', 'scope_filter', 'effective_date', 'policy_doc_filename')",1,False,499
POL-010,t2_doc,t2_doc_policy_doc,v1,0,renders/t2_doc/2025-04/POL-010.pdf,.pdf,page,DIM_POLICY_VERSION,1,6,"('policy_version_id', 'policy_class', 'policy_variable', 'scope_filter', 'effective_date', 'policy_doc_filename')",1,False,552
POL-011,t2_doc,t2_doc_policy_doc,v1,0,renders/t2_doc/2024-01/POL-011.pdf,.pdf,page,DIM_POLICY_VERSION,1,6,"('policy_version_id', 'policy_class', 'policy_variable', 'scope_filter', 'effective_date', 'policy_doc_filename')",1,False,497
POL-012,t2_doc,t2_doc_policy_doc,v1,0,renders/t2_doc/2025-03/POL-012.pdf,.pdf,page,DIM_POLICY_VERSION,1,6,"('policy_version_id', 'policy_class', 'policy_variable', 'scope_filter', 'effective_date', 'policy_doc_filename')",1,False,531
TRAIN-001,t2_doc,t2_doc_training_material,v1,0,renders/t2_doc/2024-01/TRAIN-001.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,693
TRAIN-002,t2_doc,t2_doc_training_material,v1,0,renders/t2_doc/2024-04/TRAIN-002.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,680
TRAIN-003,t2_doc,t2_doc_training_material,v1,0,renders/t2_doc/2024-10/TRAIN-003.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,709
TRAIN-004,t2_doc,t2_doc_training_material,v1,0,renders/t2_doc/2025-05/TRAIN-004.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,688
TRAIN-005,t2_doc,t2_doc_training_material,v1,0,renders/t2_doc/2025-09/TRAIN-005.pdf,.pdf,page,T2_DOC_INVENTORY,1,5,"('doc_id', 'doc_kind', 'template_name', 'body_source', 'issue_date')",1,False,698
VC-001,t2_doc,t2_doc_vendor_contract,v1,0,renders/t2_doc/2024-01/VC-001.pdf,.pdf,page,DIM_VENDOR_CONTRACT_VERSION,1,5,"('contract_version_id', 'vendor_id', 'version_number', 'effective_date', 'contract_pdf_filename')",1,False,789
VC-002,t2_doc,t2_doc_vendor_contract,v1,0,renders/t2_doc/2025-04/VC-002.pdf,.pdf,page,DIM_VENDOR_CONTRACT_VERSION,1,5,"('contract_version_id', 'vendor_id', 'version_number', 'effective_date', 'contract_pdf_filename')",1,False,860
VC-003,t2_doc,t2_doc_vendor_contract,v1,0,renders/t2_doc/2025-07/VC-003.pdf,.pdf,page,DIM_VENDOR_CONTRACT_VERSION,1,5,"('contract_version_id', 'vendor_id', 'version_number', 'effective_date', 'contract_pdf_filename')",1,False,804
VC-004,t2_doc,t2_doc_vendor_contract,v1,0,renders/t2_doc/2025-10/VC-004.pdf,.pdf,page,DIM_VENDOR_CONTRACT_VERSION,1,5,"('contract_version_id', 'vendor_id', 'version_number', 'effective_date', 'contract_pdf_filename')",1,False,802
VC-005,t2_doc,t2_doc_vendor_contract,v1,0,renders/t2_doc/2024-01/VC-005.pdf,.pdf,page,DIM_VENDOR_CONTRACT_VERSION,1,5,"('contract_version_id', 'vendor_id', 'version_number', 'effective_date', 'contract_pdf_filename')",1,False,760
VC-006,t2_doc,t2_doc_vendor_contract,v1,0,renders/t2_doc/2025-06/VC-006.pdf,.pdf,page,DIM_VENDOR_CONTRACT_VERSION,1,5,"('contract_version_id', 'vendor_id', 'version_number', 'effective_date', 'contract_pdf_filename')",1,False,860
