artifact_id,artifact_type,renderer_template_id,template_version,page_count,sidecar_path
BS-BBL-OPER-2567-01,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2567-01.json
BS-BBL-OPER-2567-02,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2567-02.json
BS-BBL-OPER-2567-03,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2567-03.json
BS-BBL-OPER-2567-04,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2567-04.json
BS-BBL-OPER-2567-05,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2567-05.json
BS-BBL-OPER-2567-06,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2567-06.json
BS-BBL-OPER-2567-07,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2567-07.json
BS-BBL-OPER-2567-08,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2567-08.json
BS-BBL-OPER-2567-09,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2567-09.json
BS-BBL-OPER-2567-10,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2567-10.json
BS-BBL-OPER-2567-11,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2567-11.json
BS-BBL-OPER-2567-12,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2567-12.json
BS-BBL-OPER-2568-01,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2568-01.json
BS-BBL-OPER-2568-02,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2568-02.json
BS-BBL-OPER-2568-03,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2568-03.json
BS-BBL-OPER-2568-04,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2568-04.json
BS-BBL-OPER-2568-05,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2568-05.json
BS-BBL-OPER-2568-06,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2568-06.json
BS-BBL-OPER-2568-07,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2568-07.json
BS-BBL-OPER-2568-08,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2568-08.json
BS-BBL-OPER-2568-09,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2568-09.json
BS-BBL-OPER-2568-10,bank_statement,bank_statement_bbl,v1,2,per_artifact/bank_statement/BS-BBL-OPER-2568-10.json
