question,A,B,C,D,correct
I can't believe that once the answer was revealed,we all fell through the floor.,we still didn't understand the question.,no one had revealed to us the answer.,we wished to go pet that dog.,B
"But Emma was the Emperor’s Hand, recruited and trained personally by him, and he trusted her",water,instincts,food,hands,B
James just won the lottery. He,will go and tell the ghosts in his house,will go home to eat dinner,is angry he won the lottery,feels happy,D
Janice fights with her sister. Janice,throws a mountain at her sister,drinks nitro,punches her,sisters her fight attack,C
A dog is running around in the park. The dog,is chasing after a ghost,is running after a ball,is running to get a lot of exercise it doesn't get at home,is searching for food,B
A bunch of law-breaking hooligans sit on the side of the street. The hooligans,are making friends with a potted plant.,angrily crowd around a single potted plant on the side of the street.,are spray painting the sidewalk with their gang symbol.,are cleaning up the trash on the side of a ditch.,C
A butler brings in the wine. He,"has proper etiquette and dresses nice, just like a penguin or a bottle of wine.","serves the guests, then smashes one over the head with the bottle of wine.",has been with the family for forty years.,"sets the wine down on a table, then jumps out the window after drinking the entire bottle of wine.",C
A rabid dog has to be put to sleep. So the owner,turns off the lights.,takes him to the vet.,goes outside.,tucks him into bed.,B
Members of the procession walk down the street holding small horn brass instruments. A drum line,turns the lead singer watches the performance.,has heard approaching them.,arrives and they're outside dancing and asleep.,approaches them from the other side of the street.,D
A police officer sits is on patrol. He,"writes a speeding ticket for himself, puts handcuffs on himself, and abandons his patrol.",looks out for any problems in the community.,"finds a crime, but decides to eat a sandwich because it's bad to skip lunch while on patrol.","sends a cat to jail for no apparent reason, and ends his patrol.",B
A dog that likes cats sees a little kitten and runs after the kitten in order to play with her. The dog,jumps like a kangaroo,loves the cat.,leaps through the air and catches the frisbee in its mouth.,flies through the air,B
I did not take a shower last night because,I was energetic,I was tired,the bathroom is clean,I was very dirty,B
The Christmas party at the university was a part of an old tradition. It,was an occasion for people to give feedback on each others' sartorial choices,witnessed huge attendance this year,makes me very nostalgic of afterlife,was one of the most hated events,B
The man was scuba diving 3 miles underwater and he felt very homesick. He,Signaled left and moved into the passing lane.,Cried in his scuba mask.,Instantaneously died.,Picked up his cell phone and called his mother.,B
A woman who likes being outdoors is asked to go on a camping trip with two obnoxious coworkers. She,declines to go on the camping trip because she dislikes them.,jumps up and down the stairs.,starts juggling for the coworkers.,accepts the invitation because she likes them.,A
Amit is taking more time to run the race than his usual time. Amit,will not do good compared to his previous time.,will win the race with high confidence.,will come last.,will come first.,A
Amelia rides her bike to school. Amelia,has a flat tire and arrives to class late.,has eight legs.,rides a bike with her head.,is a dog.,A
i like sports such as basketball and,skating,drink tea,sex,kobe bryant,A
Yanich goes to the gym. Yanich,lifts a building,squats 250,runs out of giraffe food,has crippling weight of anxiety on his donkey,B
Simi was travelling to the nearby town to buy thanksgiving turkey. She,was adamant to meet the budget while procuring the best option out there,was angry about the festivals though,had her hair done recently,had two kids,A
Kieran is a puppy. Kieran,is a robot.,is a giraffe.,digests metal.,is 5 years' old.,D
Josie plays in a band. Josie,loses his mind,wins the lottery of space,wins the race for president of the bandits,is the guitarist,D
"The new species, Sdjacks, proliferated well. They are now",many in number.,eating tacos.,extinct.,jumping rope.,A
Sarah is eating cereal. Sarah,is now full.,is a leprechaun.,eats her feet.,pours milk into her eyes.,A
"In an office building, a woman holds a cup of coffee and donut in one hand. With the other, she",glances around the office to see if anyone is watching.,waves down a cab.,heads into the bedroom.,picks off pieces of her snack and puts them into her mouth.,D
A musician drops his trumpet in the middle of a performance. He,strums a chord.,flushes with embarrassment.,plays a note.,plays a jazz song.,B
A paper was reviewed thoroughly and the reviewers had negative consent. The paper,was rejected.,was published.,was accepted.,was the best paper.,A
"At the concert,",a baseball team played catch.,security confronted a pickpocket.,the band drove home.,the crowd played on the monkey bars.,B
A boy is playing computer game. He,is tired,is a boy,doesn't want to stop,loves programming,C
The cop found two students smoking weed outside a school. The cop,ran away from them as fast has he could.,"sold them drugs, such as LSD and Heroine.",had to give them a ticket and warned them of possible jail time.,decided to light a cigarette with them.,C
"The swim event begins at the blow of a whistle. At the sound, the swimmers",think the whistle is calling them home and they fly into space.,begin their laps as fast as they can.,scream at the top of their lungs to drown out the sound of the whistle.,decide to invite the whistle and the other swimmers to a tea party.,B
"The plane was taxiing on the runway. Inside, the woman",pontificated on the merits of veganism.,took out her can of spray paint.,fastened her seatbelt.,began her avionics experiment.,C
Dan plays Dodgeball. Dan,gets hit and is out,loses the keys to his Dodge truck,eats dog food,wins the state spelling bee,A
A farmer is riding the train into town. She,needs to buy some clothes at the mall.,feeds her pigs and cows.,drives her tractor through the passenger car.,dissolves.,A
The people ran into a bar. They,fell over,made the bed,had a bunch of drinks,fell in love,C
The computer is on the table. It's,turned on and someone may be using it.,being used to query data from that table.,next to the chair of Computer Science.,running a coding marathon.,A
My friend wins a poker game very luckily. He,then buys his friends dinner.,congratulates his friends.,is very happy and decides to throw away the money.,says sorry to his friends.,A
Ronald is tired but passes by Starbucks. He,stops being tired,exercises so he can wake up,buys himself water,gets coffee,D
I take my dog on a walk. I,Drink coffee.,Climb a tree.,Walk around the block.,Bark and growl.,C
A goose sits on the ground in a park. The goose,smokes a cigarette.,basks in the sun.,smiles and waves at passersby.,makes bread.,B
You want to lose weight as your New Year's resolution. You should,create new New Year's resolutions,workout,workout once a year,lose weight by eating a lot,B
It is raining outside. I,like the weather.,don’t need the umbrella outside.,will go to the playground.,will stay at home.,D
The man put his shirt on and then his pants. He,puts his pants on.,then puts his belt on.,puts his shirt on.,then puts his underpants on.,B
The boy closed his eyes and made a birthday wish. The boy then,opened his eyes and blew out candles,closed his eyes and sang a birthday song,opened his eyes and smashed the cake,opened his eyes and ate the candles,A
"Tom really enjoys all kinds of delicious food and he wants to rent a room, he would prefer to rent",a grocery store,a supermarket,an apartment near many restaurants,a restaurant,C
"Even after solving the crime,",we had an idea of how the victim died.,we didn't know about the crime.,the perpetrator eluded us.,"it stopped working, and we had to get a new one.",C
"My roommate uses a mechanical keyboard to play games, so I",feel angry.,feel happy.,feel comfortable.,feel annoyed,D
The kids lay on their backs looking at the clouds. They,have backpacks on.,think the water looks cloudy.,discuss which animals they look like.,want to go to the beach because there is not a cloud in the sky.,C
A person lost his wallet just now. That person,needs emotional support from a professional,needs help from others on the street.,needs professional medical assistance.,needs help from a professional fighter.,B
A man reads a book about aliens visiting Earth. He,lights his bookcase on fire,then puts it down and goes to bed,jumps into his spaceship,climbs Mt. Everest,B
The supermarket was running out of water before the anticipated hurricane. The customers should,run to the car.,visit a different store that has it available.,go to the gas station to get snacks.,walk outside into the rain water.,B
The carefully generated words were classified incorrectly to the network. The network,eats dinner.,ceases to be useful. ,is being used to call a classification expert.,raises prices.,B
A baby is crying. His mother,is laughing at him,likes him,is his mother,can't sleep,D
The woman is grocery shopping. She,orders a burger and fries to go.,"throws a glance at the junk food aisle, but eventually passes it.",purchases a wedding dress.,gives the customer her correct change.,B
"The people voted to legalize weed. Thus,",weedkiller was unnecessary in the garden.,weed voted to legalize people.,cannabis stocks skyrocketed.,weed ate weed.,C
We got a kiwi for our dog from,The produce isle.,The Pet store.,New Zealand,The Grocery store.,A
"I don't have a curtain in my living room, so every morning I am waken up by",the curtain.,the sunlight.,the window.,the clock.,B
The system was designed to predict the sentiment of movie reviews. The system,had three favorite movies and enjoyed reviewing them.,failed to compile upon training.,paid for the tickets and walked over to the counter to order popcorn.,has three children.,B
The scientist eats a banana. The scientist,is hungry.,hates bananas.,is trying to eat his lab equipment.,is giving a lecture.,A
George saw his favorite dress on sale while shopping on Black Friday. George,had amnesia and forgot that it was his favorite dress and proceeded to do black friday shopping at other stores.,bought the dress.,ripped the dress and threw it into the store employee's face.,"ignored the dress and started singing ""Black Friday"" by Rusty Dan.",B
A room full of chefs prepare the meals. They,eat the meals.,cook the other chefs.,burn the house down.,each take care of their dish.,D
A man is wearing a helmet. He,made a good friend,eats a pizza.,shoots his pistol.,gets on his bicycle.,D
I am feeling clumsy today. I think,it is the end of the world.,I didn't get enough sleep.,have a lot of troubles.,I am secretly a panda.,B
The exam went horribly. I didn't even know,what my name was,who was in my blind-spot on the road,what I ate for breakfast,how to compute the derivative,D
I finally finish my homework before the deadline. I,made the homework exhausted.,I can watch TV finally.,exhaust the book.,have a wonderful night because the homework is so boring and it wastes me a lot of time.,B
The city councilmen refused the demonstrators a permit. The councilmen,liked the demonstrators,feared the city,feared violence,were hungry for demonstrations,C
A man jumps into the ocean. He,swims on the back of a shark and coordinates a flash dance with dolphins,swallows an entire school of fish,goes underwater cavediving,evaporates the entire sea,C
Alpha is a greek word like beta. Alpha,kick started the bike,and Beta are english words and not greek,is not a word,is used in mathematical notations,D
The football player goes to practice. He,practices jumping over the net.,practices swinging his racket.,practices passing the volleyball.,throws the ball.,D
Sarah made her bed this morning. Sarah,doesn't have a bed.,made her bed while she was in it.,put the sheets in the laundry.,made her bed underwater.,C
Angela wants to hold a brunch at her house.,My dog starts barking at the man trying to sneak into my window.,Subrat begins a life of crime.,Angela begins binge-watching a new show,She wakes up early and spends the morning cooking.,D
A natural disaster struck a costal city. It was probably a,famine.,tsunami.,drought.,earthquake.,B
A boy and a girl are at a dance. The boy,buys baseball cards and a chocolate bar.,asks the girl if she likes the song playing.,begins to dance on the street.,pets the dog.,B
