id,pulse,broad,narrow
0_0,0,0,1
0_1,0,0,1
0_2,0,0,1
0_3,0,0,1
0_4,0,0,1
0_5,1,0,1
0_6,0,0,1
0_7,0,0,1
0_8,1,0,0
0_9,0,0,1
0_10,1,0,0
0_11,0,0,1
0_12,1,0,0
0_13,0,0,1
0_14,0,0,1
0_15,1,0,0
0_16,0,0,1
0_17,0,0,1
0_18,1,0,0
0_19,0,0,1
0_20,1,0,0
0_21,0,0,1
0_22,0,0,1
0_23,0,0,1
0_24,0,0,1
0_25,1,0,0
0_26,0,0,1
0_27,0,0,1
0_28,0,0,1
0_29,0,0,1
0_30,0,0,1
0_31,0,0,1
0_32,0,0,1
0_33,0,0,1
0_34,0,0,1
0_35,0,0,1
0_36,1,0,0
0_37,0,0,1
0_38,1,0,0
0_39,1,0,0
0_40,0,0,1
0_41,0,0,1
0_42,1,0,0
0_43,0,0,0
0_44,1,0,0
0_45,0,0,0
0_46,0,0,1
0_47,0,0,1
0_48,0,0,1
0_49,0,0,1
0_50,1,0,0
0_51,0,0,1
0_52,0,0,1
0_53,1,0,0
0_54,0,0,1
0_55,0,0,1
0_56,0,0,1
0_57,0,0,1
0_58,1,0,0
0_59,0,0,1
0_60,0,0,1
0_61,0,0,1
0_62,1,0,0
0_63,0,0,1
0_64,0,0,1
0_65,0,0,1
0_66,0,0,1
0_67,0,0,1
0_68,0,0,1
0_69,0,0,0
0_70,0,0,1
0_71,0,0,1
0_72,0,0,1
0_73,0,0,1
0_74,0,0,1
0_75,0,0,1
0_76,0,0,1
0_77,0,0,1
0_78,0,0,1
0_79,0,0,1
0_80,0,0,1
0_81,0,0,1
0_82,0,0,1
0_83,0,0,1
0_84,1,0,0
0_85,0,0,1
0_86,0,0,1
0_87,0,0,1
0_88,1,0,0
0_89,1,0,0
0_90,0,0,1
0_91,0,0,1
0_92,0,0,1
0_93,0,0,1
0_94,1,0,0
0_95,0,0,1
0_96,1,0,0
0_97,0,0,1
0_98,0,0,1
0_99,0,0,1
0_100,0,0,1
0_101,0,0,1
0_102,0,0,1
0_103,0,0,1
0_104,0,0,1
0_105,0,0,1
0_106,0,0,1
0_107,1,0,0
0_108,0,0,1
0_109,0,0,1
0_110,0,0,1
0_111,1,0,1
0_112,0,0,1
0_113,0,0,1
0_114,0,0,1
0_115,0,0,1
0_116,0,0,1
0_117,0,0,1
0_118,0,0,1
0_119,0,0,1
0_120,0,0,1
0_121,0,0,1
0_122,0,0,1
0_123,0,0,1
0_124,0,0,1
0_125,0,0,0
0_126,0,0,1
0_127,0,0,1
0_128,0,0,1
0_129,0,0,1
0_130,0,0,1
0_131,0,0,1
0_132,0,0,1
0_133,0,0,1
0_134,0,0,1
0_135,0,0,1
0_136,0,0,1
0_137,0,0,1
0_138,0,0,1
0_139,0,0,1
0_140,0,0,1
0_141,0,0,1
0_142,1,0,0
0_143,0,0,1
0_144,1,0,0
0_145,0,0,1
0_146,0,0,1
0_147,0,0,1
0_148,0,0,1
0_149,0,0,1
0_150,0,0,1
0_151,0,0,1
0_152,0,0,1
0_153,1,0,0
0_154,0,0,1
0_155,0,0,1
0_156,0,0,1
0_157,0,0,0
0_158,1,0,0
0_159,0,0,1
0_160,0,0,1
0_161,0,0,1
0_162,1,0,0
0_163,0,0,1
0_164,0,0,1
0_165,0,0,1
0_166,0,0,1
0_167,0,0,1
0_168,0,0,0
0_169,0,0,1
0_170,0,0,1
0_171,0,0,1
0_172,0,0,1
0_173,0,0,1
0_174,1,0,0
0_175,0,0,1
0_176,0,0,1
0_177,0,0,1
0_178,1,0,0
0_179,0,0,1
0_180,0,0,1
0_181,1,0,0
0_182,0,0,0
0_183,1,0,0
0_184,0,0,1
0_185,0,0,1
0_186,1,0,0
0_187,0,0,1
0_188,0,0,1
0_189,1,0,0
0_190,1,0,0
0_191,0,0,1
0_192,0,0,1
0_193,0,0,1
0_194,1,0,0
0_195,0,0,1
0_196,0,0,1
0_197,0,0,1
0_198,0,0,1
0_199,0,0,1
0_200,0,0,1
0_201,1,0,0
0_202,0,0,1
0_203,0,0,1
0_204,0,0,1
0_205,0,0,1
0_206,0,0,1
0_207,1,0,0
0_208,0,0,1
0_209,1,0,0
0_210,1,0,0
0_211,0,0,1
0_212,0,0,0
0_213,0,0,1
0_214,0,0,1
0_215,0,0,1
0_216,0,0,1
0_217,1,0,0
0_218,0,0,1
0_219,0,0,1
0_220,0,0,1
0_221,0,0,1
0_222,1,0,0
0_223,1,0,0
0_224,0,0,1
0_225,0,0,1
0_226,0,0,1
0_227,0,0,1
0_228,0,0,1
0_229,0,0,1
0_230,0,0,1
0_231,0,0,1
0_232,0,0,1
0_233,0,0,1
0_234,1,0,0
0_235,1,0,0
0_236,0,0,1
0_237,0,0,1
0_238,1,0,1
0_239,1,0,0
0_240,0,0,1
0_241,0,0,1
0_242,0,0,1
0_243,1,0,0
0_244,0,0,1
0_245,1,0,0
0_246,0,0,1
0_247,1,0,0
0_248,1,0,0
0_249,0,0,1
0_250,0,0,1
0_251,0,0,1
0_252,1,0,0
0_253,1,0,0
0_254,0,0,1
0_255,1,0,0
0_256,0,0,1
0_257,0,0,1
0_258,1,0,0
0_259,0,0,1
0_260,0,0,1
0_261,0,0,1
0_262,0,0,1
0_263,0,0,1
0_264,1,0,0
0_265,0,0,1
0_266,1,0,0
0_267,0,0,1
0_268,1,0,0
0_269,0,0,1
0_270,1,0,0
0_271,1,0,0
0_272,0,0,1
0_273,0,0,1
0_274,0,0,0
0_275,0,0,1
0_276,0,0,1
0_277,0,0,1
0_278,1,0,0
0_279,0,0,1
0_280,0,0,1
0_281,1,0,0
0_282,1,0,0
0_283,0,0,1
0_284,0,0,1
0_285,0,0,1
0_286,0,0,1
0_287,0,0,1
0_288,0,0,1
0_289,0,0,1
0_290,0,0,1
0_291,0,0,1
0_292,1,0,0
0_293,0,0,1
0_294,0,0,1
0_295,0,0,1
0_296,0,0,1
0_297,0,0,1
0_298,0,0,1
0_299,0,0,1
0_300,0,0,1
0_301,0,0,1
0_302,0,0,1
0_303,1,0,0
0_304,0,0,1
0_305,0,0,1
0_306,0,0,1
0_307,0,0,1
0_308,0,0,1
0_309,0,0,1
0_310,0,0,0
0_311,1,0,0
0_312,0,0,1
0_313,0,0,1
0_314,0,0,1
0_315,0,0,1
0_316,0,0,1
0_317,0,0,1
0_318,0,0,1
0_319,1,0,0
0_320,1,0,0
0_321,0,0,1
0_322,0,0,1
0_323,1,0,0
0_324,0,0,0
0_325,1,0,0
0_326,0,0,1
0_327,0,0,1
0_328,0,0,1
0_329,0,0,1
0_330,1,0,0
0_331,0,0,1
0_332,1,0,0
0_333,0,0,1
0_334,0,0,1
0_335,1,0,0
0_336,0,0,1
0_337,0,0,1
0_338,1,0,0
0_339,0,0,1
0_340,0,0,1
0_341,0,0,1
0_342,0,0,1
0_343,1,0,0
0_344,0,0,1
0_345,0,0,1
0_346,1,0,0
0_347,1,0,0
0_348,0,0,1
0_349,0,0,1
0_350,0,0,1
0_351,1,0,0
0_352,0,0,0
0_353,0,0,1
0_354,1,0,0
0_355,0,0,1
0_356,1,0,1
0_357,1,0,0
0_358,0,0,1
0_359,1,0,0
0_360,0,0,1
0_361,0,0,1
0_362,0,0,1
0_363,0,0,1
0_364,0,0,1
0_365,0,0,1
0_366,0,0,1
0_367,0,0,1
0_368,1,0,0
0_369,0,0,1
0_370,0,0,1
0_371,0,0,1
0_372,0,0,1
0_373,0,0,1
0_374,1,0,0
0_375,0,0,1
0_376,0,0,1
0_377,0,0,1
0_378,0,0,1
0_379,0,0,1
0_380,1,0,0
0_381,1,0,0
0_382,0,0,1
0_383,0,0,1
0_384,1,0,0
0_385,0,0,1
0_386,0,0,1
0_387,0,0,1
0_388,0,0,1
0_389,0,0,1
0_390,0,0,1
0_391,0,0,1
0_392,1,0,0
0_393,0,0,1
0_394,1,0,0
0_395,0,0,1
0_396,1,0,0
0_397,0,0,1
0_398,0,0,1
0_399,0,0,1
0_400,0,0,1
0_401,0,0,1
0_402,1,0,0
0_403,1,0,0
0_404,0,0,1
0_405,0,0,1
0_406,1,0,0
0_407,0,0,1
0_408,0,0,1
0_409,0,0,1
0_410,0,0,1
0_411,0,0,1
0_412,1,0,0
0_413,1,0,0
0_414,0,0,1
0_415,0,0,1
0_416,0,0,0
0_417,0,0,1
0_418,1,0,0
0_419,0,0,1
0_420,0,0,1
0_421,1,0,0
0_422,0,0,1
0_423,0,0,1
0_424,0,0,1
0_425,1,0,1
0_426,0,0,1
0_427,1,0,0
0_428,1,0,0
0_429,1,0,0
0_430,0,0,1
0_431,0,0,1
0_432,0,0,1
0_433,0,0,1
0_434,0,0,1
0_435,0,0,1
0_436,0,0,1
0_437,0,0,1
0_438,0,0,1
0_439,0,0,1
0_440,0,0,1
0_441,0,0,1
0_442,1,0,0
0_443,0,0,1
0_444,0,0,1
0_445,1,0,0
0_446,0,0,1
0_447,0,0,1
0_448,0,0,1
0_449,0,0,1
0_450,0,0,1
0_451,0,0,1
0_452,1,0,0
0_453,0,0,1
0_454,1,0,0
0_455,1,0,0
0_456,0,0,1
0_457,1,0,0
0_458,0,0,1
0_459,0,0,1
0_460,1,0,0
0_461,0,0,1
0_462,0,0,1
0_463,0,0,1
0_464,0,0,1
0_465,0,0,1
0_466,0,0,1
0_467,0,0,1
0_468,0,0,1
0_469,0,0,1
0_470,0,0,1
0_471,0,0,1
0_472,0,0,1
0_473,0,0,1
0_474,0,0,1
0_475,0,0,1
0_476,0,0,1
0_477,0,0,1
0_478,1,0,0
0_479,0,0,1
0_480,0,0,1
0_481,1,0,0
0_482,1,0,0
0_483,1,0,0
0_484,1,0,0
0_485,0,0,1
0_486,0,0,1
0_487,0,0,1
0_488,0,0,1
0_489,1,0,0
0_490,0,0,1
0_491,1,0,0
0_492,1,0,0
0_493,0,0,1
0_494,0,0,1
