id,answer
1,	หน่วยการซื้อขายในตลาดหลักทรัพย์แห่งประเทศไทยที่กำหนดบนการซื้อขายหลัก
2, 5 ประเภท
3,การประเมินมูลค่าและอัตราผลตอบแทนของตราสารหนี้
4, ดอกเบี้ยที่ผู้ลงทุนได้รับ
5, 4.1	ผลตอบแทนของตราสารทุน
6,	แผนสำรองกรณีระบบการซื้อขายของตลาดหลักทรัพย์ขัดข้อง
7, นำเงินปันผลไปรวมเป็นรายได้
8, กลยุทธ์การกระจายการลงทุนไปยังกองทุนที่ลงทุนในสินทรัพย์หลากหลายประเภท
9,	แผนสำรองกรณีระบบการซื้อขายของตลาดหลักทรัพย์ขัดข้อง
10,ความรู้เบื้องต้นเกี่ยวกับกองทุนรวม
11, ดอกเบี้ยที่ผู้ลงทุนได้รับ
12, 3.1	เวลาในการซื้อขาย 	ช่วงเวลา	รายละเอียด
13, 3 กรณี
14, 3 กรณี
15, ดอกเบี้ยที่ผู้ลงทุนได้รับ 	กำไรจากส่วนต่างราคา
16,ความรู้พื้นฐานของตราสารหนี้  1.	ความหมายและเหตุผลในการระดมทุนด้วยตราสารหนี้
17,	ข้อมูลเกี่ยวกับฐานะการเงินและผลการดำเนินงาน
18, นำเงินปันผลไปรวมเป็นรายได้
19, ตลาดหลักทรัพย์ฯ ใช้หลักการ การกำกับดูแลให้เกิดความเป็นธรรมแก่ผู้ลงทุนและผู้เกี่ยวข้องทุกฝ่าย
20, ดอกเบี้ยที่ผู้ลงทุนได้รับ
21,ความรู้เบื้องต้นเกี่ยวกับกองทุนรวม
22, นำเงินปันผลไปรวมเป็นรายได้
23,การประเมินมูลค่าและอัตราผลตอบแทนของตราสารหนี้
24, 2 รูปแบบใหญ่ๆ
25, 2 รูปแบบใหญ่ๆ
26,	ข้อมูลและแหล่งข้อมูลที่สำคัญของตราสารหนี้
27,	ภาพรวมของผลตอบแทนและความเสี่ยงของกองทุนรวม
28,	ภาพรวมของผลตอบแทนและความเสี่ยงของกองทุนรวม
29,	ข้อมูลและแหล่งข้อมูลที่สำคัญของตราสารหนี้
30,	ภาษีของการลงทุนในกองทุน 	ผู้ลงทุนแต่ละประเภทจะมีการเสียภาษีที่ต่างกันดังนี้
31, ดอกเบี้ยที่ผู้ลงทุนได้รับ
32, ส่วนสรุปเกี่ยวกับการเสนอ...
33,	ภาษีของตราสารหนี้ 6.1	รายได้จากตราสารหนี้ที่เกี่ยวข้องกับภาษี
34, 2 รูปแบบใหญ่ๆ
35, 3 กรณี
36,	ภาษีของการลงทุนในกองทุน 	ผู้ลงทุนแต่ละประเภทจะมีการเสียภาษีที่ต่างกันดังนี้
37, ดอกเบี้ยที่ผู้ลงทุนได้รับ
38,การประเมินมูลค่าและอัตราผลตอบแทนของตราสารหนี้
39, 3 กรณี
40, นำเงินปันผลไปรวมเป็นรายได้
41,	แผนสำรองกรณีระบบการซื้อขายของตลาดหลักทรัพย์ขัดข้อง
42, ตลาดหลักทรัพย์สามารถสั่งหยุดการซื้อขายชั่วคราวได้
43,	การหยุดการซื้อขายชั่วคราว
44,	ข้อมูลและแหล่งข้อมูลที่สำคัญของตราสารหนี้
45, มีลักษณะคล้ายกับการเพิ่มทุนแบบเสนอขายให้ผู้ถือหุ้นเดิม
