question,context_file,score,context_snippet
ตลาดหลักทรัพย์ได้กำหนดราคาสูงสุดต่ำสุดของ Warrant อย่างไร,1345177.txt,4.245956548854899,ตราสารที่เชื่อมโยงกับตราสารทุน  3.	ใบสำคัญแสดงสิทธิ (Warrant) 3.1	ความหมายและเงื่อนไขต่างๆ ของ Warrant (วอแรนต์) 	1.	ความหมายโดยสากล Warrant เป็น Option (ออปชั่น) ประเภทหนึ่ง ที่มีลักษณะเป็นสัญญาที่ให...
ตลาดหลักทรัพย์ได้กำหนดราคาสูงสุดต่ำสุดของ Warrant อย่างไร,1345178.txt,3.0368557193408083,ตราสารที่เชื่อมโยงกับตราสารทุน  4.	ใบสำคัญแสดงสิทธิซื้อหุ้นเพิ่มทุนที่โอนสิทธิได้ (Transferable Subscription Right :TSR) TSR มีลักษณะคล้ายกับการเพิ่มทุนแบบเสนอขายให้ผู้ถือหุ้นเดิม (Right Offering: RO)...
ตลาดหลักทรัพย์ได้กำหนดราคาสูงสุดต่ำสุดของ Warrant อย่างไร,1345198.txt,3.014727254138112,ประเภทของธุรกิจและที่มาของเงินทุนในการทำธุรกิจ  6.	Corporate Action และ ผลกระทบต่อราคาหุ้นสามัญ Corporate Action คือ การกระทำขององค์กรที่ทำให้เกิดการเปลี่ยนแปลงที่สำคัญต่อบริษัทและมีผลกระทบต่อผู้ถือหุ...
ลักษณะแนวทางในการระดมทุนมีอะไรบ้าง,1345192.txt,0.0,ตลาดหลักทรัพย์แห่งประเทศไทย  12.	ภาษีของการลงทุนในตราสารทุน เมื่อผู้ลงทุนได้รับผลตอบแทน ทั้งจากปันผล (Dividend) และกำไรจากส่วนต่างราคา (Capital Gain) ผู้ลงทุนมีหน้าที่ต้องเสียภาษี โดยแบ่งเป็น 3 กรณี ต...
ลักษณะแนวทางในการระดมทุนมีอะไรบ้าง,1345188.txt,0.0,ตลาดหลักทรัพย์แห่งประเทศไทย  8.	การกำกับดูแลการซื้อขายหลักทรัพย์ 8.1	หลักการและแนวทางการกำกับดูแล ตลาดหลักทรัพย์ฯ ใช้หลักการ การกำกับดูแลให้เกิดความเป็นธรรมแก่ผู้ลงทุนและผู้เกี่ยวข้องทุกฝ่าย ซึ่งประกอ...
ลักษณะแนวทางในการระดมทุนมีอะไรบ้าง,1345193.txt,0.0,ประเภทของธุรกิจและที่มาของเงินทุนในการทำธุรกิจ  1.1	ประเภทของธุรกิจในไทย 5 ประเภท 	1.	กิจการเจ้าของคนเดียว 		*	เจ้าของคนเดียว 		*	ข้อดีคือ กฎระเบียบน้อย และไม่ต้องเสียภาษีนิติบุคคล 		*	ข้อเสียคือ เงิน...
Gross Price หรือ Dirty Price มีวิธีการจ่ายดอกเบี้ยอย่างไร,1345143.txt,22.544041391736666,การประเมินมูลค่าและอัตราผลตอบแทนของตราสารหนี้  2.	ราคาของตราสารหนี้ เมื่อมีการชื้อขายตราสารหนี้นั้น ราคาที่แสดงในกระดานซื้อขายตราสารหนี้ และราคาที่ใช้ชำระในการซื้อขายนั้นจะเป็นคนละราคากัน ซึ่งราคาของต...
Gross Price หรือ Dirty Price มีวิธีการจ่ายดอกเบี้ยอย่างไร,1345145.txt,7.09125242701941,การประเมินมูลค่าและอัตราผลตอบแทนของตราสารหนี้  4.	ความสัมพันธ์ระหว่างอัตราผลตอบแทนกับราคาตราสารหนี้ 4.1	ความสัมพันธ์ระหว่างอัตราผลตอบแทนถึงวันครบกำหนด (YTM) กับ ราคาตราสารหนี้ทั่วไป มีความสัมพันธ์แบบผ...
Gross Price หรือ Dirty Price มีวิธีการจ่ายดอกเบี้ยอย่างไร,1345142.txt,6.268179121700301,การประเมินมูลค่าและอัตราผลตอบแทนของตราสารหนี้  1.	การประเมินมูลค่าตราสารหนี้ หมายถึง การหาราคาที่เหมาะสม (Fair Price หรือ Intrinsic Value) ของตราสารหนี้เพื่อใช้ประกอบการตัดสินใจลงทุน ซึ่งสามารถตัดสินไ...
รายได้จากการลงทุนต่อ (Reinvestment income) คืออะไร,1345172.txt,11.682242846393663,ความรู้พื้นฐานของตราสารหนี้  4.	ผลตอบแทนจากการลงทุนตราสารหนี้ 	ดอกเบี้ยรับ (Interest payment): ดอกเบี้ยที่ผู้ลงทุนได้รับ 	กำไรจากส่วนต่างราคา (Capital gain): กำไรจากการที่ผู้ลงทุนขายตราสารหนี้ในราคาที...
รายได้จากการลงทุนต่อ (Reinvestment income) คืออะไร,1345201.txt,3.2803375579614626,ผลตอบแทนและความเสี่ยงของกองทุนรวม  3.	ความเสี่ยงของกองทุนรวม 3.1	ประเภทของความเสี่ยงของกองทุนรวม 	1.	ความเสี่ยงจากความผันผวนของราคากองทุน (Market risk) คือ ความผันผวนของราคาหรือมูลค่าหน่วยลงทุน ซึ่งคว...
รายได้จากการลงทุนต่อ (Reinvestment income) คืออะไร,1345193.txt,0.0,ประเภทของธุรกิจและที่มาของเงินทุนในการทำธุรกิจ  1.1	ประเภทของธุรกิจในไทย 5 ประเภท 	1.	กิจการเจ้าของคนเดียว 		*	เจ้าของคนเดียว 		*	ข้อดีคือ กฎระเบียบน้อย และไม่ต้องเสียภาษีนิติบุคคล 		*	ข้อเสียคือ เงิน...
ตัวอย่างลำดับเหตุการณ์ที่เกี่ยวข้องกับการจ่ายเงินปันผล,1345192.txt,0.0,ตลาดหลักทรัพย์แห่งประเทศไทย  12.	ภาษีของการลงทุนในตราสารทุน เมื่อผู้ลงทุนได้รับผลตอบแทน ทั้งจากปันผล (Dividend) และกำไรจากส่วนต่างราคา (Capital Gain) ผู้ลงทุนมีหน้าที่ต้องเสียภาษี โดยแบ่งเป็น 3 กรณี ต...
ตัวอย่างลำดับเหตุการณ์ที่เกี่ยวข้องกับการจ่ายเงินปันผล,1345188.txt,0.0,ตลาดหลักทรัพย์แห่งประเทศไทย  8.	การกำกับดูแลการซื้อขายหลักทรัพย์ 8.1	หลักการและแนวทางการกำกับดูแล ตลาดหลักทรัพย์ฯ ใช้หลักการ การกำกับดูแลให้เกิดความเป็นธรรมแก่ผู้ลงทุนและผู้เกี่ยวข้องทุกฝ่าย ซึ่งประกอ...
ตัวอย่างลำดับเหตุการณ์ที่เกี่ยวข้องกับการจ่ายเงินปันผล,1345193.txt,0.0,ประเภทของธุรกิจและที่มาของเงินทุนในการทำธุรกิจ  1.1	ประเภทของธุรกิจในไทย 5 ประเภท 	1.	กิจการเจ้าของคนเดียว 		*	เจ้าของคนเดียว 		*	ข้อดีคือ กฎระเบียบน้อย และไม่ต้องเสียภาษีนิติบุคคล 		*	ข้อเสียคือ เงิน...
กรณีมีวิกฤตร้ายแรง จะหยุดทำการซื้อขายชั่วคราวต้องมีเงื่อนไขอะไรบ้าง,1345186.txt,4.804396690611473,ตลาดหลักทรัพย์แห่งประเทศไทย  6.	แผนสำรองกรณีระบบการซื้อขายของตลาดหลักทรัพย์ขัดข้อง ตลาดหลักทรัพย์สามารถสั่งหยุดการซื้อขายชั่วคราวได้ ตามมาตรา 187 ของพรบ. หลักทรัพย์และตลาดหลักทรัพย์ 6.1	การหยุดทำการซื...
กรณีมีวิกฤตร้ายแรง จะหยุดทำการซื้อขายชั่วคราวต้องมีเงื่อนไขอะไรบ้าง,1345192.txt,0.0,ตลาดหลักทรัพย์แห่งประเทศไทย  12.	ภาษีของการลงทุนในตราสารทุน เมื่อผู้ลงทุนได้รับผลตอบแทน ทั้งจากปันผล (Dividend) และกำไรจากส่วนต่างราคา (Capital Gain) ผู้ลงทุนมีหน้าที่ต้องเสียภาษี โดยแบ่งเป็น 3 กรณี ต...
กรณีมีวิกฤตร้ายแรง จะหยุดทำการซื้อขายชั่วคราวต้องมีเงื่อนไขอะไรบ้าง,1345188.txt,0.0,ตลาดหลักทรัพย์แห่งประเทศไทย  8.	การกำกับดูแลการซื้อขายหลักทรัพย์ 8.1	หลักการและแนวทางการกำกับดูแล ตลาดหลักทรัพย์ฯ ใช้หลักการ การกำกับดูแลให้เกิดความเป็นธรรมแก่ผู้ลงทุนและผู้เกี่ยวข้องทุกฝ่าย ซึ่งประกอ...
