question,context_file,score,context_snippet
ตลาดหลักทรัพย์ได้กำหนดราคาสูงสุดต่ำสุดของ Warrant อย่างไร,1345184.txt,0.8647249937057495,ตลาดหลักทรัพย์แห่งประเทศไทย  4.	หน่วยการซื้อขาย และราคาซื้อขาย 4.1	หน่วยในการซื้อขาย (Board lot) 	หน่วยการซื้อขายในตลาดหลักทรัพย์แห่งประเทศไทยที่กำหนดบนการซื้อขายหลัก (Main Board) มีการกำหนดไว้ดังนี้ ...
ตลาดหลักทรัพย์ได้กำหนดราคาสูงสุดต่ำสุดของ Warrant อย่างไร,1345177.txt,0.8528991341590881,ตราสารที่เชื่อมโยงกับตราสารทุน  3.	ใบสำคัญแสดงสิทธิ (Warrant) 3.1	ความหมายและเงื่อนไขต่างๆ ของ Warrant (วอแรนต์) 	1.	ความหมายโดยสากล Warrant เป็น Option (ออปชั่น) ประเภทหนึ่ง ที่มีลักษณะเป็นสัญญาที่ให...
ตลาดหลักทรัพย์ได้กำหนดราคาสูงสุดต่ำสุดของ Warrant อย่างไร,1345185.txt,0.8444055318832397,ตลาดหลักทรัพย์แห่งประเทศไทย  5.	การหยุดการซื้อขายชั่วคราว (Circuit breaker) และเครื่องหมายต่างๆ บนกระดานหลักทรัพย์ 5.1	การหยุดการซื้อขายชั่วคราว (Circuit breaker) 	เนื่องจากการลดลงของ SET Index ที่รุน...
ลักษณะแนวทางในการระดมทุนมีอะไรบ้าง,1345193.txt,0.8327726125717163,ประเภทของธุรกิจและที่มาของเงินทุนในการทำธุรกิจ  1.1	ประเภทของธุรกิจในไทย 5 ประเภท 	1.	กิจการเจ้าของคนเดียว 		*	เจ้าของคนเดียว 		*	ข้อดีคือ กฎระเบียบน้อย และไม่ต้องเสียภาษีนิติบุคคล 		*	ข้อเสียคือ เงิน...
ลักษณะแนวทางในการระดมทุนมีอะไรบ้าง,1345156.txt,0.8263259530067444,การวิเคราะห์และกลยุทธ์การลงทุนในกองทุนรวม  2.	กลยุทธ์การลงทุนในกองทุนรวม 2.1	กลยุทธ์การจัดสรรสินทรัพย์ลงทุน (Asset Allocation) คือ กลยุทธ์การกระจายการลงทุนไปยังกองทุนที่ลงทุนในสินทรัพย์หลากหลายประเภท ...
ลักษณะแนวทางในการระดมทุนมีอะไรบ้าง,1345155.txt,0.8255703449249268,"การวิเคราะห์และกลยุทธ์การลงทุนในกองทุนรวม  1.	การพิจารณาเลือกกองทุนรวม เพื่อให้ได้กองทุนรวมที่เหมาะสมกับผู้ลงทุนและจังหวะในการลงทุนนั้น จะต้องวิเคราะห์ทั้งตัวผู้ลงทุน, ข้อมูลกองทุน และสภาพแวดล้อมการลง..."
Gross Price หรือ Dirty Price มีวิธีการจ่ายดอกเบี้ยอย่างไร,1345143.txt,0.8865641355514526,การประเมินมูลค่าและอัตราผลตอบแทนของตราสารหนี้  2.	ราคาของตราสารหนี้ เมื่อมีการชื้อขายตราสารหนี้นั้น ราคาที่แสดงในกระดานซื้อขายตราสารหนี้ และราคาที่ใช้ชำระในการซื้อขายนั้นจะเป็นคนละราคากัน ซึ่งราคาของต...
Gross Price หรือ Dirty Price มีวิธีการจ่ายดอกเบี้ยอย่างไร,1345144.txt,0.8295475244522095,การประเมินมูลค่าและอัตราผลตอบแทนของตราสารหนี้  3.	การคำนวณอัตราผลตอบแทนของตราสารหนี้ อัตราผลตอบแทนของตราสารหนี้มีหลายรูปแบบ ซึ่งแต่ละรูปแบบสามารถคำนวณได้ดังนี้ 3.1	อัตราผลตอบแทนจากดอกเบี้ย (Current Yi...
Gross Price หรือ Dirty Price มีวิธีการจ่ายดอกเบี้ยอย่างไร,1345145.txt,0.821682870388031,การประเมินมูลค่าและอัตราผลตอบแทนของตราสารหนี้  4.	ความสัมพันธ์ระหว่างอัตราผลตอบแทนกับราคาตราสารหนี้ 4.1	ความสัมพันธ์ระหว่างอัตราผลตอบแทนถึงวันครบกำหนด (YTM) กับ ราคาตราสารหนี้ทั่วไป มีความสัมพันธ์แบบผ...
รายได้จากการลงทุนต่อ (Reinvestment income) คืออะไร,1345172.txt,0.8493103384971619,ความรู้พื้นฐานของตราสารหนี้  4.	ผลตอบแทนจากการลงทุนตราสารหนี้ 	ดอกเบี้ยรับ (Interest payment): ดอกเบี้ยที่ผู้ลงทุนได้รับ 	กำไรจากส่วนต่างราคา (Capital gain): กำไรจากการที่ผู้ลงทุนขายตราสารหนี้ในราคาที...
