,user_id,house,datetime
3301,517fac56-4785-40b1-a43e-561275caae77,,2024-04-18 23:09:34.716699
9768,e5763aad-656b-44d6-ad74-93a40495a5b3,house2,2024-04-18 23:09:37.495417
461,12e832b1-ba8d-48d4-acb1-67c2ed2504e4,house2,2024-04-18 23:09:38.633737
979,1fcf9cd7-6858-400d-b8c4-446dd76036e4,house2,2024-04-18 23:09:39.745934
6138,8c7a8814-d01f-40fa-817a-32358419b0a1,house2,2024-04-18 23:09:40.640142
2004,337efdeb-7299-4e86-9db0-3b7bad905ca4,,2024-04-18 23:09:41.559046
9900,e81fe35d-eabc-4bef-a19d-b7cf24d01366,,2024-04-18 23:09:42.570444
921,1f7d7fe6-a09f-45c9-87f1-5bec07a066fa,house2,2024-04-18 23:09:43.481540
3967,636b1c8b-4934-4842-9642-5283b06d7e9f,,2024-04-18 23:09:44.435886
7879,b542ca89-e19f-4f62-a46d-8034f956b019,house3,2024-04-18 23:13:14.282833
3703,5f1a2ecf-943d-446b-b94d-d7d1ad64213d,,2024-04-18 23:13:17.382312
6956,9ca4c190-fa93-4330-aead-3abdc78faee3,house3,2024-04-18 23:13:19.318564
4428,6befa7f3-dd1e-4c19-8702-3214ded09b79,house3,2024-04-18 23:13:20.846785
5892,84aea5bb-fc9f-463e-8ed9-5c36ccb0dc7f,house3,2024-04-18 23:13:23.098225
4159,6684cbfe-6431-444c-981a-2eec06d14ef4,house3,2024-04-18 23:13:24.499464
3435,594f8901-beb7-4f50-a523-0757c72b2504,house3,2024-04-18 23:13:25.901095
1885,32a58b0b-bb40-4c59-98c7-661fe7748d67,house3,2024-04-18 23:13:27.374463
788,1dfb8ef0-6a36-4ca0-b8e8-6aa1756a00a5,house3,2024-04-18 23:13:28.804612
3638,5cd9c8db-07cf-4b5f-a590-00af8dacc4a4,,2024-04-18 23:13:30.340485
4550,6e009a96-2b8b-4048-8b0c-20a7924a4b4f,,2024-04-18 23:13:31.709618
6458,9207b26d-79dc-41fc-b62c-67a6821132b9,house3,2024-04-18 23:13:33.313646
1638,301ea4b1-4d7d-4164-81d4-9d12fb0c16f3,,2024-04-18 23:13:34.808849
10442,f89e8057-94eb-42d4-9ea6-c5f00419c387,,2024-04-19 08:30:43.770089
9503,e03b3ffe-81f4-4a48-9837-44ea86839840,house1,2024-04-19 08:30:46.916831
3173,4b2569be-cd32-40aa-9cc4-9e13e55903de,house1,2024-04-19 08:30:50.069062
1045,226c662f-b1b3-40bc-9bfc-4f49a80b9041,house6,2024-04-19 08:30:53.359025
10197,f56e3af2-356e-4916-878c-340eae3cef12,house6,2024-04-19 08:30:55.653211
5240,7970eab7-e0ca-4d42-8975-29de1aa9cf5b,house1,2024-04-19 08:31:02.758218
8702,ce506c75-9d99-4d9d-b925-4f95384da3d0,house1,2024-04-19 08:31:06.609022
2916,481bbf37-31d3-4ba1-bce1-3c478bfb86ed,house5,2024-04-19 08:31:09.804112
6592,954ee6ef-741a-4199-882d-35b961f4453a,house1,2024-04-19 08:31:14.294683
1503,2e333d17-d22d-42c6-b7e2-57bd681b1415,,2024-04-19 08:31:18.084979
5307,797d702f-b117-4b78-9623-a52e043e30e7,house2,2024-04-19 08:31:20.833601
5833,847f245a-2b6b-445c-8129-81908932d218,house5,2024-04-19 08:31:23.628471
2785,477b6e5c-ed43-44dd-8391-e790f22f240d,,2024-04-19 08:31:28.759316
1241,272f295e-c673-4c17-8172-b9342b9d1192,house6,2024-04-19 08:31:31.498988
5042,7593a65e-fb7f-4a7a-b523-6d13ec355668,house5,2024-04-19 08:31:34.157903
6267,9028f311-aa0f-442f-8a0e-67f7e55d8ecc,house5,2024-04-19 08:31:36.770963
8011,b96aa614-3d26-477b-920c-9aa2b7cae661,house5,2024-04-19 08:31:39.380869
10130,f46ebca2-6367-48eb-8d1c-dda7c58b57e9,house5,2024-04-19 08:31:42.251562
5441,7b3f7524-f201-44df-a929-5b92eac9457b,house5,2024-04-19 08:31:45.331928
1304,2ad18754-2522-4fa9-af12-bccdf42d3905,house5,2024-04-19 08:31:48.671194
1943,332a0b3d-cc6a-4a02-a2e9-7ac0840a6069,house6,2024-04-19 08:31:51.260144
8575,c968fef9-5411-49d5-b6e1-d9a52add4ab8,,2024-04-19 08:31:53.958069
